
[00:00:00.000 --> 00:00:07.120]  好,我們說教會需要有一個共同一齊的目標
[00:00:07.120 --> 00:00:10.460]  我們今天在同福堂這個教會
[00:00:10.460 --> 00:00:14.100]  大家知不知道同福堂的目標是什麼?
[00:00:14.100 --> 00:00:16.260]  大家記不記得上個星期
[00:00:16.260 --> 00:00:18.100]  謝牧師不知道,大家有沒有在這裡
[00:00:18.100 --> 00:00:21.540]  如果在這裡,不知道你回過堂有沒有說
[00:00:21.540 --> 00:00:26.080]  就是我們同福堂的名是什麼意思?
[00:00:26.080 --> 00:00:30.960]  「同心合意,興旺福佑」,所以「同福」
[00:00:30.960 --> 00:00:34.500]  其實這個「同心合意,興旺福佑」
[00:00:34.500 --> 00:00:36.720]  不是因為我們要叫「同福堂」
[00:00:36.720 --> 00:00:39.640]  所以我們就做這個口號出來
[00:00:39.640 --> 00:00:43.500]  不是的,其實這句話是出自《肥臘比書》
[00:00:43.500 --> 00:00:48.340]  保羅是對肥臘比教會的信徒,一個勉勵
[00:00:48.340 --> 00:00:53.800]  當我們看到華語寫在聖經裡面的時候
[00:00:53.800 --> 00:00:59.480]  一定就不只是保羅神指定說給當時的肥臘比教會
[00:00:59.480 --> 00:01:01.960]  而是說給眾教會
[00:01:01.960 --> 00:01:03.960]  今天我們所有的教會
[00:01:03.960 --> 00:01:09.880]  其實神都盼望我們能夠「同心合意,興旺福佑」
[00:01:09.880 --> 00:01:13.540]  好,我們一起來讀一下這幾節的聖經
[00:01:13.540 --> 00:01:18.320]  就是肥臘比書一章三至六節,我們一起讀
[00:01:18.320 --> 00:01:22.780]  我每逢想念你們,就感謝我的神
[00:01:22.780 --> 00:01:26.360]  每逢為你們眾人祈求的時候
[00:01:26.360 --> 00:01:29.360]  嘗試歡歡喜喜地祈求
[00:01:29.360 --> 00:01:32.460]  因為從頭一天直到如今
[00:01:32.460 --> 00:01:36.520]  你們是同心合意的,興旺福佑
[00:01:36.520 --> 00:01:41.000]  我深信那在你們心裡動了善功的
[00:01:41.000 --> 00:01:46.120]  必成全者功,直到那遭忌毒的日子
[00:01:46.120 --> 00:01:49.840]  這裡就是保羅和肥臘比教會信徒一開始的信
[00:01:49.840 --> 00:01:51.520]  哇,就很溫暖了,是不是?
[00:01:51.520 --> 00:01:55.360]  他說:我想起你們就很開心,很感恩
[00:01:55.360 --> 00:01:58.400]  我想起你們祈禱的時候都很歡喜
[00:01:58.400 --> 00:02:06.400]  其實肥臘比教會就是保羅在歐洲建立的第一間教會
[00:02:06.400 --> 00:02:08.880]  他寫信給他們說:我很開心
[00:02:08.880 --> 00:02:13.300]  因為從第一天我去到肥臘比建立這間教會
[00:02:13.300 --> 00:02:17.520]  直到今天,我們看資料,其實已經過了十二年
[00:02:17.520 --> 00:02:21.760]  這個時候他已經因為福音的緣故被抓去坐牢
[00:02:21.760 --> 00:02:23.220]  所以他在監牢裡
[00:02:23.220 --> 00:02:26.960]  但是他說:今天雖然我不在你們當中
[00:02:26.960 --> 00:02:32.400]  但是你們仍然同心合意,興旺福佑
[00:02:32.400 --> 00:02:34.560]  他說到同心合意這個事的時候
[00:02:34.560 --> 00:02:37.280]  如果我們看回這個聖經的原文
[00:02:37.280 --> 00:02:39.440]  就用了Cornelia這個字
[00:02:39.440 --> 00:02:40.980]  這個字是什麼意思呢?
[00:02:40.980 --> 00:02:49.320]  就是逆作一個團契、相交,神學上也有共同分享
[00:02:49.320 --> 00:02:52.060]  一起參與這個意思
[00:02:52.060 --> 00:02:56.420]  所以保羅說:除了因為我坐牢
[00:02:56.420 --> 00:03:00.060]  你們為我祈禱,供應我這個經濟的需要之外
[00:03:00.060 --> 00:03:01.560]  我更加開心的是
[00:03:01.560 --> 00:03:05.600]  我去建立這個教會就是想將福音傳給你們
[00:03:05.600 --> 00:03:12.840]  傳開去,今天你們能夠跟我一起去參與,共同分享這個使命
[00:03:12.840 --> 00:03:15.080]  所以他覺得很開心
[00:03:15.080 --> 00:03:18.180]  然後稱讚他們,你們是同心合意
[00:03:18.180 --> 00:03:20.120]  由我在這裡的那天到今天
[00:03:20.120 --> 00:03:24.220]  你們都是跟我一起同心合意,興旺福佑
[00:03:24.220 --> 00:03:27.060]  這個就是這樣的意思
[00:03:27.060 --> 00:03:31.600]  所以我們說,他們不當其實傳福音
[00:03:31.600 --> 00:03:35.660]  保羅你來建立教會,是你的使命,你傳給我
[00:03:35.660 --> 00:03:37.900]  我接受了就接受了
[00:03:37.900 --> 00:03:41.840]  但是記住,他們是能夠承擔教會的使命
[00:03:41.840 --> 00:03:46.980]  我想問大家,你清不清楚教會的使命是什麼?
[00:03:46.980 --> 00:03:49.380]  我們今天在這個教會
[00:03:49.380 --> 00:03:53.780]  你知不知道教會是什麼目的下建立的?
[00:03:53.780 --> 00:03:56.520]  是怎樣成立的?
[00:03:56.520 --> 00:03:57.460]  大家知不知道?
[00:03:57.460 --> 00:03:59.460]  你看回聖經就會發覺
[00:03:59.460 --> 00:04:06.860]  其實這個教會就是當天源於耶穌的一群門徒
[00:04:06.860 --> 00:04:09.760]  他們在地上,我們跟著耶穌
[00:04:09.760 --> 00:04:14.480]  耶穌在他們在地上的時候,對他們有一些吩咐
[00:04:14.480 --> 00:04:17.180]  我們一起來讀這些吩咐
[00:04:17.180 --> 00:04:19.840]  其實你也知道是很熟悉的
[00:04:19.840 --> 00:04:24.380]  如果你已經信奉了一段時間,你就知道這個大使命
[00:04:24.380 --> 00:04:27.320]  我們一起來讀,《馬太福音》28章19節
[00:04:27.320 --> 00:04:33.160]  1 2 3 「所以你們要去使萬民作我的門徒
[00:04:33.160 --> 00:04:37.700]  奉父子聖靈的名,給他們施洗」
[00:04:37.700 --> 00:04:40.300]  這裡說得很清楚,你們要去
[00:04:40.300 --> 00:04:45.840]  你們要出去,然後將我這個福音告訴他們
[00:04:45.840 --> 00:04:48.040]  然後讓他們成為我的門徒
[00:04:48.040 --> 00:04:50.380]  他們要知道這個福音
[00:04:50.380 --> 00:04:53.540]  然後到耶穌升天之前
[00:04:53.540 --> 00:04:57.780]  他又再一次有一個吩咐給他的門徒
[00:04:57.780 --> 00:04:58.580]  是說什麼呢?
[00:04:58.580 --> 00:05:00.120]  就是「使徒行傳一張白紙」
[00:05:00.120 --> 00:05:03.360]  這個大家可能都熟悉的,我們一起來讀
[00:05:03.360 --> 00:05:09.220]  「但聖靈降臨在你們身上
[00:05:09.220 --> 00:05:14.240]  並要在耶路撒冷猶太傳遞
[00:05:14.240 --> 00:05:17.200]  直到地極作我的見證」
[00:05:17.200 --> 00:05:19.400]  嘩,大家都知道
[00:05:19.400 --> 00:05:22.280]  這個是耶穌吩咐你們要去
[00:05:22.280 --> 00:05:24.380]  你們得著能力要等待聖靈
[00:05:24.380 --> 00:05:25.980]  然後你們要藉著聖靈的能力
[00:05:25.980 --> 00:05:30.180]  將這個福音傳到地極
[00:05:30.180 --> 00:05:32.180]  所以今天,你看看旁邊那個
[00:05:32.180 --> 00:05:34.280]  我們聽到福音
[00:05:34.280 --> 00:05:38.760]  是因為當日他們領受到上帝的吩咐
[00:05:38.760 --> 00:05:40.620]  神的吩咐,耶穌的吩咐
[00:05:40.620 --> 00:05:43.160]  然後他們將這個福音不斷傳
[00:05:43.160 --> 00:05:46.060]  傳到今天我們每個人都聽到了
[00:05:46.060 --> 00:05:47.760]  嘩,所以就是這樣
[00:05:47.760 --> 00:05:51.100]  所以教會就是在當耶穌升天之後
[00:05:51.100 --> 00:05:54.240]  這個五旬節聖靈降臨之後
[00:05:54.240 --> 00:05:57.300]  就開始,門徒就開始聚集
[00:05:57.300 --> 00:05:59.840]  一起敬拜,一起禱告
[00:05:59.840 --> 00:06:01.740]  然後他們有一個共同的目標就是
