
[00:00:00.000 --> 00:00:02.680]  今天繼續和大家寫上《羅馬書》第六十七講
[00:00:02.680 --> 00:00:04.680]  要行在光明中
[00:00:04.680 --> 00:00:07.200]  《羅馬書》從第十二章開始
[00:00:07.200 --> 00:00:09.200]  講到基督徒的生命和生活
[00:00:09.200 --> 00:00:12.700]  其中講到一個恩信稱義蒙恩的人
[00:00:12.700 --> 00:00:16.200]  應該是一個活出神喜悅的生命
[00:00:16.200 --> 00:00:17.300]  在今天裡面
[00:00:17.300 --> 00:00:21.000]  神喜悅的生命就是一個活在光明裡面的生命
[00:00:21.000 --> 00:00:23.000]  活在白晝的生命
[00:00:23.000 --> 00:00:26.700]  不是一個仍然有黑暗的行為思想的生命
[00:00:26.700 --> 00:00:28.900]  我已經離開了黑暗
[00:00:28.900 --> 00:00:30.400]  已經進入了光明
[00:00:30.400 --> 00:00:32.700]  我們應該活出光明的生命
[00:00:32.700 --> 00:00:35.200]  我們應該穿上光明的兵器
[00:00:35.200 --> 00:00:37.200]  特別我們穿上耶穌基督
[00:00:37.200 --> 00:00:40.200]  有耶穌基督的生命在我們生命裡活出來
[00:00:40.200 --> 00:00:42.200]  我們看今天經文第十三章
[00:00:42.200 --> 00:00:43.700]  十一到十四節
[00:00:43.700 --> 00:00:45.700]  四節經文我們一起讀
[00:00:45.700 --> 00:00:47.700]  在者你們曉得
[00:00:47.700 --> 00:00:51.700]  現今就是該趁早睡醒的時候
[00:00:51.700 --> 00:00:53.200]  因為我們得救
[00:00:53.200 --> 00:00:56.700]  現今比初信的時候更近了
[00:00:56.700 --> 00:00:59.700]  黑夜已深白晝將近
[00:00:59.700 --> 00:01:02.700]  我們就當脫去暗霉的行為
[00:01:02.700 --> 00:01:05.200]  帶上光明的兵器
[00:01:05.200 --> 00:01:07.700]  行事為人要端正
[00:01:07.700 --> 00:01:09.700]  好在行在白晝
[00:01:09.700 --> 00:01:11.700]  不可謊言醉酒
[00:01:11.700 --> 00:01:13.700]  不可好色邪道
[00:01:13.700 --> 00:01:15.700]  不可憎勁嫉妒
[00:01:15.700 --> 00:01:18.200]  總要披戴主耶穌基督
[00:01:18.200 --> 00:01:20.200]  不要為肉體安排
[00:01:20.200 --> 00:01:22.700]  去放縱私慾
[00:01:22.700 --> 00:01:25.700]  普羅時代也是很多社會的黑暗
[00:01:25.700 --> 00:01:27.200]  生命的黑暗
[00:01:27.200 --> 00:01:28.700]  我們的時代可能也有
[00:01:28.700 --> 00:01:30.700]  有些時代我們覺得黑暗
[00:01:30.700 --> 00:01:33.200]  普羅說黑夜已深
[00:01:33.200 --> 00:01:37.700]  黑夜好像越來越籠罩身邊世界的時候
[00:01:37.700 --> 00:01:40.700]  當世界好像你覺得越來越黑暗的時候
[00:01:40.700 --> 00:01:42.200]  基督有一個提醒
[00:01:42.200 --> 00:01:43.700]  今天第一個教導就是
[00:01:43.700 --> 00:01:46.700]  不要有黑暗的行為
[00:01:46.700 --> 00:01:49.700]  我們雖然旁邊見到很多黑暗的世界
[00:01:49.700 --> 00:01:51.200]  我們不要跟著它走
[00:01:51.200 --> 00:01:53.200]  不要有黑暗的行為
[00:01:53.200 --> 00:01:55.200]  已經蒙恩得救的基督
[00:01:55.200 --> 00:01:57.200]  如果我們明白聖經的話
