
[00:00:00.000 --> 00:00:02.000]  今日我們一同讀經
[00:00:02.000 --> 00:00:07.600]  經文記載在舊約生命記六章四至九節
[00:00:07.600 --> 00:00:11.100]  生命記六章四至九節
[00:00:11.100 --> 00:00:13.600]  我們一起同聲讀出
[00:00:13.600 --> 00:00:20.000]  以色列 你要聽耶和華我們神是獨一的主
[00:00:20.000 --> 00:00:23.000]  你要盡心 盡性 盡力
[00:00:23.000 --> 00:00:25.400]  愛耶和華你的神
[00:00:25.400 --> 00:00:28.000]  我今日所吩咐你的話
[00:00:28.000 --> 00:00:30.600]  都要記在心上
[00:00:30.600 --> 00:00:34.000]  也要殷勤教訓你的兒女
[00:00:34.000 --> 00:00:36.400]  無論你坐在家裡
[00:00:36.400 --> 00:00:40.000]  行在路上 躺下 起來
[00:00:40.000 --> 00:00:42.400]  都要談論
[00:00:42.400 --> 00:00:46.000]  也要繫在手上為記號
[00:00:46.000 --> 00:00:48.900]  戴在額上為經文
[00:00:48.900 --> 00:00:53.000]  也要寫在你房屋的門框上
[00:00:53.000 --> 00:00:56.700]  並你的城門上
[00:00:56.700 --> 00:00:58.000]  各位弟兄姊妹
[00:00:58.000 --> 00:01:00.300]  今日和大家分享的題目是
[00:01:00.300 --> 00:01:02.500]  父母啊 請聽
[00:01:02.500 --> 00:01:03.800]  父母啊 請聽
[00:01:03.800 --> 00:01:05.400]  特別是給父母聽的
[00:01:05.400 --> 00:01:08.200]  不過在座當中 如果你還不是父母
[00:01:08.200 --> 00:01:12.300]  其實神的話也會進入我們的生命當中
[00:01:12.300 --> 00:01:13.800]  我們一起預備我們的心靈
[00:01:13.800 --> 00:01:15.100]  我們再一次禱告
[00:01:15.100 --> 00:01:18.500]  去恭聽神的話 好嗎
[00:01:18.500 --> 00:01:22.400]  今天我們為著我們每一位坐在這裡的父母
[00:01:22.400 --> 00:01:24.000]  在家裡的父母
[00:01:24.000 --> 00:01:27.300]  和甚至我們每一位弟兄姊妹
[00:01:27.300 --> 00:01:28.500]  每一位朋友
[00:01:28.500 --> 00:01:30.900]  今天有機會聽到神你的說話
[00:01:30.900 --> 00:01:33.800]  我們求聖靈你親自向我們每一個人
[00:01:33.800 --> 00:01:36.400]  在我們生活裡 在我們處境裡
[00:01:36.400 --> 00:01:38.400]  親自跟我們說話
[00:01:38.400 --> 00:01:42.600]  教導我們 提醒我們 鼓勵我們 督責我們
[00:01:42.600 --> 00:01:45.300]  怎樣去活出神祢自己的話語
