
[00:00:00.000 --> 00:00:03.460]  過去的日子 上個星期林牧師講到
[00:00:03.460 --> 00:00:07.740]  他講約翰這個人 都講了四次了
[00:00:07.740 --> 00:00:11.340]  我今天再和大家講的時候 應該是第五次了
[00:00:11.340 --> 00:00:13.580]  大家都聽了第五次
[00:00:13.580 --> 00:00:16.920]  會不會有點害怕 又講約翰
[00:00:16.920 --> 00:00:18.740]  這次就不同
[00:00:18.740 --> 00:00:21.980]  這次是講到他作爲一個見證人
[00:00:21.980 --> 00:00:23.980]  爲江作見證
[00:00:23.980 --> 00:00:25.980]  究竟是怎麼樣的呢
[00:00:25.980 --> 00:00:32.380]  我們重新用一個新的角度去再看約翰這個人
[00:00:32.380 --> 00:00:34.680]  怎麼樣爲江作見證
[00:00:34.680 --> 00:00:36.680]  我們一起祈禱
[00:00:36.680 --> 00:00:42.640]  求聖靈在我們當中引導我們
[00:00:42.640 --> 00:00:45.740]  叫我們進入真理 明白真理
[00:00:45.740 --> 00:00:47.740]  並且行出真理
[00:00:47.740 --> 00:00:50.160]  求主一樣聽我們的禱告
[00:00:50.160 --> 00:00:52.160]  奉耶穌基督明求 阿們
[00:00:55.120 --> 00:00:58.100]  剛纔所讀的一段約翰福音
[00:00:58.100 --> 00:01:03.760]  一章六至八節 十九至二十八節
[00:01:03.760 --> 00:01:10.620]  是約翰福音裏面獨有的一些記載
[00:01:10.620 --> 00:01:14.220]  是有關施洗約翰的事
[00:01:14.220 --> 00:01:18.480]  是其他福音書沒有記載過的
[00:01:18.480 --> 00:01:21.120]  並且我們發現
[00:01:21.120 --> 00:01:23.600]  在約翰福音裏面
[00:01:23.600 --> 00:01:28.860]  見證這兩個字是非常多的出現
[00:01:28.860 --> 00:01:33.600]  一共 我親自數過42次
[00:01:33.600 --> 00:01:38.260]  而本文讀 即今天讀的經文裏面
[00:01:38.260 --> 00:01:43.180]  見證這兩個字都出現了四次
[00:01:43.180 --> 00:01:45.980]  在第七第八兩節裏面
[00:01:45.980 --> 00:01:47.980]  重複了兩次
[00:01:47.980 --> 00:01:53.140]  爲江作見證 又爲江作見證
[00:01:53.140 --> 00:01:57.740]  這個真的會發覺很重要
[00:01:57.740 --> 00:02:00.140]  另外 大家留意
[00:02:00.140 --> 00:02:05.340]  在十九節和二十八節都出現了見證
[00:02:05.340 --> 00:02:09.940]  十九節說約翰所作的見證記載在下面
[00:02:09.940 --> 00:02:11.940]  二十八節就說到
[00:02:11.940 --> 00:02:20.820]  這是在約旦河外伯大利約翰施洗的地方作的見證
[00:02:20.820 --> 00:02:27.220]  你會發覺這個十九和二十八節說的見證
[00:02:27.220 --> 00:02:30.580]  就好像括號一樣
[00:02:30.580 --> 00:02:38.540]  括在中間的就是約翰的見證
[00:02:38.540 --> 00:02:40.860]  爲什麼會這麼特別呢
[00:02:40.860 --> 00:02:42.860]  這麼隆而重之
[00:02:42.860 --> 00:02:46.220]  不只是說見證如下
[00:02:46.220 --> 00:02:53.060]  說完了 還要說這些就是約翰的見證
[00:02:53.060 --> 00:02:57.780]  我們會看約翰福音
[00:02:57.780 --> 00:03:02.140]  本身我們相信是使徒約翰所寫的
[00:03:02.140 --> 00:03:07.980]  或者有些學者不認同是使徒約翰親自寫
[00:03:07.980 --> 00:03:09.980]  而是他口述有人去寫
[00:03:09.980 --> 00:03:11.100]  怎樣也好
[00:03:11.100 --> 00:03:15.740]  是從他的經驗那裏寫下來的
[00:03:15.740 --> 00:03:22.380]  使徒約翰本身曾經是施洗約翰的門徒
