
[00:00:00.000 --> 00:00:10.000]  很高興能夠跟大家一齊敬拜神,分享神的話語。
[00:00:10.000 --> 00:00:15.000]  今天是一個公眾假期的週末,
[00:00:15.000 --> 00:00:21.000]  所以可能有些弟兄姊妹是出外旅遊,或者去了其他地方之類的。
[00:00:21.000 --> 00:00:24.000]  不過不要緊,很高興見到大家回來敬拜神,
[00:00:24.000 --> 00:00:31.000]  亦都見到一些新朋友。
[00:00:31.000 --> 00:00:36.000]  我想跟大家講一個我自己的秘密,
[00:00:36.000 --> 00:00:43.000]  講完之後就不會再是秘密了。
[00:00:43.000 --> 00:00:47.000]  我希望我自己將來能夠寫一本書,
[00:00:47.000 --> 00:00:55.000]  講一個講座,叫做「小傳道學講大道理」,
[00:00:55.000 --> 00:00:58.000]  或者「小信徒學講大道理」,
[00:00:58.000 --> 00:01:03.000]  即是細蚊仔講大人說話。
[00:01:03.000 --> 00:01:09.000]  這也是我未來的一個目標,一個理想,
[00:01:09.000 --> 00:01:14.000]  希望能夠有朝一日實現。
[00:01:14.000 --> 00:01:17.000]  為何我要提起這件事呢?
[00:01:17.000 --> 00:01:20.000]  因為當我預備講這段經文的時候,
[00:01:20.000 --> 00:01:24.000]  我發覺我自己正正跌在這個光景裡面,
[00:01:24.000 --> 00:01:30.000]  就是一個小傳道想講一個大道理。
[00:01:30.000 --> 00:01:33.000]  相信大家剛才去讀這段經文的時候,
[00:01:33.000 --> 00:01:35.000]  你一定有一個感覺,
[00:01:35.000 --> 00:01:40.000]  這段經文讀的時候很舒服,朗朗上口,
[00:01:40.000 --> 00:01:46.000]  但是你發覺裡面其實是非常博大精深,
[00:01:46.000 --> 00:01:50.000]  想講得完全是很困難。
[00:01:50.000 --> 00:01:53.000]  經文講到生有時死有時等等,
[00:01:53.000 --> 00:01:56.000]  是講人生的遭遇、際遇,
[00:01:56.000 --> 00:02:03.000]  是講人生的變幻無常,
[00:02:03.000 --> 00:02:07.000]  是常常你猜不到有時的發生,
[00:02:07.000 --> 00:02:12.000]  是人不能夠控制的情景。
[00:02:12.000 --> 00:02:16.000]  當人遇到這樣的事情的時候,
[00:02:16.000 --> 00:02:19.000]  或者跌落這樣的光景的時候,
[00:02:19.000 --> 00:02:23.000]  他很多時候覺得是無能為力,
[00:02:23.000 --> 00:02:25.000]  好像無可奈何那樣,
