
[00:00:00.000 --> 00:00:02.700]  撒加拉署四章第六節我們一同來唸來
[00:00:02.700 --> 00:00:05.800]  他對我說 這是耶和華指示所羅八博的
[00:00:05.800 --> 00:00:07.300]  萬君之耶和華說
[00:00:07.300 --> 00:00:09.800]  不是依靠勢力 不是依靠才能
[00:00:09.800 --> 00:00:12.800]  而是依靠我的靈 方能成事
[00:00:12.800 --> 00:00:14.100]  我們就讀到這裡
[00:00:14.100 --> 00:00:14.800]  感謝神
[00:00:14.800 --> 00:00:17.300]  我們青少年牧師已經正式上任了
[00:00:17.300 --> 00:00:18.000]  Amen
[00:00:18.000 --> 00:00:18.800]  Hallelujah
[00:00:18.800 --> 00:00:23.000]  也許你還沒有見過他
[00:00:23.000 --> 00:00:25.300]  但只要你在教會走動的話
[00:00:25.300 --> 00:00:27.400]  你絕對不會錯過他
[00:00:27.400 --> 00:00:29.200]  他是全教會最高的人
[00:00:29.200 --> 00:00:30.300]  兩百公分
[00:00:30.300 --> 00:00:32.100]  Alright
[00:00:32.100 --> 00:00:33.500]  所以你見到他
[00:00:33.500 --> 00:00:37.500]  不要忘記歡迎他進入我們屬靈大家庭
[00:00:37.500 --> 00:00:38.900]  Amen
[00:00:38.900 --> 00:00:40.100]  這些日子來庭中間
[00:00:40.100 --> 00:00:41.100]  我越來越感覺到
[00:00:41.100 --> 00:00:45.800]  神正帶領我們教會進入一個新的季節的裡面
[00:00:45.800 --> 00:00:48.400]  一方面我們相信神要帶你們完成
[00:00:48.400 --> 00:00:51.600]  這個Shakina Glory這個建殿的工程
[00:00:51.600 --> 00:00:54.800]  目前一切進度都非常的順利
[00:00:54.800 --> 00:00:58.000]  我們也期待明年六月能夠完工
[00:00:58.000 --> 00:00:58.900]  另一方面
[00:00:58.900 --> 00:01:03.200]  我們也看見神要帶領我們教會在各樣的事工上
[00:01:03.200 --> 00:01:04.900]  都要進入新的領域
[00:01:04.900 --> 00:01:06.600]  來經歷神新的作為
[00:01:06.600 --> 00:01:07.400]  Amen
[00:01:07.400 --> 00:01:09.100]  所以今天早上從幾方面來講
[00:01:09.100 --> 00:01:12.400]  怎麼預備我們自己進入神新的季節呢
[00:01:12.400 --> 00:01:13.100]  第一個
[00:01:13.100 --> 00:01:14.400]  要警醒禱告
[00:01:14.400 --> 00:01:17.600]  跟你們同學要警醒禱告
[00:01:17.600 --> 00:01:19.600]  為什麼要警醒禱告呢
[00:01:19.600 --> 00:01:24.100]  因為我們需要預備我們自己來承接神新的工作
[00:01:24.100 --> 00:01:26.600]  無論在建造聖殿上
[00:01:26.600 --> 00:01:29.400]  無論在事工新的發展上
[00:01:29.400 --> 00:01:32.500]  我們都需要強而有力的禱告
[00:01:32.500 --> 00:01:34.100]  Amen
[00:01:34.100 --> 00:01:37.300]  因為一方面我們是會面對仇敵的攔阻的
[00:01:37.300 --> 00:01:38.300]  一定的
[00:01:38.300 --> 00:01:40.800]  但另一方面我們有神的應許
[00:01:40.800 --> 00:01:42.100]  靠著禱告
[00:01:42.100 --> 00:01:44.100]  我們可以經歷到神的得勝
[00:01:44.100 --> 00:01:44.900]  Amen
[00:01:44.900 --> 00:01:47.500]  那你說我們怎麼樣來禱告呢
[00:01:47.500 --> 00:01:49.800]  保羅在以佛所書第六章十八節
[00:01:49.800 --> 00:01:52.300]  很清楚的教導我們禱告的原則
[00:01:52.300 --> 00:01:53.500]  我們一同來念
[00:01:53.500 --> 00:01:57.100]  靠著聖靈隨時多方禱告祈求
[00:01:57.100 --> 00:01:59.200]  並要在此警醒不倦
[00:01:59.200 --> 00:02:01.700]  在這裡看見三方面
[00:02:01.700 --> 00:02:05.100]  第一個保羅是要靠著聖靈來禱告
[00:02:05.100 --> 00:02:07.600]  為什麼要靠著聖靈來禱告
[00:02:07.600 --> 00:02:09.700]  因為的確在我們禱告當中
