
[00:00:00.000 --> 00:00:01.140]  各位姐妹們,平安!
[00:00:01.140 --> 00:00:16.400]  我聽人說,經濟有週期,有繁榮和擴張的週期,
[00:00:16.400 --> 00:00:21.900]  也有衰退和收縮的週期,
[00:00:21.900 --> 00:00:28.800]  盛極就會衰退,谷底又會反彈。
[00:00:30.040 --> 00:00:36.240]  不知道,你覺得現在是一個盛極的週期,
[00:00:36.240 --> 00:00:40.980]  還是一個下行的週期呢?
[00:00:40.980 --> 00:00:45.940]  不知道,你覺得現在是谷底,
[00:00:45.940 --> 00:00:49.140]  還是谷底反彈的時候呢?
[00:00:49.140 --> 00:00:52.640]  有人建議,
[00:00:54.440 --> 00:01:02.440]  「升市,莫股頂,跌市,莫股底」,
[00:01:02.440 --> 00:01:08.240]  其實「升市,谷錯頂」是沒有什麼所謂的,
[00:01:08.240 --> 00:01:12.440]  你賣了一層樓,只不過是賺少了,
[00:01:12.440 --> 00:01:18.240]  但是「跌市,谷錯底」的情況就很不同了,
[00:01:18.240 --> 00:01:23.240]  在跌市的時候,人心虛怯,低處還可以更低,
[00:01:23.940 --> 00:01:26.440]  萬丈深淵,看不見底。
[00:01:26.440 --> 00:01:31.240]  不知道人生會不會都是有這樣的情況呢?
[00:01:31.240 --> 00:01:36.840]  有上行的週期,有下行的週期,
[00:01:36.840 --> 00:01:41.440]  有起,有跌,有順,有逆。
[00:01:41.440 --> 00:01:47.840]  說出來好像是常識,但是處身在其中,
[00:01:47.840 --> 00:01:53.040]  尤其是處身在下行週期的時候,感受就真的很不同。
[00:01:54.040 --> 00:01:55.440]  不知道什麼時候才是底。
[00:01:55.440 --> 00:02:00.640]  就算是最豁達的人,都難以超脫。
[00:02:00.640 --> 00:02:12.040]  蘇東坡的詩詞文章所表達的灑脫、豁達是為人樂道,
[00:02:12.040 --> 00:02:16.840]  但是當他陷在逆境的時候,處在人生低谷的時候,
[00:02:16.840 --> 00:02:20.640]  也都難掩陷嚇抑鬱的心情。
[00:02:21.340 --> 00:02:24.440]  他留下了著名的書法作品《韓食帖》,
[00:02:24.440 --> 00:02:28.240]  訴說了他在坎坷的時候那種抑鬱的心境。
[00:02:28.240 --> 00:02:31.640]  不知道你有沒有曾經經歷過這種心情,
[00:02:31.640 --> 00:02:33.440]  或者體會到類似的心境呢?
[00:02:33.440 --> 00:02:38.940]  聽說在在座裡面,有些位置聽得不是十分清楚,
[00:02:38.940 --> 00:02:42.640]  所以我將那個《韓食帖》的詞打出來。
[00:02:42.640 --> 00:02:47.840]  之後那些我都是講經文的,所以大家看著經文就可以了。
[00:02:50.940 --> 00:02:56.440]  他說:「自我來黃州已過三寒食,當時是送辰中旋風二年。」
[00:02:56.440 --> 00:03:08.440]  蘇東坡又多手寫了詩,他的詩詞就被誣告諷刺朝政、諷刺時政,
[00:03:08.440 --> 00:03:10.240]  於是差點被斬首。
[00:03:10.240 --> 00:03:14.440]  在很多人的力保之下,就被貶去黃州,
[00:03:14.840 --> 00:03:21.440]  做了一個團練婦事,是一個虛位,收到的工資連自己家裡都養不起。
[00:03:21.440 --> 00:03:31.640]  年年玉色春,春去不容色,今年又苦雨,秋月,兩月秋消失。
[00:03:31.640 --> 00:03:36.140]  本來春雨是一個盼望之事來的,
[00:03:36.140 --> 00:03:43.440]  但是在蘇東坡的心境裡面,那個春雨變了消失的秋景。
[00:03:45.840 --> 00:04:01.240]  我聞海棠花黎炎燕之說,那個海棠花掉在地上,被污泥弄髒了,那個是誰呢?
[00:04:01.240 --> 00:04:03.840]  那個就是蘇東坡自己。
[00:04:03.840 --> 00:04:14.640]  何處病少年,病起蘇爾伯,真是窮病相侵。
[00:04:15.840 --> 00:04:27.840]  春光玉入戶,雨勢來不易,小屋如渝州,朦朦水雲裡,真是屋樓兼逢夜雨。
[00:04:27.840 --> 00:04:41.840]  空袍煮韓菜,破灶燒濕櫃,那枝是韓食,但叫臉咸子。
[00:04:42.840 --> 00:04:56.840]  你想煮些東西吃,連柴都燒不起,軍門深九重,墳墓在萬里,也而徒窮,死灰吹不起。
[00:04:56.840 --> 00:05:03.840]  窮途無門,死灰都吹不起,真是失望至極。
[00:05:03.840 --> 00:05:11.840]  個人的順逆有時,蘇東坡的韓食帖是哀自身。
[00:05:13.840 --> 00:05:22.840]  剛才我們讀耶利米埃歌,耶利米埃歌是《悲我城》。
[00:05:22.840 --> 00:05:29.840]  原來一個城市都有繁榮,有衰退的時候。
[00:05:29.840 --> 00:05:34.840]  我們看看耶利米的《哀我城》的哀歌究竟寫了些什麼。
[00:05:35.840 --> 00:05:46.840]  我們一起打開今天的經課,舊約的經課,耶利米埃歌,第一章第一節。
[00:05:46.840 --> 00:05:59.840]  先前滿有人民的城,現在何景獨坐?先前在列國中為大的,現在景如寡婦,先前在諸省中為皇后的,現在成為進貢的。
[00:06:00.840 --> 00:06:05.840]  這個城是哪個城呢?大家不要多想。
[00:06:05.840 --> 00:06:09.840]  這個城是錫安,是耶路撒冷。
[00:06:09.840 --> 00:06:23.840]  這個城從前繁華現在衰落了,從前的地位現在失去了,從前的榮耀都被奪走了。
[00:06:24.840 --> 00:06:37.840]  一章二節,他夜間痛哭,流淚滿腮,在一切所親愛的中間沒有一個安慰他的,他的朋友都以鬼詐待他,成為他的仇敵。
[00:06:37.840 --> 00:06:48.840]  當這個城在一個艱難的時候,以為可以依靠的鄰居竟然是落井下石。
