
[00:00:00.000 --> 00:00:02.000]  頂至每午安
[00:00:02.000 --> 00:00:04.000]  這個題目稍後會解釋
[00:00:04.000 --> 00:00:06.000]  因為這四個字每個字都認識
[00:00:06.000 --> 00:00:08.000]  加起來是甚麼呢
[00:00:08.000 --> 00:00:10.000]  好
[00:00:10.000 --> 00:00:12.000]  來到五月份
[00:00:12.000 --> 00:00:14.000]  大概這個時間
[00:00:14.000 --> 00:00:16.000]  我相信大家可能都會留意
[00:00:16.000 --> 00:00:18.000]  一個日子
[00:00:18.000 --> 00:00:20.000]  因為周邊都會有不同的廣告
[00:00:20.000 --> 00:00:22.000]  來提醒你
[00:00:22.000 --> 00:00:24.000]  明天
[00:00:24.000 --> 00:00:26.000]  是甚麼日子
[00:00:28.000 --> 00:00:30.000]  想起來了
[00:00:30.000 --> 00:00:32.000]  母親節
[00:00:32.000 --> 00:00:34.000]  所以在這裡
[00:00:34.000 --> 00:00:36.000]  先代表教會
[00:00:36.000 --> 00:00:38.000]  恭祝在座的每一位母親們
[00:00:38.000 --> 00:00:40.000]  身體健康
[00:00:40.000 --> 00:00:42.000]  母親節快樂
[00:00:42.000 --> 00:00:44.000]  好
[00:00:44.000 --> 00:00:46.000]  上個主日
[00:00:46.000 --> 00:00:48.000]  我去了外面
[00:00:48.000 --> 00:00:50.000]  港島
[00:00:50.000 --> 00:00:52.000]  星期六的時候
[00:00:52.000 --> 00:00:54.000]  我有機會
[00:00:54.000 --> 00:00:56.000]  負責向幾位
[00:00:56.000 --> 00:00:58.000]  姐妹頒發
[00:00:58.000 --> 00:01:00.000]  成長教練
[00:01:00.000 --> 00:01:02.000]  栽培員證書
[00:01:02.000 --> 00:01:04.000]  我在台上
[00:01:04.000 --> 00:01:06.000]  這樣說
[00:01:06.000 --> 00:01:08.000]  其實要拿這張證書
[00:01:08.000 --> 00:01:10.000]  都不容易
[00:01:10.000 --> 00:01:12.000]  因為除了
[00:01:12.000 --> 00:01:14.000]  要有課程
[00:01:14.000 --> 00:01:16.000]  需要學之外
[00:01:16.000 --> 00:01:18.000]  其實是要有實踐
[00:01:18.000 --> 00:01:20.000]  要幫助
[00:01:20.000 --> 00:01:22.000]  弟姐妹成長
