
[00:00:00.000 --> 00:00:03.320]  各位弟兄姊妹,早晨!各位來賓,早晨!
[00:00:03.320 --> 00:00:07.500]  很高興能夠再次在當中和大家分享上帝的華語
[00:00:07.500 --> 00:00:11.660]  上帝的華語的確是一個寶貴的寶貝
[00:00:11.660 --> 00:00:15.900]  來啟發我們的思想,打開我們的眼界
[00:00:15.900 --> 00:00:19.200]  用一個從上帝而來的眼光看人生
[00:00:19.200 --> 00:00:21.300]  是一個很有意思的事情
[00:00:21.300 --> 00:00:26.260]  今天和大家分享的約翰一書二章28至3章十節
[00:00:26.260 --> 00:00:33.600]  正正處於教會面對著挑戰的環境之下
[00:00:33.600 --> 00:00:40.000]  作為牧者的使徒約翰如何鼓勵教會,面對著挑戰
[00:00:40.000 --> 00:00:44.160]  我們從這個經文當中,約翰一書的背景裡面
[00:00:44.160 --> 00:00:51.660]  當時教會是面對著很多敵黨基督的挑戰而寫成的
[00:00:51.660 --> 00:00:54.920]  從這個背景,我們再去看看
[00:00:54.920 --> 00:00:59.560]  原來我們屬靈生命的成長
[00:00:59.560 --> 00:01:01.400]  教會的成長
[00:01:01.400 --> 00:01:07.100]  不是在一個真空的狀態之下的場景裡面自然會發生
[00:01:07.100 --> 00:01:11.260]  換言之,我們的信仰和信念是需要經過挑戰
[00:01:11.260 --> 00:01:17.800]  經過掙扎、磨難而去孕育出來的精彩之處
[00:01:17.800 --> 00:01:23.260]  使徒約翰就讓我們能夠在這樣的光景當中
[00:01:23.260 --> 00:01:26.160]  在善與惡對立的場景之下
[00:01:26.160 --> 00:01:32.560]  再次提醒我們,我們有能力勝過罪惡
[00:01:32.560 --> 00:01:34.960]  是因為上帝的恩典
[00:01:34.960 --> 00:01:41.700]  而在作為上帝的兒女的時候,如何去領受這份恩典
[00:01:41.700 --> 00:01:47.600]  約翰就很細膩地將這個過程帶給我們
[00:01:47.600 --> 00:01:53.120]  我們如何在敵基督者的面前堅守我們的立場
[00:01:53.120 --> 00:01:57.260]  如何好好持守我們的身份、責任與能力
[00:01:57.260 --> 00:02:02.160]  是我今天想跟大家分享這段經文的切入點
[00:02:02.160 --> 00:02:04.800]  這段經文在我們當中
[00:02:04.800 --> 00:02:08.820]  我們留意到「孩子們那」這個稱呼出現
[00:02:08.820 --> 00:02:12.800]  出現了在第二章裡面總共有五次這麼多
[00:02:12.800 --> 00:02:16.200]  成卷的約翰一書出現了九次
[00:02:16.200 --> 00:02:19.360]  但是在這個第二章出現了五次
[00:02:19.360 --> 00:02:23.620]  而在我們今天所討論的經文裡面出現了三次
[00:02:23.620 --> 00:02:26.160]  在這裡我們可以看到多次
[00:02:26.160 --> 00:02:31.220]  約翰仕途、約翰多次向一班在屬靈成長當中的頂智媒
[00:02:31.220 --> 00:02:34.320]  提醒他們、鼓勵他們犯罪
[00:02:34.320 --> 00:02:40.360]  犯罪這個意念、這個題目會成為阻礙著教會成長
[00:02:40.360 --> 00:02:44.520]  阻礙著我們屬靈生命成長的一個議題
[00:02:44.520 --> 00:02:48.020]  我們要好好去審查自己
[00:02:48.020 --> 00:02:52.560]  我們的信念會不會在現實環境當中
[00:02:52.560 --> 00:02:57.520]  是在不經意之下被身邊很多的言論、言說、觀點
[00:02:57.520 --> 00:03:00.920]  來帶離開了真理
[00:03:00.920 --> 00:03:02.820]  怎樣可以不犯罪
[00:03:02.820 --> 00:03:07.160]  正正是約翰在這個議題裡面來引導教會
[00:03:07.160 --> 00:03:08.560]  引導我們每一個人
[00:03:08.560 --> 00:03:12.820]  要細心、要留心、要專心
[00:03:12.820 --> 00:03:15.620]  不犯罪不容易的
[00:03:15.620 --> 00:03:17.520]  為什麼我們會犯罪?
[00:03:17.520 --> 00:03:22.060]  犯罪的原因是因為我們會為自己的好處的時候
[00:03:22.060 --> 00:03:24.720]  被私慾迷惑了
[00:03:24.720 --> 00:03:26.320]  為我們的好處的時候
[00:03:26.320 --> 00:03:30.060]  我們就會傷害了身邊的人
[00:03:30.060 --> 00:03:33.720]  約翰透過這個題目
[00:03:33.720 --> 00:03:38.960]  來要頂智媒從一個很重要的條件
