
[00:00:00.000 --> 00:00:04.940]  今天我們的題目叫做「五餅二魚的意義」
[00:00:04.940 --> 00:00:08.800]  我們應該都一定聽過「五餅二魚」的記載
[00:00:08.800 --> 00:00:12.720]  我們當中有沒有人未聽過「五餅二魚」的記載?
[00:00:12.720 --> 00:00:15.360]  如果未,我會介紹Pastor Winnie
[00:00:15.360 --> 00:00:17.160]  我們教育部的主任給你認識
[00:00:17.160 --> 00:00:20.960]  因為我們有很多很好的九夏課程
[00:00:20.960 --> 00:00:24.000]  其中一個叫做「閱讀聖經越精彩」
[00:00:24.000 --> 00:00:30.040]  我們可以在中間享受聖經裡閱讀的得著
[00:00:30.040 --> 00:00:33.580]  認識我的人就知道我很喜歡歷史
[00:00:33.580 --> 00:00:37.540]  曾經我分享過我和一班少年人去到赤柱歐亭
[00:00:37.540 --> 00:00:41.720]  很開心,我經過北宮碼頭,經過美利樓
[00:00:41.720 --> 00:00:43.320]  於是我就跟那班少年人說
[00:00:43.320 --> 00:00:46.620]  讓我告訴你這兩個建築物的歷史吧
[00:00:46.620 --> 00:00:49.420]  當我說的時候,他們都走了
[00:00:49.420 --> 00:00:51.540]  去了麥當勞
[00:00:51.540 --> 00:00:55.960]  也曾經有一次我跟弟兄姊妹一起去旅行
[00:00:55.960 --> 00:01:00.580]  去到一個景點,那裡的景色很美
[00:01:00.580 --> 00:01:04.040]  於是大家很興奮,下車不停在景點拍照
[00:01:04.040 --> 00:01:06.620]  拍完照之後,他們回到車上
[00:01:06.620 --> 00:01:09.160]  為何這麼久都不見了Eugene?
[00:01:09.160 --> 00:01:11.040]  他是不是去了廁所?
[00:01:11.040 --> 00:01:13.420]  再等了一段時間,都不見了
[00:01:13.420 --> 00:01:16.880]  於是他打給我,Eugene你去了哪裡?
[00:01:16.880 --> 00:01:21.260]  原來在景點對面有一個歷史遺跡
[00:01:21.260 --> 00:01:27.220]  歷史遺跡的後面其實有兩個講解歷史的板
[00:01:27.220 --> 00:01:31.840]  我蹲下來看了很久,看來看去都不肯走
[00:01:31.840 --> 00:01:35.420]  大家知道現在香港有故宮博物館
[00:01:35.420 --> 00:01:37.420]  有誰去過?
[00:01:37.420 --> 00:01:39.880]  我也很喜歡去,其實我去過一次
[00:01:39.880 --> 00:01:43.660]  就是那次有一個三星堆的展覽
[00:01:43.660 --> 00:01:47.800]  大家有沒有看?三星堆,我講錯了,是三星涌
[00:01:47.800 --> 00:01:50.420]  大家有沒有看那個展覽?很多東西看
[00:01:50.420 --> 00:01:53.520]  其實那次我和Zoey的家人一起去看
[00:01:53.520 --> 00:01:58.540]  但我又是去到某一處,不停看那些講解
[00:01:58.540 --> 00:02:02.900]  但家人開始不耐煩,她留在那裏多久?
[00:02:02.900 --> 00:02:05.040]  其實她不會去下一個展館
[00:02:05.040 --> 00:02:09.240]  Zoey就說下次再來看吧
[00:02:09.240 --> 00:02:12.120]  其實我真的很喜歡看這些歷史
[00:02:12.120 --> 00:02:16.160]  有個朋友問我,你這麼喜歡看歷史,為何這麼喜歡?
[00:02:16.160 --> 00:02:18.160]  其實我很喜歡看歷史
