
[00:00:00.000 --> 00:00:02.480]  各位姐妹,讓我們一起讀聖經
[00:00:02.480 --> 00:00:04.000]  《生命書宣教網絡》
[00:00:04.000 --> 00:00:07.200]  和我們一起看聖經人物、聖經故事
[00:00:07.200 --> 00:00:11.040]  最重要的是看到背後上帝的手工作
[00:00:11.040 --> 00:00:12.080]  看到祂的心意
[00:00:12.080 --> 00:00:13.480]  今天的題目是
[00:00:13.480 --> 00:00:14.920]  迦勒這個人
[00:00:14.920 --> 00:00:18.560]  迦勒專心跟從耶和華
[00:00:18.560 --> 00:00:22.920]  「專心跟從耶和華」這一句
[00:00:22.920 --> 00:00:24.880]  真的是聖經裡面的字
[00:00:24.880 --> 00:00:28.640]  迦勒是「專心跟從耶和華」
[00:00:28.640 --> 00:00:29.920]  是很寶貴的
[00:00:29.920 --> 00:00:33.320]  這個人物是很值得我們去學習的
[00:00:33.320 --> 00:00:36.880]  《約書亞記》第十四章第六節
[00:00:36.880 --> 00:00:42.280]  「那時猶大人來到吉甲見約書亞」
[00:00:42.280 --> 00:00:48.440]  其中有基尼洗族耶夫尼的兒子迦勒
[00:00:48.440 --> 00:00:50.400]  就跟約書亞說
[00:00:50.400 --> 00:00:56.440]  其實是迦勒特意去找約書亞
[00:00:56.440 --> 00:00:58.400]  去吉甲找約書亞
[00:00:58.400 --> 00:01:03.440]  吉甲是他們駐守的安營地方
[00:01:03.440 --> 00:01:05.720]  總部在吉甲
[00:01:05.720 --> 00:01:08.200]  有二百萬人在那裡住
[00:01:08.200 --> 00:01:11.000]  因此他們分散比較遠
[00:01:11.000 --> 00:01:14.680]  今天來了一個猶大支派的人
[00:01:14.680 --> 00:01:20.400]  他是猶大裡面的基尼洗族耶夫尼
[00:01:20.400 --> 00:01:22.680]  基尼洗族有一個人叫做耶夫尼
[00:01:22.680 --> 00:01:24.960]  他的兒子叫迦勒
[00:01:24.960 --> 00:01:28.680]  迦勒和約書亞其實是認識到
[00:01:28.680 --> 00:01:31.560]  我相信是有感情的
