
[00:00:00.000 --> 00:00:05.080]  今天我的題目就是提防恩賜的誤解和誤用
[00:00:05.080 --> 00:00:07.880]  我們這個系列都希望頂尖會多點了解
[00:00:07.880 --> 00:00:09.200]  屬靈恩賜
[00:00:09.200 --> 00:00:13.200]  我們先看看彼得前書四章十至十一節
[00:00:13.200 --> 00:00:16.400]  接著我們接下來會看其他的經文
[00:00:16.400 --> 00:00:18.840]  講到有關這個題目
[00:00:18.840 --> 00:00:20.720]  彼得前書四章十至十一節
[00:00:20.720 --> 00:00:21.360]  那裡這樣說
[00:00:21.360 --> 00:00:23.720]  人人要照自己所得的恩賜
[00:00:23.720 --> 00:00:25.120]  彼此服侍
[00:00:25.120 --> 00:00:27.840]  作上帝各種恩賜的好管家
[00:00:27.840 --> 00:00:31.240]  又有人講道他就要按著上帝的聖言講
[00:00:31.240 --> 00:00:34.600]  又有人服侍他就要按著上帝所賜的力量服侍
[00:00:34.600 --> 00:00:38.920]  好讓上帝就凡事上因耶穌基督得榮耀
[00:00:38.920 --> 00:00:41.040]  願榮耀獲權能到貴及大
[00:00:41.040 --> 00:00:43.120]  直到永永遠遠
[00:00:43.120 --> 00:00:44.400]  阿們
[00:00:44.400 --> 00:00:47.040]  講到這個屬靈恩賜的時候
[00:00:47.040 --> 00:00:52.520]  我們首先要明白一些關於屬靈恩賜的誤解
[00:00:52.520 --> 00:00:54.480]  因為如果我們講到誤用
[00:00:54.480 --> 00:00:56.840]  就是用錯誤的使用
[00:00:56.840 --> 00:01:00.640]  內置很多時候都是我們對屬靈恩賜
[00:01:00.640 --> 00:01:03.480]  或者甚至對聖靈的誤解
[00:01:03.480 --> 00:01:05.480]  所以今天我們都會特別看一些
[00:01:05.480 --> 00:01:07.600]  破除一些誤解
[00:01:07.600 --> 00:01:10.400]  我想很多時候我們基督徒
[00:01:10.400 --> 00:01:12.960]  特別是在浸信會的基督徒
[00:01:12.960 --> 00:01:15.400]  對於一講到有關聖靈的東西
[00:01:15.400 --> 00:01:17.680]  我們都有一些不同的態度
[00:01:17.680 --> 00:01:20.440]  有些我叫做Holy Spirit Ignorance
[00:01:20.440 --> 00:01:24.520]  就是對聖靈完全不理
[00:01:24.520 --> 00:01:27.000]  因為我們不知道聖靈是甚麼
[00:01:27.000 --> 00:01:30.600]  我們也很害怕聖靈的運作
[00:01:30.600 --> 00:01:31.920]  或者我們不明白
[00:01:31.920 --> 00:01:33.440]  所以我們不如不要理了
[00:01:33.440 --> 00:01:34.760]  不要講
[00:01:34.760 --> 00:01:37.440]  我們只講聖父、聖子、聖經
[00:01:37.440 --> 00:01:40.760]  很少提到一關聖靈
[00:01:40.760 --> 00:01:43.720]  而另一方面有些我叫做Holy Spirit Phobia
[00:01:43.720 --> 00:01:44.520]  就是害怕
[00:01:44.520 --> 00:01:45.840]  因為一講到聖靈的時候
[00:01:45.840 --> 00:01:48.360]  他們聯想到聖靈就是那些
[00:01:48.360 --> 00:01:51.280]  在特會裏面將人掃下
[00:01:51.280 --> 00:01:53.120]  人們全部躺在地上
[00:01:53.120 --> 00:01:54.920]  口吐白沫
[00:01:54.920 --> 00:01:59.480]  場面好像很混亂
[00:01:59.480 --> 00:02:00.400]  所以他們很害怕
[00:02:00.400 --> 00:02:02.000]  一講到聖靈的時候就很害怕
[00:02:02.000 --> 00:02:05.680]  又或者有些甚至是敵對聖靈
[00:02:05.680 --> 00:02:08.720]  一講到聖靈的時候他們就很反感
[00:02:08.720 --> 00:02:10.920]  有些牧者我跟他們談也是
[00:02:10.920 --> 00:02:12.200]  一講到聖靈的時候
[00:02:12.200 --> 00:02:14.520]  覺得靈恩派的東西不要跟我說
[00:02:14.520 --> 00:02:16.480]  我們是福音派
[00:02:16.480 --> 00:02:19.440]  不講靈恩的東西
[00:02:19.440 --> 00:02:21.480]  其實聖靈不是那麼恐怖
[00:02:21.480 --> 00:02:25.480]  聖靈在舊約、新約都有出現
[00:02:25.480 --> 00:02:28.720]  聖靈不只是我們聖經第二章之後
[00:02:28.720 --> 00:02:30.120]  我們上次講聖誕節的信息
[00:02:30.120 --> 00:02:31.000]  大家都聽過
[00:02:31.000 --> 00:02:32.280]  舊約、新約裏面
[00:02:32.280 --> 00:02:36.000]  但是聖靈所賜的恩賜
[00:02:36.000 --> 00:02:37.520]  今天特別講屬靈恩賜
[00:02:37.520 --> 00:02:39.360]  如果講到屬靈恩賜
