
[00:00:00.000 --> 00:00:04.280]  今日多了很多人,主要不是聽我領事,
[00:00:04.280 --> 00:00:07.920]  主要聽施道永富,我們常說是好兄弟,
[00:00:07.920 --> 00:00:11.560]  我們都經常拍攤檔,我叫永善,他叫永富,
[00:00:11.560 --> 00:00:15.260]  他一會兒會講,因為他家窮,所以改去做永富,
[00:00:15.260 --> 00:00:17.260]  我一日惡,所以改去做永善,
[00:00:17.260 --> 00:00:21.000]  大家都知道施道永富是一個很有轉數的人,
[00:00:21.000 --> 00:00:25.440]  很欣賞他,他一個很平凡的,本來是銀行職員,
[00:00:25.440 --> 00:00:29.520]  但怎會搞到現在洪福堂那麼出名,
[00:00:29.520 --> 00:00:32.820]  怎樣才真真正正人生有價值呢?
[00:00:32.820 --> 00:00:34.820]  真正的洪福齊天是怎樣呢?
[00:00:34.820 --> 00:00:39.460]  將時間交給弟弟還是大哥呢?永富,
[00:00:39.460 --> 00:00:41.460]  好,我們用掌聲多謝他,好嗎?
[00:00:41.460 --> 00:00:54.040]  永善兄,其實如果用你英文的善,
[00:00:54.040 --> 00:00:57.140]  我一定是你大哥,因為他是SIN,
[00:00:57.140 --> 00:01:03.780]  他是罪惡,但是我這個大哥引來罪惡是對的,
[00:01:03.780 --> 00:01:08.000]  因為很多人都是為了追求財富,
[00:01:08.000 --> 00:01:14.800]  富貴是沒有人不想要的,
[00:01:14.800 --> 00:01:19.120]  大家想起洪福會想起什麼?
[00:01:19.120 --> 00:01:22.380]  那麼給我面子,想起涼茶?
[00:01:22.380 --> 00:01:32.360]  其實我覺得在我人生的起碼前半部分和我的名字,
[00:01:32.360 --> 00:01:37.980]  不知是不是我爺爺不經意還是有意,
[00:01:37.980 --> 00:01:41.580]  原來名字可以講出很多的期望,
[00:01:41.580 --> 00:01:44.360]  在座有沒有永富在這裏?
[00:01:44.360 --> 00:01:48.780]  有你不敢舉手,因為我已經站在這裏,
[00:01:48.780 --> 00:01:53.180]  有沒有帶金帶銀在這裏?
[00:01:53.180 --> 00:01:54.680]  有也不會舉手,
[00:01:54.680 --> 00:01:59.160]  因為你隔壁那個會問你拿些金拿些銀你帶了來,
[00:01:59.160 --> 00:02:04.260]  你知道我們的名字一看就知道我們是發窮學的,
[00:02:04.260 --> 00:02:08.060]  不是賢富金富,是永遠都富有,
[00:02:08.060 --> 00:02:12.760]  所以我去到中學的時候老師叫我改英文名字,
[00:02:12.760 --> 00:02:15.580]  自然我因為沒有怎麼讀書,
