
[00:00:00.000 --> 00:00:06.100]  我們今天繼續思想《羅馬書》第五章第十二至二十一節
[00:00:06.100 --> 00:00:09.280]  上一次也跟大家講過
[00:00:09.280 --> 00:00:12.540]  《羅馬書》基本上在第一至第三章
[00:00:12.540 --> 00:00:19.460]  就講出了人類是處於一個什麼樣的絕境
[00:00:19.460 --> 00:00:20.200]  可以這麼說
[00:00:20.200 --> 00:00:23.340]  在罪惡當中我們是絕對沒有出路的
[00:00:23.340 --> 00:00:26.800]  而在每一個環境當中
[00:00:26.800 --> 00:00:28.700]  每一個抉擇當中
[00:00:28.700 --> 00:00:31.020]  罪都好像是無處不在
[00:00:31.020 --> 00:00:33.000]  而在這樣的情況之下
[00:00:33.000 --> 00:00:38.120]  人就是一個絕望的情況
[00:00:38.120 --> 00:00:41.200]  我們在第三章已經記得
[00:00:41.200 --> 00:00:45.000]  我們看過神的定案就是說
[00:00:45.000 --> 00:00:51.480]  「沒有二人,連一個也沒有,沒有尋求神的,沒有明白的,
[00:00:51.480 --> 00:00:53.160]  一同變為無用」
[00:00:53.160 --> 00:00:57.400]  但是接著他就在《羅馬書》第三章後半部
[00:00:57.400 --> 00:01:00.040]  講到基督的救贖、贖罪制
[00:01:00.040 --> 00:01:03.000]  上一次就講到恩順稱義
[00:01:03.000 --> 00:01:04.880]  而恩順稱義的身份
[00:01:04.880 --> 00:01:07.040]  到了第五章的時候
[00:01:07.040 --> 00:01:09.640]  就揭示了第五至第八章
[00:01:09.640 --> 00:01:13.260]  《羅馬書》就揭示了一個蒙神請救的人
[00:01:13.260 --> 00:01:15.540]  一個被神稱為義的人
[00:01:15.540 --> 00:01:19.800]  在恩順稱義的生活究竟是如何呢?
[00:01:19.800 --> 00:01:23.560]  一個進入了一個新的階段
[00:01:23.560 --> 00:01:27.100]  而今天我們再看到第五章
[00:01:27.100 --> 00:01:31.080]  第21節到後面的時候
[00:01:31.080 --> 00:01:33.500]  12節到第21節的時候
[00:01:33.500 --> 00:01:37.140]  基本上就講到在這樣的新的身份之下
[00:01:37.140 --> 00:01:40.960]  其實我們是有了一個新的
[00:01:40.960 --> 00:01:44.300]  在基督裏面一個新的本性
[00:01:44.300 --> 00:01:47.100]  而這個新的身份和這個新的本性
[00:01:47.100 --> 00:01:50.440]  其實是幫助我們過一個新的生活
[00:01:50.440 --> 00:01:57.300]  一個很重要的理解的時候
[00:01:57.300 --> 00:02:00.020]  我們知道神自己如何去救贖
[00:02:00.020 --> 00:02:02.720]  如何去幫助我們脫離罪惡
[00:02:02.720 --> 00:02:05.980]  整個《羅馬書》其實之前一直講下來的時候
[00:02:05.980 --> 00:02:09.140]  我相信你都必然會記得
[00:02:09.140 --> 00:02:11.460]  其實我們的福音信仰
[00:02:11.460 --> 00:02:15.180]  其實不單止只是說罪得赦免
[00:02:15.180 --> 00:02:16.740]  耶穌基督死在十字架
[00:02:16.740 --> 00:02:21.980]  也不只是單單為了可以現在有一個原因
[00:02:21.980 --> 00:02:24.820]  或者有一個法律上的理據
[00:02:24.820 --> 00:02:26.860]  神可以赦罪
[00:02:26.860 --> 00:02:28.580]  其實不是的
[00:02:28.580 --> 00:02:32.040]  神不單止是停留於赦罪的階段
[00:02:32.040 --> 00:02:34.620]  救贖赦罪是第一步
[00:02:34.620 --> 00:02:39.520]  但是神更加想人可以和祂和好
[00:02:39.520 --> 00:02:41.980]  來去勝過罪惡
[00:02:41.980 --> 00:02:43.340]  不單止是勝過罪惡
[00:02:43.340 --> 00:02:45.240]  也是過義的生活
[00:02:45.240 --> 00:02:49.260]  這就是《羅馬書》講到救贖的時候
[00:02:49.260 --> 00:02:51.260]  不斷地去強調的
[00:02:51.260 --> 00:02:54.000]  現在你就會問一個問題
[00:02:54.000 --> 00:02:57.080]  我既然是一個不折不扣的罪人
[00:02:57.080 --> 00:02:59.920]  而我的本性也充滿著罪惡
[00:02:59.920 --> 00:03:02.440]  正如在《恩訊清義》那一講的時候
