
[00:00:00.000 --> 00:00:04.320]  好,說到之前,想大家先看一個視頻
[00:00:04.320 --> 00:00:06.800]  好,麻煩Alex
[00:00:30.000 --> 00:00:35.840]  在這場比賽中,她在200米的距離之內進行了三個回合
[00:00:35.840 --> 00:00:38.960]  三個回合在200米的距離之內進行了三個回合
[00:00:38.960 --> 00:00:42.160]  她看起來非常有信心
[00:00:42.160 --> 00:00:45.120]  而賓州跑手今天跑得非常好
[00:00:45.120 --> 00:00:47.600]  她在400米內取得了優勢
[00:00:47.600 --> 00:00:49.200]  但最後卻取得了優勢
[00:00:49.200 --> 00:00:52.720]  這位是賓州高中學生,Fondor
[00:00:52.720 --> 00:00:55.520]  Dornan在第二名
[00:00:55.520 --> 00:00:58.560]  Dornan在上一季中取得了23分
[00:00:58.560 --> 00:01:01.360]  她在大賽中取得了金牌球員的一分之一
[00:01:01.360 --> 00:01:04.720]  所以她這週末非常有信心取得很多分數
[00:01:04.720 --> 00:01:09.600]  她正在Fondor的後空翻中,在紅線中伸縮著手臂
[00:01:09.600 --> 00:01:12.000]  哦,她摔倒了
[00:01:12.000 --> 00:01:15.840]  Dornan摔倒了,但這會很快地令她受傷
[00:01:15.840 --> 00:01:17.600]  幸好她沒有受傷
[00:01:17.600 --> 00:01:22.240]  她的隊友只是在前面,所以他們可能會從這裡撿回一些分數
[00:01:22.240 --> 00:01:27.040]  Dornan正在飛到後空翻中,她正在追上Fondor
[00:01:27.040 --> 00:01:28.960]  她可能會抓到領先
[00:01:28.960 --> 00:01:30.480]  哇,她摔倒了
[00:01:30.480 --> 00:01:32.560]  這是Dornan的勇氣
[00:01:32.560 --> 00:01:35.760]  她摔倒了,她進入第三名
[00:01:35.760 --> 00:01:38.880]  Dornan從外面摔倒了
[00:01:38.880 --> 00:01:40.640]  Dornan非常強壯
[00:01:40.640 --> 00:01:42.240]  Dornan在後空翻中
[00:01:42.240 --> 00:01:43.680]  Dornan
[00:01:43.680 --> 00:01:48.880]  哇,不可思議
[00:01:48.880 --> 00:01:51.440]  這太棒了,摔倒在600米內
[00:01:51.440 --> 00:01:53.520]  這基本上是一場比賽
[00:01:53.520 --> 00:01:55.520]  這基本上是一個延長400米的比賽
[00:01:55.520 --> 00:02:00.320]  但她摔倒在200米內,奪得冠軍,真是不可思議
[00:02:00.320 --> 00:02:01.280]  不可思議
[00:02:01.280 --> 00:02:03.040]  太棒了吧
[00:02:03.040 --> 00:02:05.120]  有沒有可能發生
[00:02:05.120 --> 00:02:08.240]  600米,這裡有沒有人跑步
[00:02:08.240 --> 00:02:09.920]  沒有人跑步
[00:02:09.920 --> 00:02:12.560]  有沒有人喜歡跑步
[00:02:12.560 --> 00:02:21.600]  完全沒有,所以你不明白跑步剛才那個精彩的地方
[00:02:21.600 --> 00:02:26.400]  中午的時候,你認不認得誰是我
[00:02:26.400 --> 00:02:28.080]  不認得嗎
[00:02:28.080 --> 00:02:30.640]  最近那個
[00:02:30.640 --> 00:02:32.080]  灣仔運動場
[00:02:32.080 --> 00:02:35.440]  當年在跑1500公尺
[00:02:35.440 --> 00:02:40.800]  所以我完全明白剛才那個感受
[00:02:40.800 --> 00:02:43.760]  剛才那個女生,有沒有人看過剛才那個短片
[00:02:43.760 --> 00:02:46.080]  有沒有人看過,第一次看
[00:02:46.080 --> 00:02:48.560]  你也看過,第一次看
[00:02:48.560 --> 00:02:53.360]  我剛才看了起碼10次,因為我要剪接,又要給Philip剪接
[00:02:53.360 --> 00:02:56.880]  我剛才看,你有沒有一種驚心動魄的感覺
[00:02:56.880 --> 00:02:58.640]  我心裡在跳
[00:02:58.640 --> 00:03:03.200]  因為她落後了,她摔倒的時候
[00:03:03.200 --> 00:03:04.960]  她已經摔倒了
[00:03:04.960 --> 00:03:08.080]  然後她落後了30公尺
[00:03:08.080 --> 00:03:11.600]  然後她還剩下200公尺,她要去追
[00:03:11.600 --> 00:03:14.320]  你知不知道我當年跑第幾
[00:03:14.320 --> 00:03:16.160]  你猜猜
[00:03:16.160 --> 00:03:20.320]  跑第一,跑第二
[00:03:20.320 --> 00:03:21.600]  還有沒有人猜
[00:03:21.600 --> 00:03:24.320]  第三,給你們多一次機會
[00:03:24.320 --> 00:03:26.400]  跑第尾
[00:03:26.400 --> 00:03:30.160]  你現在不要跟我聊天
[00:03:30.160 --> 00:03:33.120]  當然是追不到上
[00:03:33.120 --> 00:03:36.160]  我跑第六
[00:03:36.160 --> 00:03:38.720]  我告訴你,跑長跑是很難的
[00:03:38.720 --> 00:03:40.400]  當你跌倒的時候再起來
[00:03:40.400 --> 00:03:43.280]  最難的就是你的氣消失了
[00:03:43.280 --> 00:03:46.560]  然後你的心跳再加速
[00:03:46.560 --> 00:03:49.040]  然後你裡面的能量就燃燒了
[00:03:49.040 --> 00:03:53.920]  所以她這個女生叫Heather Dordain
[00:03:53.920 --> 00:03:55.120]  她事後這麼說
[00:03:55.120 --> 00:03:57.600]  她說她要追上來的時候
[00:03:57.600 --> 00:03:59.840]  其實她要付出很大的意志
[00:03:59.840 --> 00:04:02.000]  其實你不是在看你的體能
[00:04:02.000 --> 00:04:06.560]  其實你的心理狀況要非常好才能追上來
[00:04:06.560 --> 00:04:09.680]  她說當我跌倒的時候,我起來的時候
[00:04:09.680 --> 00:04:12.320]  我就知道我剩下200公尺
[00:04:12.320 --> 00:04:14.560]  我就繼續向前跑
[00:04:14.560 --> 00:04:17.520]  當我追到第一個人的時候
[00:04:17.520 --> 00:04:20.400]  我突然間聽到裁判員說
[00:04:20.400 --> 00:04:24.880]  你仍然是在比賽裡面
