
[00:00:00.000 --> 00:00:03.960]  在約翰福音四章主耶穌提醒
[00:00:03.960 --> 00:00:06.800]  那位撒瑪利亞的婦人說
[00:00:06.800 --> 00:00:09.080]  敬拜最重要大秘
[00:00:09.080 --> 00:00:12.640]  心靈誠實去敬拜
[00:00:12.640 --> 00:00:14.640]  盼望我們接下來每一次
[00:00:14.640 --> 00:00:17.720]  我們都享受這一段幾分鐘的安靜
[00:00:17.720 --> 00:00:22.080]  將最好的新心靈獻給主
[00:00:22.080 --> 00:00:26.720]  我們一起有個祈禱
[00:00:26.720 --> 00:00:28.880]  天父多謝祢在主日的清晨
[00:00:28.880 --> 00:00:31.440]  祢接招聚我們眾弟兄姊妹
[00:00:31.440 --> 00:00:34.000]  回來我們讚美祢
[00:00:34.000 --> 00:00:38.080]  神祢是配得全地跪拜
[00:00:38.080 --> 00:00:39.760]  神帝今日我們說
[00:00:39.760 --> 00:00:42.480]  我們很希望跟從祢的腳蹤
[00:00:42.480 --> 00:00:45.040]  主求祢告訴我們
[00:00:45.040 --> 00:00:47.840]  你想往那裡去
[00:00:47.840 --> 00:00:50.400]  求祢也裝備好我們
[00:00:50.400 --> 00:00:55.000]  能夠跟從祢的旅程去行
[00:00:55.000 --> 00:00:57.600]  讓我們在地上
[00:00:57.600 --> 00:00:59.400]  真的與祢攜手
[00:00:59.400 --> 00:01:02.800]  行這條人生的道路
[00:01:02.800 --> 00:01:07.080]  主啊 將以下我們聆聽祢的指引的時間
[00:01:07.080 --> 00:01:08.720]  恭敬獻上
[00:01:08.720 --> 00:01:10.400]  求祢幫助我們
[00:01:10.400 --> 00:01:11.720]  我們這樣祈禱
[00:01:11.720 --> 00:01:13.440]  奉耶穌基督名求
[00:01:13.440 --> 00:01:14.960]  Amen
[00:01:14.960 --> 00:01:18.400]  據我所認識你們
[00:01:18.400 --> 00:01:20.960]  都是一些很資深的弟兄姊妹
[00:01:20.960 --> 00:01:22.560]  所以今日
[00:01:22.560 --> 00:01:26.200]  希望將這個訊息我們入心一點
[00:01:26.200 --> 00:01:29.400]  粵題是「跟隨主耶穌」
