
[00:00:00.000 --> 00:00:02.200]  今日係想同大家分享
[00:00:02.200 --> 00:00:05.000]  以塞俠書第四十章
[00:00:05.000 --> 00:00:07.400]  二十七至到三十一節
[00:00:07.400 --> 00:00:09.600]  以塞俠書四十章
[00:00:09.600 --> 00:00:11.600]  二十七至到三十一節
[00:00:11.600 --> 00:00:13.400]  嗰度話
[00:00:13.400 --> 00:00:14.400]  雅各呀
[00:00:14.400 --> 00:00:15.800]  你為何說
[00:00:15.800 --> 00:00:18.800]  我的道路向耶和華隱藏
[00:00:18.800 --> 00:00:20.600]  以色列呀
[00:00:20.600 --> 00:00:22.200]  你為何言
[00:00:22.200 --> 00:00:23.400]  我的冤屈
[00:00:23.400 --> 00:00:25.400]  神命不查問
[00:00:25.400 --> 00:00:28.200]  你豈不曾知道嗎
[00:00:28.600 --> 00:00:30.600]  你豈不曾聽見嗎
[00:00:30.600 --> 00:00:33.000]  永在的神耶和華
[00:00:33.000 --> 00:00:35.000]  創造地極的主
[00:00:35.000 --> 00:00:36.800]  並不疲乏
[00:00:36.800 --> 00:00:38.600]  也不困倦
[00:00:38.600 --> 00:00:41.600]  他的智慧無法測度
[00:00:41.600 --> 00:00:44.600]  疲乏的他持能力
[00:00:44.600 --> 00:00:47.000]  軟弱的他加力量
[00:00:47.000 --> 00:00:49.000]  就算少年人
[00:00:49.000 --> 00:00:51.000]  也要疲乏困倦
[00:00:51.000 --> 00:00:54.800]  強壯的也必全然跌倒
[00:00:54.800 --> 00:00:57.200]  但那等候耶和華的
[00:00:57.600 --> 00:00:59.200]  必重新得力
[00:00:59.200 --> 00:01:02.400]  他們必如應展翅上騰
[00:01:02.400 --> 00:01:06.000]  他們奔跑卻不困倦
[00:01:06.000 --> 00:01:09.200]  行走卻不疲乏
[00:01:09.200 --> 00:01:17.200]  我想如果不想跟時代太過脫節的話
[00:01:17.200 --> 00:01:19.800]  這段日子的講壇侍奉
[00:01:19.800 --> 00:01:21.400]  實在是不容易
[00:01:21.400 --> 00:01:26.200]  我想除了直接呼喚上主出來
[00:01:26.600 --> 00:01:28.800]  收拾這個爛攤之外
[00:01:28.800 --> 00:01:33.600]  恐怕無論誰說什麼
[00:01:33.600 --> 00:01:36.200]  也不會讓所有人接受
[00:01:36.200 --> 00:01:38.600]  我甚至會說
[00:01:38.600 --> 00:01:42.200]  就算上主今天親自臨監
[00:01:42.200 --> 00:01:47.800]  恐怕也得不到所有人的信服
[00:01:47.800 --> 00:01:51.400]  這並不是我憑空的預測
[00:01:51.400 --> 00:01:53.800]  在二千多年前
[00:01:54.600 --> 00:01:57.800]  上主成為肉身降生人世
[00:01:57.800 --> 00:02:02.800]  卻是到處受到挑戰和挑釁
[00:02:02.800 --> 00:02:04.200]  爭議
[00:02:04.200 --> 00:02:08.800]  特別是在聖殿和會堂裏面
[00:02:08.800 --> 00:02:14.000]  所以無論如何
[00:02:14.000 --> 00:02:17.400]  教會並不能夠抽身於人世
[00:02:17.400 --> 00:02:21.800]  俄國作家杜斯托夫斯基
[00:02:21.800 --> 00:02:24.400]  他有一本很經典的小說
[00:02:25.000 --> 00:02:26.800]  The Brothers Karamazov
[00:02:26.800 --> 00:02:28.000]  裏面
[00:02:28.000 --> 00:02:31.800]  曾經透過主角的想像
[00:02:31.800 --> 00:02:35.200]  安排當時的大主教
[00:02:35.200 --> 00:02:38.600]  也是德高望重的
[00:02:38.600 --> 00:02:42.200]  異端裁決庭的庭長
[00:02:42.200 --> 00:02:43.800]  和耶穌見面
[00:02:43.800 --> 00:02:47.200]  其實他們最初的相遇
[00:02:47.200 --> 00:02:52.400]  是大主教以擾亂公眾秩序
[00:02:52.600 --> 00:02:56.800]  捉了當時正在行神職的耶穌
