
[00:00:00.000 --> 00:00:03.460]  可能大家都有留意南韓的歲月號
[00:00:03.460 --> 00:00:07.000]  一艘船沉了的一個悲劇
[00:00:07.000 --> 00:00:09.280]  有很多中學生遇難
[00:00:09.280 --> 00:00:13.760]  這件事當然引起了韓國人很多的反思
[00:00:13.760 --> 00:00:18.560]  當我們一直去看或者去了解
[00:00:18.560 --> 00:00:20.500]  或者知道這件事的時候
[00:00:20.500 --> 00:00:23.880]  可能我們都覺得整件事件都相當的
[00:00:23.880 --> 00:00:26.640]  可以說很離譜
[00:00:26.640 --> 00:00:32.920]  因為這件事本身不應該造成一個悲劇的事件
[00:00:32.920 --> 00:00:37.020]  最後有很多學生在裡面去死了
[00:00:37.020 --> 00:00:39.800]  在很多的報導和討論裡面
[00:00:39.800 --> 00:00:43.520]  有一則令到我自己都有一些的思考
[00:00:43.520 --> 00:00:45.140]  就是有一個報導去說
[00:00:45.140 --> 00:00:47.560]  我不知道大家可能都有看過
[00:00:47.560 --> 00:00:50.700]  有一個報導說這麼多的學生去遇難
[00:00:50.700 --> 00:00:53.960]  和韓國人的服從性很有關係
[00:00:53.960 --> 00:00:55.440]  就因為在沉船的時候
[00:00:55.440 --> 00:00:57.220]  可能大家都知道在沉船的時候
[00:00:57.220 --> 00:00:59.760]  因為當時的船長在廣播裡面
[00:00:59.760 --> 00:01:03.200]  叫所有人不要動 留在船艙裡面
[00:01:03.200 --> 00:01:06.060]  所以大部分的學生都聽這個指示
[00:01:06.060 --> 00:01:08.600]  最後留在房間裡面
[00:01:08.600 --> 00:01:12.360]  錯過了伯伯一個小時可以離開的時間
[00:01:12.360 --> 00:01:15.000]  最終就有很多人的犧牲
[00:01:15.000 --> 00:01:20.440]  報導也有說一些較為反叛的學生
[00:01:20.440 --> 00:01:22.440]  可能沒有聽指示
[00:01:22.440 --> 00:01:24.440]  別人叫他留在那裡 他就走出去
[00:01:24.440 --> 00:01:27.620]  反而可以活過一段時間
[00:01:27.620 --> 00:01:31.160]  所以有很多的評論就會說
[00:01:31.160 --> 00:01:36.220]  這次韓國的國民民族的服從性
[00:01:36.220 --> 00:01:39.240]  反而害死了這次很多的學生
[00:01:39.240 --> 00:01:40.880]  但是我看了這個報告之後
[00:01:40.880 --> 00:01:42.440]  看了這個評論之後
[00:01:42.440 --> 00:01:45.820]  我自己有一刻就在想
[00:01:45.820 --> 00:01:47.600]  如果我是當時的老師
[00:01:47.600 --> 00:01:50.840]  我帶著這班學生在稅務裡面的時候
[00:01:50.840 --> 00:01:55.640]  或者當時廣播就說請你留在船裡面
[00:01:55.640 --> 00:01:59.200]  如果我作為老師 或者這裡也有老師
[00:01:59.200 --> 00:02:01.200]  你那一刻的決定是怎樣呢
[00:02:01.200 --> 00:02:06.820]  我相信 我會叫學生留在船裡面
[00:02:06.820 --> 00:02:09.960]  留在船艙裡面 不要離開
[00:02:09.960 --> 00:02:11.540]  為什麼我自己這樣說呢
[00:02:11.540 --> 00:02:15.000]  因為可能在這個這麼關鍵的時刻
[00:02:15.000 --> 00:02:19.720]  我覺得我應該去相信當時的一船之長
[00:02:19.720 --> 00:02:22.700]  而且我也在我們的經驗裡面告訴他
[00:02:22.700 --> 00:02:25.100]  你在一些這樣的情況裡面
[00:02:25.100 --> 00:02:28.160]  你不聽指示造成恐慌
[00:02:28.160 --> 00:02:31.160]  可能是出了更多的危險
[00:02:31.160 --> 00:02:35.840]  其實我們很多時候都曾經閱讀過一些新聞
[00:02:35.840 --> 00:02:39.880]  很多的災難為什麼會嚴重了呢
[00:02:39.880 --> 00:02:44.360]  其實很多時候是因為在恐慌之下出現
[00:02:44.360 --> 00:02:46.480]  所以我自己覺得 各位兄弟姐妹
[00:02:46.480 --> 00:02:49.280]  我覺得在這次不幸的事件裡面
[00:02:49.280 --> 00:02:53.420]  我覺得不是服不服從的關係
[00:02:53.420 --> 00:02:55.160]  或者我們不應該去問
[00:02:55.160 --> 00:02:58.360]  或者我們未必去討論這件事件
[00:02:58.360 --> 00:03:02.080]  這些學生應不應該去服從
[00:03:02.080 --> 00:03:04.160]  或者留在船艙裡面
[00:03:04.160 --> 00:03:08.800]  因為很多時候我想如果下次有類似的事件
[00:03:08.800 --> 00:03:13.480]  我們鼓勵不要聽了 走吧
[00:03:13.480 --> 00:03:15.800]  可能造成更大的災禍
[00:03:15.800 --> 00:03:18.480]  或者人命的傷亡發生的時候
[00:03:18.480 --> 00:03:22.280]  我相信之後有一些報導就會說
[00:03:22.280 --> 00:03:25.600]  有些人真的不聽指示了
[00:03:25.600 --> 00:03:28.120]  明明叫他留在這裡 他卻走了
[00:03:28.120 --> 00:03:31.200]  搞得亂七八糟 人踩人 死了很多人
[00:03:31.200 --> 00:03:34.480]  香港也試過的 各位 可能大家還沒有出生
[00:03:34.480 --> 00:03:37.760]  很多年前我們蘭桂坊曾經試過
[00:03:37.760 --> 00:03:42.960]  因為恐慌的緣故踩死了很多人
[00:03:42.960 --> 00:03:44.480]  其實每年都有的
[00:03:44.480 --> 00:03:47.400]  如果我們知道墨家很多人朝聖
[00:03:47.400 --> 00:03:48.520]  其實我們很少看報道
[00:03:48.520 --> 00:03:50.000]  其實墨家每年都踩死人的
[00:03:50.000 --> 00:03:52.000]  因為你看到那個很大的地方
[00:03:52.000 --> 00:03:53.000]  很多人走進去
[00:03:53.000 --> 00:03:54.800]  因為一個人一跌就恐慌了
[00:03:54.800 --> 00:03:57.720]  一恐慌其實就踩死人
[00:03:57.720 --> 00:03:59.040]  所以我覺得各位
[00:03:59.040 --> 00:04:00.280]  或者我們看這件事的時候
[00:04:00.280 --> 00:04:04.280]  不是一個服不服從這個問題的時候
[00:04:04.280 --> 00:04:08.200]  我反而會覺得整件事可能我們認識不深
[00:04:08.200 --> 00:04:12.800]  但我會覺得問題反而是
[00:04:12.800 --> 00:04:18.440]  在於一個信不信任的問題上
[00:04:18.440 --> 00:04:21.400]  即是說在這次災難上
[00:04:21.400 --> 00:04:25.880]  究竟這班人信了些什麼
[00:04:25.880 --> 00:04:27.480]  他選擇了些什麼
[00:04:27.480 --> 00:04:31.000]  而他信任了些什麼
[00:04:31.000 --> 00:04:33.480]  我試試仔細的和大家講一下
[00:04:33.480 --> 00:04:36.040]  可能在這件事發生的裡面
[00:04:36.040 --> 00:04:39.680]  可能牽涉了很多抉擇與信任的問題
[00:04:39.680 --> 00:04:42.360]  當然有些是直接引致這個悲劇發生
[00:04:42.360 --> 00:04:44.560]  有些其實可能是無關的
[00:04:44.560 --> 00:04:46.680]  譬如我用一個最簡單的例子
[00:04:46.680 --> 00:04:53.040]  可能家長讓小朋友去參加這次的旅行
[00:04:53.040 --> 00:04:55.640]  家長之所以讓小朋友去參加這次的旅行
[00:04:55.640 --> 00:04:56.840]  可能有家長你都知道
[00:04:56.840 --> 00:04:58.400]  你就是信得過學校
[00:04:58.400 --> 00:05:00.720]  信得過這次的旅程是安全的
[00:05:00.720 --> 00:05:02.360]  當然我不是說家長
[00:05:02.360 --> 00:05:04.000]  即是說在這件事上
[00:05:04.000 --> 00:05:07.440]  其實真的牽涉了很多信任與抉擇在裡面
[00:05:07.440 --> 00:05:10.200]  起碼現在我覺得南韓的家長
[00:05:10.200 --> 00:05:12.440]  不會那麼容易讓小朋友去濟州
[00:05:12.440 --> 00:05:15.840]  和坐那間船公司的船
[00:05:15.840 --> 00:05:17.160]  起碼第二件事
[00:05:17.160 --> 00:05:19.480]  可能牽涉一個抉擇就是
[00:05:19.480 --> 00:05:23.080]  乘客亦都相信這艘船是安全的
[00:05:23.080 --> 00:05:24.640]  其實我們可能沒有想過
[00:05:24.640 --> 00:05:27.360]  多次坐交通工具
[00:05:27.360 --> 00:05:28.400]  你坐港鐵
[00:05:28.400 --> 00:05:29.960]  你坐飛機都好
[00:05:29.960 --> 00:05:33.720]  其實你是相信它安全的
[00:05:33.720 --> 00:05:35.960]  你沒有驗過飛機的
[00:05:35.960 --> 00:05:38.960]  我太太這陣子去旅行就經常說要坐國泰
[00:05:38.960 --> 00:05:41.920]  因為她說國泰安全少少
[00:05:41.920 --> 00:05:44.840]  但我經常說你可能覺得而已
[00:05:44.840 --> 00:05:46.640]  你見到她檢查的飛機
[00:05:46.640 --> 00:05:48.560]  不過她覺得國泰安全些
[00:05:48.560 --> 00:05:51.800]  她不會坐馬來西亞航空
[00:05:51.800 --> 00:05:54.120]  很少可以坐過
[00:05:54.120 --> 00:05:57.680]  乘客覺得船是安全的
[00:05:57.680 --> 00:05:59.120]  可以送他們去目的地
[00:05:59.120 --> 00:06:00.840]  否則他們不會上船
[00:06:00.840 --> 00:06:03.360]  但是這艘船原來是不合規格
[00:06:03.360 --> 00:06:05.960]  這艘船有多處地方不合規格
[00:06:05.960 --> 00:06:10.280]  又或者學生乘客相信船長在災難裏面
[00:06:10.280 --> 00:06:12.240]  他會有正確的判斷
[00:06:12.240 --> 00:06:16.480]  他會以乘客的第一刻安全作為考慮
[00:06:16.480 --> 00:06:17.760]  很多時我們都相信的
[00:06:17.760 --> 00:06:19.000]  其實在現在的時候
[00:06:19.000 --> 00:06:22.080]  船長應該是最正確的判斷
[00:06:22.080 --> 00:06:23.120]  我們不懂的
[00:06:23.120 --> 00:06:24.400]  不過各位
[00:06:24.400 --> 00:06:26.800]  在這件事上很明顯他信錯人
[00:06:26.800 --> 00:06:29.840]  因為船長和船員根本沒有考慮他們的需要
[00:06:29.840 --> 00:06:33.000]  而且是第一批離開自己走了的人
[00:06:33.000 --> 00:06:38.800]  所以我覺得或許不是在說信服不服從的問題
[00:06:38.800 --> 00:06:40.360]  而是我們生命裏面
[00:06:40.360 --> 00:06:44.200]  信 揀的一個問題
[00:06:44.200 --> 00:06:46.000]  我們有沒有信錯
[00:06:46.000 --> 00:06:47.440]  我們有沒有揀錯
[00:06:47.440 --> 00:06:48.840]  這個問題
[00:06:48.840 --> 00:06:49.720]  其實在人生裏面
[00:06:49.720 --> 00:06:54.360]  我自己覺得我們有很多東西組成我們的人生
[00:06:54.360 --> 00:06:56.320]  但是我很相信其中之一
[00:06:56.320 --> 00:06:59.800]  就是我們的人生其實是由抉擇和信任所組成
[00:06:59.800 --> 00:07:02.240]  我們不斷在做一些抉擇
[00:07:02.240 --> 00:07:03.880]  然後我們相信這些抉擇
[00:07:03.880 --> 00:07:07.600]  然後我們依靠這些東西去繼續生活
[00:07:07.600 --> 00:07:09.960]  但實在在現實或這次事件裏面
[00:07:09.960 --> 00:07:12.760]  令我自己思考的就是
[00:07:12.760 --> 00:07:14.600]  或者值得大家去想的
[00:07:14.600 --> 00:07:16.560]  我們所依賴的
[00:07:16.560 --> 00:07:20.320]  或者我們所相信或者我們所揀選的
[00:07:20.320 --> 00:07:22.200]  是不是真的信得過的呢
[00:07:22.200 --> 00:07:26.640]  或者這次事件可能在整個過程當中
[00:07:26.640 --> 00:07:27.920]  給我們看到的就是
[00:07:27.920 --> 00:07:29.280]  我們信錯
[00:07:29.280 --> 00:07:30.520]  我們揀錯
[00:07:30.520 --> 00:07:33.360]  或者我們要付出很大的代價
