
[00:00:00.000 --> 00:00:05.240]  我曾經同一位傳道人傾偈
[00:00:05.240 --> 00:00:07.600]  他大約五十歲
[00:00:07.600 --> 00:00:09.680]  溫文有禮
[00:00:09.680 --> 00:00:11.440]  常怒笑容
[00:00:11.440 --> 00:00:15.880]  他不講我都不知道原來他的身世這麼坎坷
[00:00:15.880 --> 00:00:17.400]  他告訴我
[00:00:17.400 --> 00:00:19.440]  曾經多次犯法
[00:00:19.440 --> 00:00:21.000]  打家劫舍
[00:00:21.000 --> 00:00:23.480]  坐監加埋都十幾廿年
[00:00:23.480 --> 00:00:26.440]  吸毒戒毒都過咗好多次
[00:00:26.440 --> 00:00:28.840]  後來喺戒毒所裏面
[00:00:28.840 --> 00:00:31.800]  信咗耶穌生命就完全改變
[00:00:31.800 --> 00:00:35.480]  最後仲做咗傳道人
[00:00:35.480 --> 00:00:37.680]  我有認識好多
[00:00:37.680 --> 00:00:41.400]  係屬於勝利人生組嘅基督徒
[00:00:41.400 --> 00:00:43.200]  點樣勝利人生組呢
[00:00:43.200 --> 00:00:44.760]  佢哋出身良好
[00:00:44.760 --> 00:00:46.200]  名校畢業
[00:00:46.200 --> 00:00:47.480]  有學識
[00:00:47.480 --> 00:00:49.040]  就有工作
[00:00:49.040 --> 00:00:50.240]  有兒有女
[00:00:50.240 --> 00:00:52.000]  有樓有車
[00:00:52.000 --> 00:00:53.240]  咁呀
[00:00:53.240 --> 00:00:56.600]  退休仲有一大筆養老金
[00:00:56.600 --> 00:01:00.400]  但係佢哋唔快樂唔開心
[00:01:00.400 --> 00:01:04.400]  佢哋對自己嘅健康家庭經濟都唔滿意
[00:01:04.400 --> 00:01:07.120]  佢哋覺得生活冇意義
[00:01:07.120 --> 00:01:08.920]  前途冇希望
[00:01:08.920 --> 00:01:12.600]  佢哋喺教會裏面嘅參與都唔積極
[00:01:12.600 --> 00:01:14.840]  聚會就循例嘅
[00:01:14.840 --> 00:01:16.680]  唔去就唔好意思
[00:01:16.680 --> 00:01:19.960]  有時落雨就喺網上聚會
[00:01:19.960 --> 00:01:22.720]  但過咗兩三次唔嚟
[00:01:22.720 --> 00:01:24.560]  前途人關心佢
[00:01:24.560 --> 00:01:25.760]  佢又覺得囉嗦
[00:01:25.760 --> 00:01:27.080]  咁結果又返返嚟
[00:01:27.080 --> 00:01:28.680]  你哋今日就唔應該係咁
[00:01:28.680 --> 00:01:30.040]  因為今日落雨你哋都嚟
[00:01:30.040 --> 00:01:31.600]  咁樣先好難得
[00:01:31.600 --> 00:01:34.240]  佢哋覺得
[00:01:34.240 --> 00:01:38.640]  耶穌基督講嘅永生好似得唔到
[00:01:38.640 --> 00:01:41.560]  耶穌基督應許嘅豐盛生命
[00:01:41.560 --> 00:01:43.160]  佢又唔經歷過
[00:01:43.160 --> 00:01:46.000]  如果你覺得你係咁嘅基督徒
[00:01:46.000 --> 00:01:48.120]  或者話多或少似你咁
[00:01:48.120 --> 00:01:50.280]  咁今日嘅訊息就好啱你用
[00:01:50.280 --> 00:01:52.640]  剛才嗰四字經文
[00:01:52.640 --> 00:01:53.680]  係好寶貴
[00:01:53.680 --> 00:01:56.360]  呢四字經文係話畀你知道
[00:01:56.360 --> 00:02:01.760]  點樣可以得到屬靈生命嘅最高境界
[00:02:01.760 --> 00:02:03.400]  咁又係有啲咁嘅事
[00:02:03.400 --> 00:02:05.800]  點解頭先奔波讀我好似唔覺咁
[00:02:05.800 --> 00:02:07.480]  咁我讀多一次
[00:02:07.480 --> 00:02:08.960]  係咪通常你好似
[00:02:08.960 --> 00:02:11.840]  即係好似食叉燒包咁樣
[00:02:11.840 --> 00:02:13.520]  食第一個就唔飽嘅
[00:02:13.520 --> 00:02:16.160]  第二個就飽就唔係因為第二個好
[00:02:16.160 --> 00:02:19.760]  因為食咗第一個先
[00:02:19.760 --> 00:02:25.760]  所以你們既然與基督一同復活就應該尋求天上的事
[00:02:25.760 --> 00:02:28.160]  哥羅西斯三章第一節
[00:02:28.160 --> 00:02:31.080]  哪裡有基督在在神的右邊
[00:02:31.080 --> 00:02:36.280]  你們思念的是天上的事不是地上的事
[00:02:36.280 --> 00:02:38.080]  因為你們已經死了
[00:02:38.080 --> 00:02:42.440]  你們的生命與基督一同隱藏在神裡面
[00:02:42.440 --> 00:02:44.720]  基督就是你們的生命
[00:02:44.720 --> 00:02:50.440]  但顯現的時候你們也要和他一同在榮耀裏顯現
[00:02:50.440 --> 00:02:54.600]  所以今日我要同大家分享一個屬靈秘笈
[00:02:54.600 --> 00:02:57.720]  點樣得到屬靈生命最高境界
[00:02:57.720 --> 00:03:00.120]  而且一定可以做到
[00:03:00.120 --> 00:03:03.520]  打功夫都未必一定得
[00:03:03.520 --> 00:03:06.800]  羅木斯說我一定可以做到
[00:03:06.800 --> 00:03:13.160]  咁我哋首先睇第一節
[00:03:13.160 --> 00:03:16.440]  第一節講到基督在在神的右邊
[00:03:16.440 --> 00:03:18.200]  呢度講咗兩樣嘢
[00:03:18.200 --> 00:03:20.520]  第一就有基督坐喺度
[00:03:20.520 --> 00:03:23.400]  第二基督坐喺神嘅右邊
[00:03:23.400 --> 00:03:27.400]  舊約時代嘅祭司就站著獻祭
[00:03:27.400 --> 00:03:30.760]  講道通常都係站著獻祭
[00:03:30.760 --> 00:03:33.000]  舊時嘅祭司就站著獻祭
[00:03:33.000 --> 00:03:38.560]  但基督作為大祭司獻上一次嘅永遠贖罪祭
[00:03:38.560 --> 00:03:42.320]  就係佢自己嘅身體獻上就坐低
[00:03:42.320 --> 00:03:48.200]  即係話人類嘅救贖工作就徹底完成
[00:03:48.200 --> 00:03:51.040]  就唔需要再站一度坐低
[00:03:51.040 --> 00:03:55.000]  同埋喺古代嘅傳統裏面
[00:03:55.000 --> 00:03:58.320]  中東坐低坐喺右邊
[00:03:58.320 --> 00:04:01.720]  就係最高嘅榮耀同埋權益
[00:04:01.720 --> 00:04:04.800]  如果你睇希伯來書你就睇到
[00:04:04.800 --> 00:04:07.160]  希伯來書十章十一到十二節
[00:04:07.160 --> 00:04:11.040]  佢話所有嘅祭司都是天天站著侍奉
[00:04:11.040 --> 00:04:13.880]  多次獻上同樣嘅祭品
