
[00:00:00.000 --> 00:00:01.440]  題目讀得很好
[00:00:01.440 --> 00:00:03.920]  「追求恩賜為己為人」
[00:00:03.920 --> 00:00:05.080]  是一個問號
[00:00:05.080 --> 00:00:07.840]  希望這個題目勾起大家
[00:00:07.840 --> 00:00:10.680]  想想究竟我們追求恩賜
[00:00:10.680 --> 00:00:14.520]  是為了自己還是為了別人呢?
[00:00:14.520 --> 00:00:16.840]  如果知道在這段時間
[00:00:16.840 --> 00:00:19.760]  從9月開始我們用愛這個主題
[00:00:19.760 --> 00:00:22.280]  希望在稿裡面能夠引用更多的愛
[00:00:22.280 --> 00:00:24.480]  如果你要看今天的《宣召經文》
[00:00:24.480 --> 00:00:25.720]  也要提醒我們
[00:00:25.720 --> 00:00:28.360]  上帝的愛是長富高深
[00:00:28.360 --> 00:00:32.760]  希望充滿在我們這個敬拜的當中
[00:00:32.760 --> 00:00:36.520]  如果還記得在過去無論是10月11月
[00:00:36.520 --> 00:00:38.360]  哥倫多前書的十二十三十四章
[00:00:38.360 --> 00:00:40.920]  是緊湊彼此連結著的
[00:00:40.920 --> 00:00:41.880]  在第十二章裡面
[00:00:41.880 --> 00:00:43.080]  我的題目是
[00:00:43.080 --> 00:00:45.560]  「追求恩賜是福是禍」
[00:00:45.560 --> 00:00:48.400]  究竟我們追求恩賜應該是福來的
[00:00:48.400 --> 00:00:49.880]  怎麼會帶來禍呢?
[00:00:49.880 --> 00:00:51.800]  待會我們看回哥倫多教會的故事
[00:00:51.800 --> 00:00:53.160]  你就知道了為什麼
[00:00:53.160 --> 00:00:55.760]  他們因為追求恩賜搞到分化
[00:00:55.760 --> 00:00:57.280]  搞到很多的分裂
[00:00:57.280 --> 00:00:58.880]  而在第十三章裡面
[00:00:58.880 --> 00:01:00.720]  保羅更加強調
[00:01:00.720 --> 00:01:02.800]  一切的源頭都是愛
[00:01:02.800 --> 00:01:05.040]  愛是給我們有力量
[00:01:05.040 --> 00:01:06.240]  是我們的開始
[00:01:06.240 --> 00:01:08.560]  是我們的永恆的力量
[00:01:08.560 --> 00:01:09.480]  是我們的動機
[00:01:09.480 --> 00:01:10.720]  也是我們的永恆力量
[00:01:10.720 --> 00:01:14.480]  以致我們透著愛連貫下去
[00:01:14.480 --> 00:01:19.880]  在上個星期我參加了一個醫學的一個講座
[00:01:19.880 --> 00:01:22.600]  聽到一些關於痛症的問題
[00:01:22.600 --> 00:01:23.600]  當我聽完之後
[00:01:23.600 --> 00:01:25.360]  發覺跟我今天講的有點關係
[00:01:25.360 --> 00:01:27.840]  所以我都想拿來做引言
[00:01:27.840 --> 00:01:29.160]  大家聽一下
[00:01:29.160 --> 00:01:31.400]  我們老人家都會痛的
[00:01:31.400 --> 00:01:34.080]  譬如你肩膀痛
[00:01:34.080 --> 00:01:36.040]  就不斷在治療肩膀
[00:01:36.040 --> 00:01:38.960]  但你會發覺肩膀痛不是因為肩膀的問題
[00:01:38.960 --> 00:01:40.560]  而是因為心臟的問題
[00:01:40.560 --> 00:01:42.880]  可能心臟有一點閉塞
[00:01:42.880 --> 00:01:45.240]  都會影響到肩膀
[00:01:45.240 --> 00:01:47.080]  大家不知道會不會試一下腰痛
[00:01:47.080 --> 00:01:48.600]  腰痛是否坐得不好
[00:01:48.600 --> 00:01:49.400]  腰骨累
[00:01:49.400 --> 00:01:51.400]  或者是骨質疏鬆
[00:01:51.400 --> 00:01:53.720]  原來胃有問題
[00:01:53.720 --> 00:01:55.560]  都會影響到腰痛
[00:01:55.560 --> 00:01:57.480]  令我想起原來我們身體
[00:01:57.480 --> 00:01:59.520]  每個部份都有關連的
[00:01:59.520 --> 00:02:02.440]  你手痛可能會影響到你的左腳
[00:02:02.440 --> 00:02:05.240]  有些人要治療膝蓋痛
[00:02:05.240 --> 00:02:08.920]  原來按摩一下左手又有幫助的
[00:02:08.920 --> 00:02:11.800]  令我想起原來我們身體是互為肢體
[00:02:11.800 --> 00:02:14.760]  大家都是大家有不同的
[00:02:14.760 --> 00:02:16.960]  做手做腳做眼做耳
[00:02:16.960 --> 00:02:18.640]  彼此互相連結的
[00:02:18.640 --> 00:02:20.280]  如果有一個肢體受苦
