
[00:00:00.000 --> 00:00:02.000]  (主席)各位弟兄姊妹,早晨
[00:00:02.000 --> 00:00:08.840]  (主席)在新的一年裏,願神賜福各位身心靈健康
[00:00:08.840 --> 00:00:19.840]  (主席)今年有沒有立志,盼望你們越來越走近神,越來越親近神呢?
[00:00:19.840 --> 00:00:27.800]  (主席)盼望待會我們聽完道之後,都能夠這樣立志
[00:00:27.800 --> 00:00:36.800]  (主席)我想問大家有沒有試過,曾經做一些事情,本來都很有信心,很有把握的
[00:00:36.800 --> 00:00:43.800]  (主席)但後來失去了信心,沒有把握做那件事情,有沒有試過這樣的情況?
[00:00:43.800 --> 00:00:46.800]  (主席)好像沒有,有些人有試過
[00:00:46.800 --> 00:00:55.800]  (主席)我最近,將一件以前很有把握,很有信心做的事情
[00:00:55.800 --> 00:01:01.800]  (主席)很多年之後,就完全對那件事沒有信心,沒有把握
[00:01:01.800 --> 00:01:05.800]  (主席)在過去一年裏,就沉回這種信心
[00:01:05.800 --> 00:01:09.800]  (主席)就是什麼呢?就是踢足球
[00:01:09.800 --> 00:01:14.800]  (主席)我很久沒有踢足球,上年之前,差不多十年
[00:01:14.800 --> 00:01:17.800]  (主席)所謂踢足球,不是跟兒子玩,踢踢踢那些
[00:01:17.800 --> 00:01:21.800]  (主席)是一起去玩,或者比賽也好
[00:01:21.800 --> 00:01:26.800]  (主席)我記得曾經試過,參加過一兩次
[00:01:26.800 --> 00:01:30.800]  (主席)好像有一次機發團搞運動會
[00:01:30.800 --> 00:01:34.800]  (主席)有一次跟一些年輕人一起去踢足球
[00:01:34.800 --> 00:01:37.800]  (主席)我踢踢踢,心裏面很慌
[00:01:37.800 --> 00:01:39.800]  (主席)那個球最好不要來我那裏
[00:01:39.800 --> 00:01:42.800]  (主席)因為來我那裏,我踢起一隻腳
[00:01:42.800 --> 00:01:45.800]  (主席)那個球已經過了我
[00:01:45.800 --> 00:01:48.800]  (主席)很難看
[00:01:48.800 --> 00:01:51.800]  (主席)越踢越心慌
[00:01:51.800 --> 00:01:54.800]  (主席)不如走遠一點,站在一旁
[00:01:54.800 --> 00:01:57.800]  (主席)真的是這樣的,真的沒有信心
[00:01:57.800 --> 00:02:00.800]  (主席)以前不是這樣的,不說以前那些
[00:02:00.800 --> 00:02:04.800]  (主席)今年有機會多了一些時間安排
[00:02:04.800 --> 00:02:07.800]  (主席)當成一個運動,多了打球
[00:02:07.800 --> 00:02:11.800]  (主席)有一班新的朋友,比較適合
[00:02:11.800 --> 00:02:15.800]  (主席)大家集在一起玩,沒有對抗性那麼強
[00:02:15.800 --> 00:02:19.800]  (主席)但都是一個比賽,踢球
[00:02:19.800 --> 00:02:23.800]  (主席)開頭都害怕的,最怕就在門前
[00:02:23.800 --> 00:02:27.800]  (主席)一個我們叫做最大的黃金機會
[00:02:27.800 --> 00:02:29.800]  (主席)不進,比進球更難的情況下
[00:02:29.800 --> 00:02:32.800]  (主席)誰知道那個球飛了上天
[00:02:32.800 --> 00:02:36.800]  (主席)但是踢著踢著,感覺出來了
[00:02:36.800 --> 00:02:38.800]  (主席)信心又增加了
[00:02:38.800 --> 00:02:40.800]  (主席)開始要入球了
[00:02:40.800 --> 00:02:42.800]  (主席)入球的信心增加
[00:02:42.800 --> 00:02:46.800]  (主席)下一次再踢的時候,就有興趣多了
