
[00:00:00.000 --> 00:00:02.660]  讓我們一起讀一節聖經
[00:00:02.660 --> 00:00:05.340]  在《箴言》第22章第六節
[00:00:05.340 --> 00:00:08.240]  只有一節的聖經我們一同來唸
[00:00:08.240 --> 00:00:11.320]  教養孩童使他走當行的道
[00:00:11.320 --> 00:00:14.400]  就是到老他也不偏離
[00:00:14.400 --> 00:00:16.000]  我們就讀到這裡
[00:00:16.000 --> 00:00:17.500]  今天是母親節
[00:00:17.500 --> 00:00:20.960]  在這裡特別再次恭祝每一位偉大的母親
[00:00:20.960 --> 00:00:22.800]  母親節非常非常快樂
[00:00:22.800 --> 00:00:24.540]  Amen! Hallelujah!
[00:00:24.540 --> 00:00:29.320]  我們真的要感謝神有母親節這個節日
[00:00:29.320 --> 00:00:31.480]  能夠在這樣一個節日裡面
[00:00:31.480 --> 00:00:33.880]  我們真的可以向我們的母親
[00:00:33.880 --> 00:00:38.600]  能夠表達我們對她們的愛跟感謝
[00:00:38.600 --> 00:00:40.800]  真的母親所付出的愛
[00:00:40.800 --> 00:00:45.680]  在我們一生當中真的是超過我們所能夠領會
[00:00:45.680 --> 00:00:48.000]  我常常想起我的母親
[00:00:48.000 --> 00:00:51.400]  真的我從小的時候就真的是記得
[00:00:51.400 --> 00:00:54.680]  她每一天跪在床前在為我禱告
[00:00:54.680 --> 00:00:56.680]  甚至後來我做了牧師
[00:00:56.680 --> 00:00:59.920]  她還是每一天不停止為我禱告
[00:00:59.920 --> 00:01:02.480]  一直到她離開這個世界
[00:01:02.480 --> 00:01:04.760]  我相信現在在天上恐怕
[00:01:04.760 --> 00:01:06.840]  她還是天天在為我禱告
[00:01:06.840 --> 00:01:08.560]  Hallelujah!
[00:01:08.560 --> 00:01:09.840]  我們從小長大
[00:01:09.840 --> 00:01:15.000]  我們看見母親在我們身上的愛與掛念
[00:01:15.000 --> 00:01:17.040]  那是永不止息的
[00:01:17.040 --> 00:01:19.640]  所以在這裡我真的是再次向我們中間
[00:01:19.640 --> 00:01:22.440]  偉大的母親們說一聲謝謝
[00:01:22.440 --> 00:01:24.720]  Amen!
[00:01:24.720 --> 00:01:26.920]  是因為你們的愛
[00:01:26.920 --> 00:01:29.760]  讓我們才明白上帝的愛
[00:01:29.760 --> 00:01:33.120]  是何等的長闊高深
[00:01:33.120 --> 00:01:36.120]  有人說在現今的世代教養兒女
[00:01:36.120 --> 00:01:38.920]  是一件教人謙卑的功課
[00:01:38.920 --> 00:01:42.960]  我相信每一位現代的父母都深有同感
[00:01:42.960 --> 00:01:44.880]  時代真的不同了
[00:01:44.880 --> 00:01:48.320]  教養兒女真的是好像越來越不容易
[00:01:48.320 --> 00:01:50.840]  雖然隨著科技的發達
[00:01:50.840 --> 00:01:53.160]  生活越來越方便
[00:01:53.160 --> 00:01:55.600]  但是另一方面這個世界
[00:01:55.600 --> 00:01:59.040]  好像變得越來越加複雜
[00:01:59.040 --> 00:02:00.880]  面對這樣複雜的世界
