
[00:00:00.000 --> 00:00:03.000]  弟兄姐妹平安 我們再一次低頭祈禱
[00:00:03.000 --> 00:00:08.000]  天父我們求你自己的說話 今天再一次跟我們說
[00:00:08.000 --> 00:00:14.000]  你開我們的心靈 也讓我們聽得到你今天對我們的呼喚
[00:00:14.000 --> 00:00:17.000]  奉耶穌基督的名祈求 阿們
[00:00:17.000 --> 00:00:22.000]  繼續說約翰福音的時候 現在我們已經去到第十二章
[00:00:22.000 --> 00:00:31.000]  基本上差不多是約翰福音當中 耶穌公眾侍奉的一個尾聲
[00:00:31.000 --> 00:00:35.000]  約翰福音基本上分了三個部份 第一至第十二章
[00:00:35.000 --> 00:00:45.000]  就是耶穌是對所有人來宣講 去行神蹟 去跟他們傳道
[00:00:45.000 --> 00:00:55.000]  到了第十三章開始 到了第十七章 耶穌單是集中去童門徒教導
[00:00:55.000 --> 00:01:02.000]  也是最後晚餐 去到耶穌頂十字架 後來復活
[00:01:02.000 --> 00:01:14.000]  所以去到這裡的時候 似乎已經差不多是去到一個段落的終結
[00:01:14.000 --> 00:01:18.000]  今天的主題就是十字架前夕的一周
[00:01:18.000 --> 00:01:24.000]  也是耶穌上十字架之前的最後一次
[00:01:24.000 --> 00:01:29.000]  在約翰福音記載他去當眾跟別人去教導
[00:01:29.000 --> 00:01:33.000]  或者有些接觸人的事跡
[00:01:33.000 --> 00:01:36.000]  之前一路去看約翰福音的時候 你都明白到
[00:01:36.000 --> 00:01:44.000]  其實約翰是刻意的將耶穌的一生
[00:01:44.000 --> 00:01:47.000]  其實他一生行了很多事 約翰自己也說
[00:01:47.000 --> 00:01:55.000]  他是非常有選擇性的 將一些他想要我們明白的呈現在我們面前
[00:01:55.000 --> 00:02:01.000]  就好像一個導遊 其實他要帶我們由外圍去到內圍
[00:02:01.000 --> 00:02:07.000]  由外圈有一個旁觀者 去到核心的當中
[00:02:07.000 --> 00:02:16.000]  現在這個圈一路收窄 對於公眾的侍奉今天是最後的
[00:02:16.000 --> 00:02:21.000]  接著就去到核心 耶穌跟著就跟門徒講的那些說話
[00:02:21.000 --> 00:02:26.000]  就是核心的人才會聽得見 一般人是沒得聽的
[00:02:26.000 --> 00:02:31.000]  在今天這一段經文當中 一開始的時候
[00:02:31.000 --> 00:02:37.000]  就講到一件大家可能都有聽過 或者都有印象
[00:02:37.000 --> 00:02:43.000]  一件很深刻的事情 就是瑪麗亞他們做了一個延籍
[00:02:43.000 --> 00:02:47.000]  大瑪麗亞拉薩諾都在那裡 可能不知道是不是在他家裡
[00:02:47.000 --> 00:02:52.000]  是一個很熟悉的環境
[00:02:52.000 --> 00:02:59.000]  那一班其實基本上都是耶穌的老友 可以這樣說
[00:02:59.000 --> 00:03:06.000]  耶穌在世上的老友或者朋友 那些不是那麼多的
[00:03:06.000 --> 00:03:11.000]  但是這一家人是一個非常親密耶穌的一班人
[00:03:11.000 --> 00:03:14.000]  上一次就講到拉薩諾復活那件事 你們知道
[00:03:14.000 --> 00:03:18.000]  他們可以稱拉薩諾為你所愛的人病鳥
[00:03:18.000 --> 00:03:23.000]  就是耶穌是跟我們非常親密
[00:03:23.000 --> 00:03:31.000]  一開始這個延籍 瑪麗亞就有一個非常特別的舉動
[00:03:31.000 --> 00:03:40.000]  他就將一個珍拿達的香膏的玉瓶 倒了一些香膏出來
[00:03:40.000 --> 00:03:46.000]  其他福音書的聖經有講到 甚至乎他把玉瓶打爛了
[00:03:46.000 --> 00:03:49.000]  就是把那些香膏倒出來的時候 打爛了玉瓶
[00:03:49.000 --> 00:03:58.000]  然後整間房子就滿了香氣 然後又用他自己的頭髮去抹耶穌的腳
[00:03:58.000 --> 00:04:05.000]  這個是一個很特別的行動 一般來說不會有的
[00:04:05.000 --> 00:04:10.000]  而瑪麗亞做這個行動 本身可以這樣說
[00:04:10.000 --> 00:04:16.000]  出乎意料之外 當然沒有一個門徒會猜到她這樣做
[00:04:16.000 --> 00:04:22.000]  我不知道她的家人 馬大或者拉薩諾知不知道
[00:04:22.000 --> 00:04:26.000]  但是就算你知道 有些時候你都明白
[00:04:26.000 --> 00:04:32.000]  有些事情你知道 但是到你真正見到在場親身經歷那種震撼
[00:04:32.000 --> 00:04:38.000]  是你即使之前知道 你是預計不到的
