
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹, 早安!
[00:00:02.000 --> 00:00:09.000]  很高興再次來到當中, 和大家分享神的話語和信息
[00:00:09.000 --> 00:00:13.000]  來到這裡, 每一次都很開心
[00:00:13.000 --> 00:00:17.000]  因為見到很多面孔, 有些是熟悉的
[00:00:17.000 --> 00:00:19.000]  當然, 大部分我都不太認識
[00:00:19.000 --> 00:00:23.000]  但是, 無論如何, 在主的裏面認不認識
[00:00:23.000 --> 00:00:27.000]  我們都是在主裏面的弟兄姊妹, 對嗎?
[00:00:27.000 --> 00:00:31.000]  所以, 今天我要和大家分享的題目
[00:00:31.000 --> 00:00:35.000]  可能對很多人都有很多的回憶
[00:00:35.000 --> 00:00:38.000]  有些是童年, 有些對我來說是童年回憶
[00:00:38.000 --> 00:00:42.000]  愛在心內戀, 為何是童年回憶?
[00:00:42.000 --> 00:00:48.000]  有問有答, 為甚麼?
[00:00:48.000 --> 00:00:51.000]  爸爸媽媽, 還有呢? 有甚麼童年回憶?
[00:00:51.000 --> 00:00:54.000]  或者你有甚麼回憶?
[00:00:54.000 --> 00:01:00.000]  是愛在心內戀, 是一首歌的曲
[00:01:00.000 --> 00:01:07.000]  記不記得當年, 1981年有一套電視劇叫《流氓皇帝》
[00:01:07.000 --> 00:01:10.000]  當中, 我很記得秋冠怎樣唱?
[00:01:10.000 --> 00:01:17.000]  白花小春光曉, 記不記得?
[00:01:17.000 --> 00:01:20.000]  他和誰一起唱?
[00:01:20.000 --> 00:01:24.000]  不是, 不是阿姐
[00:01:24.000 --> 00:01:27.000]  都是阿姐, 不過不是汪阿姐
[00:01:27.000 --> 00:01:34.000]  李思琦都不是, 很近, 大家都很近, 都是那個年代
[00:01:34.000 --> 00:01:40.000]  答案是谷姐, 關谷瑩
[00:01:40.000 --> 00:01:43.000]  詞很漂亮, 誰寫的?
[00:01:43.000 --> 00:01:47.000]  大家都猜到了, 給自己一點掌聲, 黃霑沒錯
[00:01:47.000 --> 00:01:51.000]  黃霑是占叔, 最後那句
[00:01:51.000 --> 00:01:57.000]  愛在心內戀
[00:01:57.000 --> 00:01:59.000]  有沒有回憶?
[00:01:59.000 --> 00:02:03.000]  不用拍手唱, 我不夠秋冠唱得好
[00:02:03.000 --> 00:02:08.000]  對我來說是童年回憶, 我是60後
[00:02:08.000 --> 00:02:14.000]  可能沒有林牧師那麼年青
[00:02:14.000 --> 00:02:17.000]  但是我都不小了
[00:02:17.000 --> 00:02:23.000]  所以對我來說, 1981年還在讀中學
[00:02:23.000 --> 00:02:28.000]  聽這首歌的時候, 我懂得背歌詞
