
[00:00:00.000 --> 00:00:03.960]  繼續說若拿書,今次說到第二章
[00:00:03.960 --> 00:00:11.000]  上一次說到若拿因為逃避而告訴他的使命
[00:00:11.000 --> 00:00:14.200]  他不但沒有去尼尼眉城
[00:00:14.200 --> 00:00:15.800]  而且他走了相反的方向
[00:00:15.800 --> 00:00:18.880]  乘船嘗試去他斯
[00:00:18.880 --> 00:00:23.320]  他斯即是現在的西班牙附近
[00:00:23.320 --> 00:00:26.360]  他乘船時遇到風浪
[00:00:26.360 --> 00:00:30.760]  被船員知道原因時把他扔進海裡
[00:00:30.760 --> 00:00:35.320]  耶和華神差派了一條大魚
[00:00:35.320 --> 00:00:37.680]  把他吃進肚子裡
[00:00:37.680 --> 00:00:40.120]  上一次也說過
[00:00:40.120 --> 00:00:47.560]  耶和華神不是想要殺死若拿
[00:00:47.560 --> 00:00:51.440]  而事實上在整個過程中
[00:00:51.440 --> 00:00:56.240]  我們知道神是想去調教若拿
[00:00:56.240 --> 00:01:01.440]  當他要去尼尼眉宣教時
[00:01:01.440 --> 00:01:05.400]  去幫助那些人認識耶和華真神
[00:01:05.400 --> 00:01:06.600]  叫他們悔改的時候
[00:01:06.600 --> 00:01:09.240]  其實他需要有一個正確的心態
[00:01:09.240 --> 00:01:12.320]  他需要明白神為何要差過去
[00:01:12.320 --> 00:01:17.040]  和神所關注的是甚麼的時候
[00:01:17.040 --> 00:01:20.800]  若拿是很需要改過
[00:01:20.800 --> 00:01:28.680]  若拿是很需要被神調整他有正確的心態
[00:01:28.680 --> 00:01:31.000]  在這樣的情況下
[00:01:31.000 --> 00:01:35.840]  耶和華神其實不是想把他弄死
[00:01:35.840 --> 00:01:37.800]  看到神憐憫的心
[00:01:37.800 --> 00:01:41.000]  其實他把一條大魚吃進肚子裡
[00:01:41.000 --> 00:01:44.200]  正如上一次結尾時也說
[00:01:44.200 --> 00:01:48.600]  其實這是給若拿一個重新反省的機會
[00:01:48.600 --> 00:01:51.040]  在魚的肚腹裡
[00:01:51.040 --> 00:01:56.120]  三天三夜其實是一個很好的反省場所
[00:01:56.120 --> 00:01:59.360]  在那裡好像一個禁食禱告的場所
[00:01:59.360 --> 00:02:02.800]  也和外界斷絕了一切的接觸
[00:02:02.800 --> 00:02:06.200]  可能在平時我們也有慣性的生活時
[00:02:06.200 --> 00:02:09.840]  很少機會去單獨獨處的反省時
[00:02:09.840 --> 00:02:14.560]  神讓我們有一些遭遇
[00:02:14.560 --> 00:02:20.640]  把我們困起來和外界斷絕一切的聯繫
[00:02:20.640 --> 00:02:25.200]  而單獨的面對面迎見神
[00:02:25.200 --> 00:02:27.720]  去反省我們屬靈的狀況
[00:02:27.720 --> 00:02:31.040]  若拿在肚腹裡正正就是這樣的情況
[00:02:31.040 --> 00:02:33.280]  在肚腹的三天三夜當中
[00:02:33.280 --> 00:02:37.880]  神讓他反省究竟他和神的關係是怎樣
[00:02:37.880 --> 00:02:41.440]  究竟神為何要給他這個使命
[00:02:41.440 --> 00:02:43.120]  為何他會遭遇這些事情
[00:02:43.120 --> 00:02:47.840]  為何他現在在這樣的困境當中
[00:02:47.840 --> 00:02:51.040]  而前面怎樣可以有出路
[00:02:51.040 --> 00:02:55.360]  其實這一切都是給他一個反省的機會
[00:02:55.360 --> 00:03:01.640]  在《若拿書》第二章記載了若拿的一個禱告
[00:03:01.640 --> 00:03:02.840]  它反省成怎樣呢
[00:03:02.840 --> 00:03:04.200]  我們當然沒有人知道
