
[00:00:00.000 --> 00:00:06.000]  今日我們分享的題目是 放下過去 踏步向前
[00:00:06.000 --> 00:00:09.000]  在少年報復時有一件很感恩的事
[00:00:09.000 --> 00:00:12.000]  就是很多時當我們見到我們牧養的青少年人
[00:00:12.000 --> 00:00:15.000]  其實他們的父母都會在教會聚會
[00:00:15.000 --> 00:00:20.000]  有時見到一些少年人發現他們有些特質 有些動作
[00:00:20.000 --> 00:00:25.000]  或者他們有些性格是跟他們的父母很像的
[00:00:25.000 --> 00:00:30.000]  我們見到的時候好像見到他們父母的迷你版一樣
[00:00:30.000 --> 00:00:35.000]  最近有一位少年人他就經過了考核
[00:00:35.000 --> 00:00:40.000]  就成為少年崇拜的敬拜領袖 即是帶領敬拜者
[00:00:40.000 --> 00:00:43.000]  我們在台下見到他帶領敬拜的時候發現
[00:00:43.000 --> 00:00:46.000]  原來他跟他父親都真的挺像的
[00:00:46.000 --> 00:00:49.000]  因為他父親在成人崇拜帶領敬拜的
[00:00:49.000 --> 00:00:53.000]  有時我們見到這位少年人他的動作這樣
[00:00:53.000 --> 00:01:00.000]  然後我發現 他跟他父親都真的挺像的
[00:01:00.000 --> 00:01:03.000]  有時不單止敬拜那些表情
[00:01:03.000 --> 00:01:06.000]  他們的編曲都是差不多的
[00:01:06.000 --> 00:01:11.000]  有時還發現他們父母穿衣服都有點像
[00:01:11.000 --> 00:01:14.000]  不知道應該稱讚父親還是稱讚兒子
[00:01:14.000 --> 00:01:17.000]  他們有時連穿衣服都有點像
[00:01:17.000 --> 00:01:19.000]  另外有一位少年人
[00:01:19.000 --> 00:01:22.000]  大家可能在去年的聖誕崇拜裏面
[00:01:22.000 --> 00:01:25.000]  都聽過他分享他的生命的見證
[00:01:25.000 --> 00:01:28.000]  他對生命的熱誠 他對生命的不放棄
[00:01:28.000 --> 00:01:31.000]  跟他在台上分享見證的母親很像
[00:01:31.000 --> 00:01:33.000]  不過有些大家可能見不到的
[00:01:33.000 --> 00:01:35.000]  就是原來在台下的他
[00:01:35.000 --> 00:01:37.000]  他都有十分搞笑的一面
[00:01:37.000 --> 00:01:39.000]  當他搞笑的時候
[00:01:39.000 --> 00:01:41.000]  我發現原來他跟他父親很像
[00:01:41.000 --> 00:01:44.000]  所以有時你跟他吃飯搞笑的時候
[00:01:44.000 --> 00:01:47.000]  原來好像見到他的迷你版父親那樣
[00:01:47.000 --> 00:01:49.000]  其實我自己都一樣的
[00:01:49.000 --> 00:01:52.000]  很多人說原來我都很像我父親
[00:01:52.000 --> 00:01:55.000]  尤其是我講話或者接待別人的時候
