
[00:00:00.000 --> 00:00:02.640]  在2015年的第一個字
[00:00:02.640 --> 00:00:06.260]  由十一點開始到現在
[00:00:06.260 --> 00:00:07.640]  十個字了
[00:00:07.640 --> 00:00:10.300]  你在那裏收到什麼呢?
[00:00:10.300 --> 00:00:13.260]  可能很快收到 剛剛特別那一則
[00:00:13.260 --> 00:00:15.180]  真是出奇了
[00:00:15.180 --> 00:00:16.480]  那兩個小時
[00:00:16.480 --> 00:00:18.360]  我在那裏看的時候 我在想
[00:00:18.360 --> 00:00:19.740]  在崇拜兩個小時
[00:00:19.740 --> 00:00:22.000]  就是和大家看電影的兩個小時
[00:00:22.000 --> 00:00:24.180]  在比較裏面都挺無奈
[00:00:24.180 --> 00:00:27.080]  因爲我絕對不會有荷里活的質素
[00:00:28.200 --> 00:00:30.200]  這應該是很現實的東西
[00:00:30.200 --> 00:00:31.760]  又或者可能在看的時候
[00:00:31.760 --> 00:00:34.020]  又在想 哎呀 是哦
[00:00:34.020 --> 00:00:36.920]  聖經的一章
[00:00:36.920 --> 00:00:39.240]  真的很難懂 又難明白
[00:00:39.240 --> 00:00:41.880]  但是小說 一個不錯
[00:00:41.880 --> 00:00:43.020]  真的看完了
[00:00:43.020 --> 00:00:44.840]  我在那裏看的時候 我才承認 是哦
[00:00:44.840 --> 00:00:46.840]  1月1號我纔剛剛開了一本小說
[00:00:46.840 --> 00:00:48.840]  其實昨天我已經看完了五百多版了
[00:00:48.840 --> 00:00:52.220]  看那些真的很快啊
[00:00:52.220 --> 00:00:54.700]  唯有聖經 當我呢
[00:00:54.700 --> 00:00:56.200]  不是一章章看
[00:00:56.200 --> 00:00:57.860]  而是一卷卷看
[00:00:57.860 --> 00:01:00.960]  我又發現 原來我的速度也追得上我看小說的
[00:01:00.960 --> 00:01:03.440]  大家明白這句嗎
[00:01:03.440 --> 00:01:06.300]  你的聖經越將它斬開一兩節看
[00:01:06.300 --> 00:01:09.500]  你越不知所措 越看越火滾 你明不明白啊
[00:01:09.500 --> 00:01:11.200]  當你看《撒姆爾記》上的時候
[00:01:11.200 --> 00:01:12.740]  咦 看了一點點之後又停
[00:01:12.740 --> 00:01:14.380]  轉頭又再來過
[00:01:14.380 --> 00:01:16.780]  其實整個故事沒停的嘛 你爲什麼整天停了呢
[00:01:16.780 --> 00:01:21.920]  我記得十幾年前有本叫《小說聖經》
[00:01:21.920 --> 00:01:23.520]  那段時間也挺好賣的
[00:01:23.520 --> 00:01:24.200]  是啊
[00:01:24.200 --> 00:01:26.200]  就是要提醒電影節目
[00:01:26.200 --> 00:01:28.920]  不要一天看 因爲上帝的話語很寶貴
[00:01:28.920 --> 00:01:30.620]  今天牧師分享的都是那兩節聖經
[00:01:30.620 --> 00:01:33.640]  於是乎我們每次看聖經都是三兩節
[00:01:33.640 --> 00:01:36.320]  結果呢 你一路學的是支離破碎
[00:01:36.320 --> 00:01:38.440]  你是支離破碎
[00:01:38.440 --> 00:01:39.960]  真是稀奇啊
[00:01:39.960 --> 00:01:41.360]  一百塊
