
[00:00:00.000 --> 00:00:02.260]  記不記得今期的系列講什麼
[00:00:02.260 --> 00:00:06.160]  通常都是前面那一節你不記得
[00:00:06.160 --> 00:00:08.780]  後面那個什麼雞和鴨說的比較容易記
[00:00:08.780 --> 00:00:11.200]  之前阿嵐上次也有說
[00:00:11.200 --> 00:00:14.020]  在這個系列裡面其實我們在說什麼溝通
[00:00:14.020 --> 00:00:17.120]  阿嵐重新強調了
[00:00:17.120 --> 00:00:20.080]  我們想說的溝通是說一個雙向的
[00:00:20.080 --> 00:00:21.280]  Mutual的
[00:00:21.280 --> 00:00:24.260]  是一個真正能夠有來有往
[00:00:24.260 --> 00:00:26.780]  有交流有互動的關係
[00:00:26.780 --> 00:00:28.080]  因為
[00:00:28.620 --> 00:00:31.620]  如果那些是「你有你講 我有我講」
[00:00:31.620 --> 00:00:34.320]  即是對面公園那些
[00:00:34.320 --> 00:00:36.860]  我完全不認識你都可以
[00:00:36.860 --> 00:00:39.660]  或者很八卦的
[00:00:39.660 --> 00:00:42.200]  但聽是怎樣呢 我不知道有沒有留意
[00:00:42.200 --> 00:00:44.680]  一些不關你的事的東西
[00:00:44.680 --> 00:00:47.380]  很容易聽得入耳
[00:00:47.380 --> 00:00:50.940]  即是有些東西是不用教的 講和聽都是
[00:00:50.940 --> 00:00:53.260]  即是你喜歡「你有你講」那些
[00:00:53.260 --> 00:00:56.040]  就很容易你不用教了 就「你有你講」
[00:00:56.040 --> 00:00:59.040]  聽八卦 摸花生那些就在旁邊坐著說「嘩 在旁邊教仔」
[00:00:59.040 --> 00:01:01.960]  即是那些自然就入耳了
[00:01:01.960 --> 00:01:05.020]  這些東西不用說 但我們說的是溝通 雞和鴨說的
[00:01:05.020 --> 00:01:08.100]  溝通是怎樣想去有一個好的溝通呢
[00:01:08.100 --> 00:01:11.040]  其實當我們上班
[00:01:11.040 --> 00:01:13.860]  或者可能還有兼職 上學 上教會
[00:01:13.860 --> 00:01:15.500]  我們遇到很多不同的人
[00:01:15.500 --> 00:01:19.100]  你身邊人大了 你會聽到很多很多不同的聲音
[00:01:19.100 --> 00:01:20.920]  很多很多不同的意見
[00:01:20.920 --> 00:01:24.260]  選哪份工作 哪一行
[00:01:24.260 --> 00:01:27.060]  做到差不多的時候
[00:01:27.060 --> 00:01:29.660]  轉不轉工 什麼時候轉
[00:01:29.660 --> 00:01:32.020]  老闆同事或客戶惹你生氣的時候
[00:01:32.020 --> 00:01:33.840]  頂到上學說還是不說呢
[00:01:33.840 --> 00:01:36.740]  怎樣跟他說呢 什麼時候說呢
[00:01:36.740 --> 00:01:39.740]  他講完之後 他聽完之後 那樣東西是怎樣呢 堅定留的呢
[00:01:39.740 --> 00:01:42.560]  接著受到氣又怎樣呢 即是很多這樣的意見
[00:01:42.560 --> 00:01:44.000]  聽聽聽 聽完聽完
[00:01:44.000 --> 00:01:47.520]  去到這個人生階段出來做事的時候
[00:01:47.520 --> 00:01:50.700]  可能父母同學 以前的同學
[00:01:50.700 --> 00:01:54.200]  或者什麼的影響力相對會小一點
[00:01:55.140 --> 00:01:57.800]  同事 老闆 前輩
[00:01:57.800 --> 00:02:00.820]  或者可能有些名人講的東西
[00:02:00.820 --> 00:02:03.040]  對你的影響力可能會大一點
[00:02:03.040 --> 00:02:07.220]  你會聽到很多不同的意見 我想問問 你一刻想想
[00:02:07.220 --> 00:02:08.660]  哪些人
[00:02:08.660 --> 00:02:13.180]  跟你講的東西呢 特別入耳的
[00:02:13.180 --> 00:02:17.580]  一句話 特別有影響力的
[00:02:17.580 --> 00:02:19.520]  你想想
[00:02:21.540 --> 00:02:24.520]  我說 是嗎 是嗎
[00:02:24.520 --> 00:02:26.540]  看不出來
[00:02:26.540 --> 00:02:30.300]  你知道這些東西應該經驗到的
[00:02:30.300 --> 00:02:31.300]  對不對
[00:02:31.300 --> 00:02:33.180]  多謝你
[00:02:33.180 --> 00:02:37.540]  你一定有一點 譬如上網聽YouTube
[00:02:37.540 --> 00:02:39.560]  你總是會Kick到一個頻道
[00:02:39.560 --> 00:02:42.720]  那些人一聽那些 嘩 很有point 很吸引你
[00:02:42.720 --> 00:02:45.900]  當然我們不是在外面聽講座
[00:02:45.900 --> 00:02:47.820]  我們回來教會
[00:02:47.820 --> 00:02:49.980]  一定很重要的一個
[00:02:49.980 --> 00:02:53.000]  今天透過聽什麼 當然是聽上帝講
[00:02:53.000 --> 00:02:56.200]  我覺得上帝講話是有一點難度的 聽
[00:02:56.200 --> 00:03:00.560]  你有沒有試過有一天起床坐在床上
[00:03:00.560 --> 00:03:03.020]  突然在旁邊 神坐在床上跟你講
[00:03:03.020 --> 00:03:05.580]  早晨 二字 你有沒有試過
[00:03:05.580 --> 00:03:10.020]  嘩 有試過嗎 你們 我沒有試過
[00:03:10.020 --> 00:03:12.900]  我都沒有吧
[00:03:12.900 --> 00:03:15.900]  我們聽不到這些
[00:03:15.900 --> 00:03:18.780]  這些verbal voice
[00:03:18.780 --> 00:03:22.040]  我沒試過 那你怎樣聽上帝講話
[00:03:22.040 --> 00:03:25.040]  所以今天很想跟大家分享一個故事
[00:03:25.040 --> 00:03:28.520]  一個舊約的故事 就是講神對
[00:03:28.520 --> 00:03:31.080]  一個少年人講的一個故事
[00:03:31.080 --> 00:03:34.160]  神對一個少年人呼喚他講的一個故事
[00:03:34.160 --> 00:03:37.760]  故事裡面 有人聽到 有人聽不到
[00:03:37.760 --> 00:03:40.860]  我們先去讀一讀出這些經文
[00:03:40.860 --> 00:03:42.920]  我出了個paraphrase 我第一個就是
[00:03:42.920 --> 00:03:44.840]  我想說 這個我很喜歡的
[00:03:44.840 --> 00:03:46.400]  就是講溝通
[00:03:47.000 --> 00:03:50.440]  你明明看到祂 祂又明明看到你
[00:03:50.440 --> 00:03:53.640]  但你卻去不到祂那裡
[00:03:53.640 --> 00:03:56.640]  我很喜歡這個故事 特意截圖
[00:03:56.640 --> 00:04:00.260]  讓大家一個snapshot 可以去經文裡面
[00:04:00.260 --> 00:04:03.760]  溝通就是這樣 明明看到 但溝通不到
[00:04:03.760 --> 00:04:06.720]  經文是記載在
[00:04:06.720 --> 00:04:09.580]  薩姆爾基
[00:04:09.580 --> 00:04:12.600]  上年記錯了
[00:04:12.600 --> 00:04:15.560]  請大家幫我讀好嗎 讀完這十八節的經文
[00:04:15.560 --> 00:04:18.500]  弟兄讀單節
[00:04:18.500 --> 00:04:21.180]  姐妹讀雙節 你知道什麼是單雙節吧
[00:04:21.180 --> 00:04:23.880]  那你幫我讀完它吧 預備 1 2 3
[00:04:46.560 --> 00:04:49.580]  請大家幫我讀完這十八節的經文
[00:04:49.580 --> 00:04:52.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:04:52.580 --> 00:04:55.580]  那你幫我讀完它吧 預備 1 2 3
[00:04:55.580 --> 00:04:58.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:04:58.580 --> 00:05:01.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:01.580 --> 00:05:04.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:04.580 --> 00:05:07.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:07.580 --> 00:05:10.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:10.580 --> 00:05:13.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:13.580 --> 00:05:16.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:16.580 --> 00:05:19.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:19.580 --> 00:05:22.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:22.580 --> 00:05:25.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:25.580 --> 00:05:28.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:28.580 --> 00:05:31.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:31.580 --> 00:05:34.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:34.580 --> 00:05:37.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:37.580 --> 00:05:40.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:40.580 --> 00:05:43.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:43.580 --> 00:05:46.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:46.580 --> 00:05:49.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:49.580 --> 00:05:52.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:52.580 --> 00:05:55.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:55.580 --> 00:05:58.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:05:58.580 --> 00:06:01.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:06:01.580 --> 00:06:04.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:06:04.580 --> 00:06:07.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:06:07.580 --> 00:06:10.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:06:10.580 --> 00:06:13.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:06:13.580 --> 00:06:16.580]  弟兄讀雙節 你知道什麼是單雙節吧
[00:06:16.580 --> 00:06:19.580]  弟兄讀雙節 你知道什麼是單雙節吧
