
[00:00:00.000 --> 00:00:04.840]  好,鄧先生、姊妹,在這裡代表我自己的家人
[00:00:04.840 --> 00:00:07.760]  以及教會都在這裡問大家安
[00:00:07.760 --> 00:00:11.720]  就是希望大家能夠在這個聖誕節旗裏面
[00:00:11.720 --> 00:00:15.640]  我們不只是今天崇拜去紀念我的恩主
[00:00:15.640 --> 00:00:17.480]  是在整個節旗裏面
[00:00:17.480 --> 00:00:20.480]  我們都去紀念我們的主耶穌基督
[00:00:20.480 --> 00:00:24.520]  怎樣光心來到這個世界上面,拯救我們
[00:00:24.520 --> 00:00:31.680]  曾經在我自己做實習傳道人的時候
[00:00:31.680 --> 00:00:35.080]  曾經有一位牧者這樣跟我說
[00:00:35.080 --> 00:00:43.960]  他說「Eleanor,人生特別做傳道人最困難的日子是幾時呢?」
[00:00:43.960 --> 00:00:45.840]  我說「是幾時?」
[00:00:45.840 --> 00:00:50.120]  他說「原來就是在聖誕節」
[00:00:50.120 --> 00:00:53.720]  為什麼這麼困難呢?這個時間,我也很奇怪
[00:00:53.720 --> 00:00:59.120]  他說「因為做傳道人,你每一年都要講聖誕的訊息」
[00:00:59.120 --> 00:01:05.440]  聖誕的訊息,其實大家都知道只有幾多卷經文
[00:01:05.440 --> 00:01:07.960]  來來去去都是那幾段而已
[00:01:07.960 --> 00:01:13.520]  他說「講了幾年,十年八載都OK的」
[00:01:13.520 --> 00:01:17.760]  「但是當你講到十幾年、二十年的時候」
[00:01:17.760 --> 00:01:20.000]  「你就開始沒什麼好講的了」
[00:01:20.000 --> 00:01:26.680]  所以真的很困難,不知道怎樣去安排聖誕節期的講道
[00:01:26.680 --> 00:01:35.880]  回顧一下,我自己做傳道人做了全職的傳道都二十三、二十四年了
[00:01:35.880 --> 00:01:39.840]  不要計算我實習的年代
[00:01:39.840 --> 00:01:42.720]  但是在那個過程裡面
[00:01:42.720 --> 00:01:47.680]  我發覺原來每一年聖誕都比我對我們的主耶穌基督
[00:01:47.680 --> 00:01:51.880]  有多一層的認識、多一層的了解
[00:01:51.880 --> 00:01:56.000]  也都是讓我對我們的主來到這個世界
[00:01:56.000 --> 00:02:02.520]  這件事有一個很不同的認識
[00:02:02.520 --> 00:02:07.240]  或者一個不同角度的深入去研究
[00:02:07.240 --> 00:02:11.680]  我就不覺得沒什麼好講的,我覺得講不完
[00:02:11.680 --> 00:02:16.960]  但是今年跟大家一起去看的是什麼訊息呢?
[00:02:16.960 --> 00:02:19.280]  我帶了一個很特別的題目給大家
[00:02:19.280 --> 00:02:22.240]  叫做「天父的兒子耶穌基督」
[00:02:22.240 --> 00:02:30.840]  聽起來是一個很平淡、很簡單的題目
[00:02:30.840 --> 00:02:34.920]  但是這個題目卻是讓我們在當中
[00:02:34.920 --> 00:02:38.840]  能夠有一個很不一樣的理解
[00:02:38.840 --> 00:02:43.800]  我希望透過這段聖經跟大家一起去看幾段聖經
[00:02:43.800 --> 00:02:46.360]  我很少講幾段聖經的一課道
[00:02:46.360 --> 00:02:49.080]  不過在這段聖經裡面
[00:02:49.080 --> 00:02:53.040]  是源自於一節的經文而誘發出來的題目
[00:02:53.040 --> 00:02:56.320]  我希望跟大家一起透過這段經文
[00:02:56.320 --> 00:02:59.600]  大家幾段經文去了解一下
[00:02:59.600 --> 00:03:05.360]  我們的主耶穌基督是怎樣成為天父這個獨特的兒子
[00:03:05.360 --> 00:03:08.520]  讓我們一起同心聆聽主導義先
[00:03:08.520 --> 00:03:14.880]  低頭禱告,仰望主愛的神
[00:03:14.880 --> 00:03:16.280]  創始成宗的父神
[00:03:16.280 --> 00:03:20.040]  我們再一次在您的面前請求您的帶領
[00:03:20.040 --> 00:03:22.360]  特別是您的聖靈
[00:03:22.360 --> 00:03:24.400]  讓聖靈能夠有到我們每一個
[00:03:24.400 --> 00:03:29.120]  能夠在打開您的說話、打開您的啟示裡面
[00:03:29.120 --> 00:03:32.480]  讓我們對淑靈的生命、對救恩
[00:03:32.480 --> 00:03:37.840]  都能夠有一個很不一樣透徹的理解
[00:03:37.840 --> 00:03:43.640]  也能夠將救恩能夠滲透在我們每一個淑靈的人的身上
[00:03:43.640 --> 00:03:45.440]  能夠得所造就
[00:03:45.440 --> 00:03:49.120]  所以我們懇求聖靈在這個時候來到我們每一個人的裡面
[00:03:49.120 --> 00:03:52.680]  屬於您的人、屬於您要拯救的人
[00:03:52.680 --> 00:03:55.960]  都能夠有五聖能夠明白當中的教導
[00:03:55.960 --> 00:03:57.440]  我們同心的禱告仰望
[00:03:57.440 --> 00:04:00.720]  奉靠主耶穌基督得聖的名字而求
[00:04:00.720 --> 00:04:03.120]  阿們
[00:04:03.120 --> 00:04:08.920]  最近我和一個朋友談及聖經的研讀過程當中
[00:04:08.920 --> 00:04:14.360]  我這個朋友差不多每個星期都有聽我說過
[00:04:14.360 --> 00:04:17.200]  我這個朋友和我很死黨
[00:04:17.200 --> 00:04:20.000]  死黨到一個地步是怎樣呢?
[00:04:20.000 --> 00:04:21.200]  他坦誠地說
[00:04:21.200 --> 00:04:25.200]  他說「Eleanor,似乎你把馬太福音說到上腦了」
[00:04:25.200 --> 00:04:27.200]  你明白什麼叫上腦嗎?
[00:04:27.200 --> 00:04:32.480]  就是差不多你能夠在馬太福音裡面找到的東西
[00:04:32.480 --> 00:04:36.600]  你都將它透徹、找了一圈、一輪出來
[00:04:36.600 --> 00:04:38.640]  然後做一輪的分析
[00:04:38.640 --> 00:04:41.720]  還有做一輪的反思
[00:04:41.720 --> 00:04:46.760]  能夠在當中嘗試去尋求主的意思
[00:04:46.760 --> 00:04:49.440]  在網上曾經有一個
[00:04:49.440 --> 00:04:50.760]  我想是姊妹
[00:04:50.760 --> 00:04:56.240]  她曾經有一天在評語裡面說了一句話
[00:04:56.240 --> 00:04:57.880]  我原本都不以為意的
[00:04:57.880 --> 00:05:02.680]  她說「我以為上帝在跟我說話」
[00:05:02.680 --> 00:05:04.680]  我不知道她這句話是什麼意思
[00:05:04.680 --> 00:05:09.160]  不過在後來當我這個很死黨的弟兄
[00:05:09.160 --> 00:05:11.360]  這樣跟我說的時候
[00:05:11.360 --> 00:05:14.040]  我就開始明白到一點
[00:05:14.040 --> 00:05:15.760]  原來在《不經不覺》裡面
[00:05:15.760 --> 00:05:18.720]  當我去讀馬太福音的時候
[00:05:18.720 --> 00:05:22.960]  原來上帝給我在這本書裡面
[00:05:22.960 --> 00:05:26.400]  有一個很不一樣、很透徹的理解
[00:05:26.400 --> 00:05:29.320]  今天我就跟大家一起去看一下
[00:05:29.320 --> 00:05:30.760]  一節的經文
[00:05:30.760 --> 00:05:35.000]  如何由馬太福音放射出去《聖經》的裡面
[00:05:35.000 --> 00:05:38.960]  讓我們去理解到這位創造的主
[00:05:38.960 --> 00:05:40.600]  如何猜測
[00:05:40.600 --> 00:05:42.960]  或者甚至他的獨生兒子
[00:05:42.960 --> 00:05:46.080]  來到這個世界上面成就這個救恩
