
[00:00:00.000 --> 00:00:02.200]  弟兄姊妹 感恩
[00:00:02.200 --> 00:00:03.600]  我們為周一姊妹團祭
[00:00:03.600 --> 00:00:08.000]  剛剛他們代表我們一齊去頌讚上帝
[00:00:08.000 --> 00:00:09.700]  一首很美麗的詩歌
[00:00:09.700 --> 00:00:12.000]  亦是一本書的名字
[00:00:12.000 --> 00:00:16.300]  就是求祢指教我們怎樣來祈禱
[00:00:16.300 --> 00:00:19.500]  耶穌教門徒來禱告
[00:00:19.500 --> 00:00:23.400]  所以這個主禱文其實應該正確的意思就是
[00:00:23.400 --> 00:00:27.200]  主教導門徒應該怎樣禱告
[00:00:27.200 --> 00:00:30.200]  主禱文給我們很方方面面
[00:00:30.200 --> 00:00:31.600]  很看清楚
[00:00:31.600 --> 00:00:36.100]  禱告的內容其實很豐富
[00:00:36.100 --> 00:00:37.600]  而且很完備
[00:00:37.600 --> 00:00:40.800]  正正是我們今天人生每一天的生活
[00:00:40.800 --> 00:00:45.300]  都需要和上帝有這種親密的結連
[00:00:45.300 --> 00:00:47.500]  人生在世總有苦難
[00:00:47.500 --> 00:00:50.700]  甚至一些不如意的事十常八九
[00:00:50.700 --> 00:00:53.100]  但我們卻很肯定一件事
[00:00:53.100 --> 00:00:56.700]  今天你擁有基督的信仰
[00:00:56.700 --> 00:01:00.600]  是讓我們去乘風破浪
[00:01:00.600 --> 00:01:04.900]  基督徒不代表我們地上的生活
[00:01:04.900 --> 00:01:06.400]  是無災無難
[00:01:06.400 --> 00:01:09.000]  亦都不代表我們一帆風順
[00:01:09.000 --> 00:01:10.900]  但我們卻很肯定
[00:01:10.900 --> 00:01:12.200]  很知道
[00:01:12.200 --> 00:01:16.000]  原來在我們面對任何的艱難
[00:01:16.000 --> 00:01:19.700]  我們可以靠著上帝給我們這個恩典
[00:01:19.700 --> 00:01:22.500]  我們可以得勝有餘
[00:01:22.500 --> 00:01:25.700]  我們最近教會講這個全人健康系列
[00:01:25.700 --> 00:01:28.300]  希望大家都不會有少少迷失
[00:01:28.300 --> 00:01:30.800]  因為每一個月我們講題
[00:01:30.800 --> 00:01:32.800]  亦都會加插了一些專題
[00:01:32.800 --> 00:01:35.300]  又有一些每個月的福音主日
[00:01:35.300 --> 00:01:38.100]  所以你可能聽一聽
[00:01:38.100 --> 00:01:39.800]  現在都不知道要去第幾堂
[00:01:39.800 --> 00:01:42.200]  我告訴大家今天是第幾堂
[00:01:42.200 --> 00:01:43.300]  唉 你們真是聰明
[00:01:43.300 --> 00:01:44.800]  因為已經打了出來
[00:01:44.800 --> 00:01:46.900]  第四堂
[00:01:46.900 --> 00:01:48.300]  這個第四堂
[00:01:48.300 --> 00:01:50.400]  我們好好重溫一下好不好
[00:01:50.400 --> 00:01:52.300]  第一堂我和大家講
[00:01:52.300 --> 00:01:53.700]  用信心
[00:01:53.700 --> 00:01:56.100]  要信心 信心有三樣東西
[00:01:56.100 --> 00:01:58.000]  我們可以在聖經去看見
[00:01:58.000 --> 00:02:01.100]  我們要來信靠神的話
[00:02:01.100 --> 00:02:03.200]  我們都相信聖靈
[00:02:03.200 --> 00:02:07.700]  是每一天在我們的生命當中引導我們
[00:02:07.700 --> 00:02:10.600]  我們都相信每一天我們的處境
[00:02:10.600 --> 00:02:11.800]  我們的遭遇
[00:02:11.800 --> 00:02:13.900]  是上帝容許的
[00:02:13.900 --> 00:02:16.100]  上帝祂總有祂美好的意思
[00:02:16.100 --> 00:02:18.900]  我們要用信心來體會
[00:02:18.900 --> 00:02:20.700]  食物
[00:02:20.700 --> 00:02:23.800]  Norris 傳道在那次講道順
[00:02:23.800 --> 00:02:25.100]  創造大地
[00:02:25.100 --> 00:02:26.700]  這個萬物的豐富
[00:02:26.700 --> 00:02:28.500]  是讓我們可以去享用
[00:02:28.500 --> 00:02:30.000]  不過我們不要貪婪
[00:02:30.000 --> 00:02:33.200]  亦都不要浪費
[00:02:33.200 --> 00:02:37.100]  要珍惜那些食物
[00:02:37.100 --> 00:02:38.300]  Fitness
