
[00:00:00.000 --> 00:00:03.080]  我是同心的禱告
[00:00:03.080 --> 00:00:08.760]  參加恩主,我們是被你分別為聖的群體
[00:00:08.760 --> 00:00:14.920]  我們恩爵一同去紀念、去高舉、去仰望
[00:00:14.920 --> 00:00:18.120]  上帝你跟我們所立下的恩約
[00:00:18.120 --> 00:00:22.440]  以致我們找尋上帝你在聖經裡給我們的應許
[00:00:22.440 --> 00:00:24.440]  我們常傳盼望
[00:00:24.440 --> 00:00:28.880]  以致將你的話語、聖靈的工作成為我們的鼓勵
[00:00:28.880 --> 00:00:34.080]  以致無論一瞬間說的,聽的也同去蒙福
[00:00:34.080 --> 00:00:36.640]  聽我們的禱告,奉靠我救主
[00:00:36.640 --> 00:00:38.840]  耶穌基督,保貴聖名去求
[00:00:38.840 --> 00:00:40.500]  阿們
[00:00:40.500 --> 00:00:44.240]  在一個充滿憎敬的現實世界
[00:00:44.240 --> 00:00:46.440]  我們一樣東西都在比拼中
[00:00:46.440 --> 00:00:47.000]  是嗎?
[00:00:47.000 --> 00:00:52.560]  我們的財富、學歷、知識、外形、能力等等
[00:00:52.560 --> 00:00:56.520]  好,坦白去說,就算身處一個信仰的群體
[00:00:56.520 --> 00:01:02.320]  因此我們不經意地都被世界很多的價值觀牽動著
[00:01:02.320 --> 00:01:05.440]  不知不覺仍然在比較
[00:01:05.440 --> 00:01:09.320]  心中好像很想自己或自己所屬的群體
[00:01:09.320 --> 00:01:13.800]  比其他單位出色一點,可以被人稱讚兩句
[00:01:13.800 --> 00:01:18.000]  最近多了很多海外的親友來慰慰崇拜
[00:01:18.000 --> 00:01:22.040]  完結之後,你問問他們,他們覺得我們的崇拜如何?
[00:01:22.040 --> 00:01:24.720]  如果他們說,外國那個怎樣好怎樣好怎樣好
[00:01:24.720 --> 00:01:27.800]  你一句都不稱讚,不知道你會有什麼感受
[00:01:27.800 --> 00:01:29.120]  靠近一點
[00:01:29.120 --> 00:01:34.280]  你跟你的拍檔一起在團購裡帶茶餐
[00:01:34.280 --> 00:01:37.360]  聚會結束後,他們走過來
[00:01:37.360 --> 00:01:40.160]  不斷稱讚你的拍檔,好啊好啊好
[00:01:40.160 --> 00:01:42.000]  你一句都不稱讚你
[00:01:42.000 --> 00:01:45.520]  你的感受會是怎樣呢?
[00:01:45.520 --> 00:01:48.000]  我們有時候會很擔心
[00:01:48.000 --> 00:01:53.480]  其他人的優秀,好像會削弱了自己的光芒
[00:01:53.480 --> 00:01:57.800]  我們刻意想找一些不及我們的人
[00:01:57.800 --> 00:02:01.360]  跟我們去比較,去自我肯定
[00:02:01.360 --> 00:02:05.280]  怎樣可以避免將一個強弱比拼的文化
[00:02:05.280 --> 00:02:08.200]  不知不覺帶來了一個信仰群體
[00:02:08.200 --> 00:02:10.760]  能夠真是彼此同行,互相勉勵
[00:02:10.760 --> 00:02:12.280]  我們不去憎敬
[00:02:12.280 --> 00:02:13.560]  雖然我知道不容易
[00:02:13.560 --> 00:02:15.480]  讓我們從今天的經文一起
[00:02:15.480 --> 00:02:18.200]  我們去學習,我們去思想
[00:02:18.200 --> 00:02:19.520]  我們會繼續看《老家福音》
