
[00:00:00.000 --> 00:00:03.120]  今天的講題叫做「奇妙測試」
[00:00:03.120 --> 00:00:06.080]  也是聖誕講題中
[00:00:06.080 --> 00:00:08.560]  一個特別的環節
[00:00:08.560 --> 00:00:11.040]  講起奇妙測試的奇妙
[00:00:11.040 --> 00:00:13.880]  我猜我們想起可能有很多事情
[00:00:13.880 --> 00:00:17.960]  特別是當我們認識梁牧師
[00:00:17.960 --> 00:00:20.200]  他很喜歡說一句話叫做
[00:00:20.200 --> 00:00:25.120]  How Wonderful
[00:00:25.120 --> 00:00:28.400]  或者第二句是約定你
[00:00:28.400 --> 00:00:30.160]  How Wonderful
[00:00:30.160 --> 00:00:31.640]  當然在聖誕來說
[00:00:31.640 --> 00:00:35.840]  對我們很多時候都有很多美好的回憶
[00:00:35.840 --> 00:00:37.760]  在今年以先
[00:00:37.760 --> 00:00:39.200]  不是今年
[00:00:39.200 --> 00:00:41.080]  以往通常問弟兄姊妹
[00:00:41.080 --> 00:00:43.720]  你有什麼很難忘的聖誕
[00:00:43.720 --> 00:00:46.440]  有什麼很感恩的聖誕
[00:00:46.440 --> 00:00:48.920]  有什麼奇妙經歷的聖誕
[00:00:48.920 --> 00:00:52.160]  很多人都有很多不同的分享
[00:00:52.160 --> 00:00:53.520]  對我來說也有的
[00:00:53.520 --> 00:00:55.360]  以往我記得第一次
[00:00:55.360 --> 00:00:57.760]  在聖誕節那一天
[00:00:57.760 --> 00:00:59.760]  看到下雪
[00:00:59.760 --> 00:01:01.920]  對我也有很大記憶
[00:01:01.920 --> 00:01:06.600]  剛剛那年也是我第一次聽這首詩歌
[00:01:06.600 --> 00:01:08.120]  不是這首歌
[00:01:08.120 --> 00:01:09.360]  不是詩歌
[00:01:09.360 --> 00:01:09.880]  就是叫做
[00:01:09.880 --> 00:01:14.120]  I'm Dreaming of a White Christmas
[00:01:14.120 --> 00:01:15.720]  不知道大家有沒有聽過
[00:01:15.720 --> 00:01:17.160]  這首歌就是這樣的
[00:01:17.160 --> 00:01:18.600]  讓我先唱一句
[00:01:18.600 --> 00:01:20.160]  讓大家有些回憶
[00:01:20.160 --> 00:01:23.280]  這首歌其實也有80年的歷史
[00:01:23.280 --> 00:01:25.280]  好像70、80年最少
[00:01:25.280 --> 00:01:26.880]  可以找一下多少年
[00:01:26.880 --> 00:01:27.880]  我也忘記了
[00:01:27.880 --> 00:01:28.800]  不過有幾十年
[00:01:28.800 --> 00:01:30.640]  這首歌是這樣的
[00:01:30.640 --> 00:01:37.560]  I'm Dreaming of a White Christmas
[00:01:37.560 --> 00:01:38.760]  有沒有聽過
[00:01:38.760 --> 00:01:43.680]  Just as the ones I used to know
[00:01:43.680 --> 00:01:45.800]  我覺得唱得挺好聽的
[00:01:45.800 --> 00:01:46.600]  大家覺得怎樣
[00:01:46.600 --> 00:01:48.440]  給點掌聲給耶穌
[00:01:48.440 --> 00:01:49.280]  有些記憶
