
[00:00:00.000 --> 00:00:02.200]  各位鄧兄姊妹朋友 早晨
[00:00:02.200 --> 00:00:05.760]  都有一段時間 都接近兩個禮拜
[00:00:05.760 --> 00:00:09.280]  三個禮拜沒有跟大家相見了 在港台上
[00:00:09.280 --> 00:00:11.900]  我們今天開始就會
[00:00:11.900 --> 00:00:14.820]  上個禮拜開始就講了感恩節的訊息
[00:00:14.820 --> 00:00:17.300]  其實我們在感恩節的期間裏面
[00:00:17.300 --> 00:00:19.820]  都不斷在數算主給我們的恩典
[00:00:19.820 --> 00:00:22.940]  不只是很開心地想起以前的事情
[00:00:22.940 --> 00:00:24.780]  但是我們細想到
[00:00:24.780 --> 00:00:29.240]  主在我們這個人生的路途上
[00:00:29.240 --> 00:00:31.540]  無論我們遇到各樣的困苦
[00:00:31.540 --> 00:00:33.920]  家庭的破碎的困難
[00:00:33.920 --> 00:00:36.320]  或者是工作場所的問題
[00:00:36.320 --> 00:00:37.880]  到走投無路的時候
[00:00:37.880 --> 00:00:40.620]  我們都不忘記主給我們的恩典
[00:00:40.620 --> 00:00:43.700]  我們感謝神 就算在COVID這個疫情當中
[00:00:43.700 --> 00:00:45.520]  神一直都保守我們
[00:00:45.520 --> 00:00:48.480]  遇到有疾病的都能夠得到醫治
[00:00:48.480 --> 00:00:50.820]  我們心裏面都能夠得到爆竹
[00:00:50.820 --> 00:00:55.120]  我們上一次講道的時候
[00:00:55.120 --> 00:00:58.620]  我們會在這裏繼續看二弗所書第三章的時候
[00:00:58.620 --> 00:01:00.260]  在二弗所書第三章
[00:01:00.260 --> 00:01:05.560]  是當保羅被困在羅馬的城裏面
[00:01:05.560 --> 00:01:06.720]  被軟禁的時候
[00:01:06.720 --> 00:01:07.940]  在患難當中
[00:01:07.940 --> 00:01:11.300]  保羅都在鼓勵二弗所的門徒說
[00:01:11.300 --> 00:01:13.540]  要仍然要傳福音
[00:01:13.540 --> 00:01:15.300]  做一個福音的執事
[00:01:15.300 --> 00:01:16.140]  因為
[00:01:16.140 --> 00:01:18.020]  原因是甚麼 我們在這個患難當中
[00:01:18.020 --> 00:01:21.260]  因為我們將來會在神面前同德榮耀
[00:01:21.260 --> 00:01:26.160]  當時我們就提出有三個回應的提醒
[00:01:26.160 --> 00:01:28.480]  福音就是一個唯一的出路
[00:01:28.480 --> 00:01:31.220]  同時可以把握傳福音的機會和構陷
[00:01:31.220 --> 00:01:33.080]  給我們力量去傳福音
[00:01:33.080 --> 00:01:34.940]  我們過去那三個星期
[00:01:34.940 --> 00:01:37.820]  我們福音中心就有一個掃樹業
[00:01:37.820 --> 00:01:41.240]  清理樹業的服務的活動
[00:01:41.240 --> 00:01:45.540]  我們有很多弟兄姊妹去一同參與
[00:01:45.540 --> 00:01:48.220]  三堂一起去參與
[00:01:48.220 --> 00:01:51.320]  幫忙清理了十間房子
[00:01:51.320 --> 00:01:53.720]  去為十間房子的家庭
[00:01:53.720 --> 00:01:56.340]  他們遇到困難不能夠自己做的時候
[00:01:56.340 --> 00:01:59.520]  我們同心一同去爭取這個機會
[00:01:59.520 --> 00:02:01.980]  一同去明白到原來神
[00:02:01.980 --> 00:02:03.780]  是將我們藉著福音的緣故
[00:02:03.780 --> 00:02:05.440]  將我們連在一起
[00:02:05.440 --> 00:02:06.980]  我們看到
[00:02:06.980 --> 00:02:07.940]  看到這裡的時候
[00:02:07.940 --> 00:02:09.580]  我們剛才所讀的經文當中
[00:02:09.580 --> 00:02:10.740]  我們提醒我們
[00:02:10.740 --> 00:02:11.700]  當我們
[00:02:11.700 --> 00:02:14.060]  這個不只是一個理論
[00:02:14.060 --> 00:02:15.300]  一個是一個的
[00:02:15.300 --> 00:02:17.020]  從一個教會
[00:02:17.020 --> 00:02:18.900]  如同一個人
[00:02:18.900 --> 00:02:20.980]  一個身體
[00:02:20.980 --> 00:02:23.380]  為主義而同工
[00:02:23.380 --> 00:02:28.060]  我們看回《撒慕爾記》上
[00:02:28.060 --> 00:02:30.100]  我們開始了這個主題
[00:02:30.100 --> 00:02:33.560]  就是教導我們怎樣做一個神的僕人
[00:02:33.560 --> 00:02:36.760]  我們看到如同一人的故事當中
[00:02:36.760 --> 00:02:38.380]  我們看到
[00:02:38.380 --> 00:02:41.260]  這個故事是第十二章
[00:02:41.260 --> 00:02:41.940]  十一章
[00:02:41.940 --> 00:02:44.100]  《撒慕爾記》上十一章的故事
[00:02:44.100 --> 00:02:45.520]  就看到一個
[00:02:45.520 --> 00:02:48.020]  穩如一隻眼睛
[00:02:48.020 --> 00:02:49.720]  而有很大的掙扎
[00:02:49.720 --> 00:02:52.760]  這個故事就提到
[00:02:52.760 --> 00:02:55.100]  我們怎樣去教導我們
[00:02:55.100 --> 00:02:56.820]  怎樣去患難當中
[00:02:56.820 --> 00:02:58.080]  成為別人的祝福
[00:02:58.080 --> 00:03:00.220]  我們身為基督徒的時候
[00:03:00.220 --> 00:03:02.020]  我們怎樣藉著這個故事
[00:03:02.020 --> 00:03:04.560]  去能夠明白神的話語呢?
[00:03:04.560 --> 00:03:07.740]  我想大家做一個小小的
[00:03:07.740 --> 00:03:08.500]  object lesson
[00:03:08.500 --> 00:03:09.700]  一個實驗
[00:03:09.700 --> 00:03:11.660]  不如你和旁邊的那個
[00:03:11.660 --> 00:03:12.780]  舉起一隻手
[00:03:12.780 --> 00:03:13.620]  一隻手指
[00:03:13.620 --> 00:03:15.140]  其中一個舉起一隻手指
[00:03:15.140 --> 00:03:16.420]  你就嘗試
[00:03:16.420 --> 00:03:19.060]  另外一個拍檔就嘗試
[00:03:19.060 --> 00:03:20.340]  去碰一碰他
[00:03:20.340 --> 00:03:21.020]  好不好?
[00:03:21.020 --> 00:03:22.620]  嘗試用兩隻手
[00:03:22.620 --> 00:03:24.060]  用兩隻手去碰一碰他
[00:03:24.060 --> 00:03:25.060]  這樣去碰一碰他
[00:03:25.060 --> 00:03:25.700]  OK?
[00:03:25.700 --> 00:03:26.500]  是不是很容易啊?
[00:03:26.500 --> 00:03:27.140]  是不是很容易啊?
[00:03:27.140 --> 00:03:28.620]  其實真的很容易啊
[00:03:28.620 --> 00:03:29.020]  是不是?
[00:03:29.020 --> 00:03:30.300]  接著現在這樣了
[00:03:30.300 --> 00:03:31.340]  掩著右眼
[00:03:31.340 --> 00:03:32.300]  只剩下一隻眼
[00:03:32.300 --> 00:03:33.820]  你又要嘗試去碰一碰他
[00:03:33.820 --> 00:03:36.100]  不要
[00:03:36.100 --> 00:03:36.780]  碰一碰他
[00:03:36.780 --> 00:03:37.740]  不要
[00:03:37.740 --> 00:03:40.820]  看看
[00:03:40.820 --> 00:03:41.420]  是不是?
[00:03:41.420 --> 00:03:43.420]  其實這個當中我們看到
[00:03:43.420 --> 00:03:44.540]  《撒慕爾記》上
[00:03:44.540 --> 00:03:46.900]  第十一章的故事當中
[00:03:46.900 --> 00:03:47.820]  我們就看到
[00:03:47.820 --> 00:03:50.220]  原來我們看東西
