
[00:00:00.000 --> 00:00:10.000]  是一個過程 神的形象是可以落實在一個人的裏面
[00:00:10.000 --> 00:00:16.000]  一個過程 透過這個過程 我們可以看到神的形象是一個人的形象
[00:00:16.000 --> 00:00:18.000]  這個過程 我們怎樣看呢
[00:00:18.000 --> 00:00:20.000]  如果我們說它是過程呢
[00:00:20.000 --> 00:00:25.000]  它一定是不斷的 演變的
[00:00:25.000 --> 00:00:30.000]  所以充滿了動力的 多端變化的
[00:00:30.000 --> 00:00:32.000]  這個過程的意思
[00:00:32.000 --> 00:00:35.000]  是一種unfolding的 ongoing
[00:00:35.000 --> 00:00:39.000]  所以在這個過程裏面是永遠不會停止的
[00:00:39.000 --> 00:00:41.000]  即是說你信了主之後
[00:00:41.000 --> 00:00:45.000]  神的性情要落實在你裏面是不斷的
[00:00:45.000 --> 00:00:47.000]  由信主那一刻開始
[00:00:47.000 --> 00:00:51.000]  就算你以為你很冷淡
[00:00:51.000 --> 00:00:54.000]  你已經一段時間沒有回到禮拜堂
[00:00:54.000 --> 00:00:59.000]  但是你要相信是無形的formation在這裏
[00:00:59.000 --> 00:01:02.000]  因為有很多時候你遇到一些人
[00:01:02.000 --> 00:01:03.000]  他會告訴你
[00:01:03.000 --> 00:01:07.000]  我因為經過了很長的時間
[00:01:07.000 --> 00:01:09.000]  冷淡的經過
[00:01:09.000 --> 00:01:13.000]  我才體會到人生的那種空虛
[00:01:13.000 --> 00:01:17.000]  然後我開始要找這個真的神
[00:01:17.000 --> 00:01:21.000]  而他又開始要好好落實去找
[00:01:21.000 --> 00:01:23.000]  或者有些人會告訴你
[00:01:23.000 --> 00:01:25.000]  我經過了長期懷疑
[00:01:25.000 --> 00:01:28.000]  還有犯了很多罪
[00:01:28.000 --> 00:01:31.000]  於是乎我看到裏面的虛無
[00:01:31.000 --> 00:01:33.000]  而那種虛無的力量
[00:01:33.000 --> 00:01:36.000]  反而產生了一個動力
[00:01:36.000 --> 00:01:40.000]  動力要推這個人去尋求生命的意義
[00:01:40.000 --> 00:01:42.000]  所以在這樣來看
[00:01:42.000 --> 00:01:45.000]  我們說那種懷疑的時間
[00:01:45.000 --> 00:01:48.000]  那種跌倒的時間
[00:01:48.000 --> 00:01:50.000]  那種失落的時間
[00:01:50.000 --> 00:01:52.000]  都是一個動力
[00:01:52.000 --> 00:01:56.000]  那種動力我們覺得是一種負面的動力
[00:01:56.000 --> 00:02:00.000]  但是也推這個人向真的方向去
[00:02:00.000 --> 00:02:05.000]  我們也說那是在過程裏面
[00:02:05.000 --> 00:02:07.000]  而我們這樣看
[00:02:07.000 --> 00:02:12.000]  我們對於栽培人
[00:02:12.000 --> 00:02:13.000]  跟人接觸
[00:02:13.000 --> 00:02:15.000]  教主學
[00:02:15.000 --> 00:02:17.000]  去教會崇拜
[00:02:17.000 --> 00:02:21.000]  有很多活動在中心發展
[00:02:21.000 --> 00:02:25.000]  全部都是參與在這個過程裏面
[00:02:25.000 --> 00:02:28.000]  如果我們有這樣的看見
[00:02:28.000 --> 00:02:29.000]  所有的活動
[00:02:29.000 --> 00:02:32.000]  和你一舉手一投足
[00:02:32.000 --> 00:02:34.000]  跟人接觸的時候
[00:02:34.000 --> 00:02:39.000]  已經是產生塑造的效果
[00:02:39.000 --> 00:02:40.000]  你會很小心
[00:02:40.000 --> 00:02:43.000]  你會對你旁邊左右的人很小心
[00:02:43.000 --> 00:02:45.000]  而這個on going process
[00:02:45.000 --> 00:02:47.000]  是包含很多
[00:02:47.000 --> 00:02:50.000]  我們剛才說了
[00:02:50.000 --> 00:02:53.000]  而在這個過程裏面
[00:02:53.000 --> 00:02:55.000]  我待會會再說一些
[00:02:55.000 --> 00:02:57.000]  怎樣去塑造
[00:02:57.000 --> 00:03:02.000]  我要再仔細一點說一下
[00:03:02.000 --> 00:03:04.000]  realize這個字
[00:03:04.000 --> 00:03:05.000]  即是著著實實
