
[00:00:00.000 --> 00:00:02.000]  各位大師兄妹姐妹平安
[00:00:02.000 --> 00:00:04.320]  明天就是聖靈降臨節
[00:00:04.320 --> 00:00:09.200]  三代經文一般都會重讀《使徒行傳》二章的經文
[00:00:09.200 --> 00:00:13.480]  亦即是門徒領受聖靈那時的景象
[00:00:13.480 --> 00:00:15.360]  而在《使徒行傳》一章
[00:00:15.360 --> 00:00:20.560]  甚至作為《使徒行傳》前書的路交福音
[00:00:20.560 --> 00:00:25.400]  其實已經為聖靈降臨的事做了一個引言
[00:00:25.400 --> 00:00:28.640]  譬如在《使徒行傳》一章說到
[00:00:28.640 --> 00:00:33.720]  主耶穌在復活和升天之間的四十日裏面
[00:00:33.720 --> 00:00:39.720]  祂就藉著聖經向門徒講了關於神國的事
[00:00:39.720 --> 00:00:41.040]  然後祂就叫門徒
[00:00:41.040 --> 00:00:42.800]  你們回去耶路撒冷
[00:00:42.800 --> 00:00:44.080]  你們要去等
[00:00:44.080 --> 00:00:44.720]  等什麼?
[00:00:44.720 --> 00:00:46.880]  等聖靈的洗
[00:00:46.880 --> 00:00:49.360]  而根據路交福音最後一章
[00:00:49.360 --> 00:00:52.000]  又或者是大使命的內容
[00:00:52.000 --> 00:00:55.040]  我們就明白到聖靈的洗
[00:00:55.040 --> 00:00:59.400]  就即是講到上頭而來的一個能力
[00:00:59.400 --> 00:01:01.720]  每章講到聖靈的能力
[00:01:01.720 --> 00:01:05.920]  不同的教會宗派其實都有著不同的看法
[00:01:05.920 --> 00:01:09.160]  譬如一些講求經歷的教會
[00:01:09.160 --> 00:01:13.880]  就會強調聖靈的能力是用來醫病
[00:01:13.880 --> 00:01:15.720]  趕鬼
[00:01:15.720 --> 00:01:17.080]  講預言
[00:01:17.080 --> 00:01:21.480]  簡單講就是施行神蹟騎士的能力
[00:01:21.480 --> 00:01:25.640]  而一些講求聖經教導的教會
[00:01:25.640 --> 00:01:27.960]  就會將聖靈看為什麼?
[00:01:27.960 --> 00:01:29.640]  是保衛師
[00:01:29.640 --> 00:01:32.320]  意思是說是要用來提醒你
[00:01:32.320 --> 00:01:34.680]  提醒你不要做一些壞事
[00:01:34.680 --> 00:01:36.280]  要做一些好的事
[00:01:36.280 --> 00:01:38.720]  等你有一個良好的品格
[00:01:38.720 --> 00:01:41.480]  你就會有人愛喜樂和平等等
[00:01:41.480 --> 00:01:44.120]  這些聖靈果子
[00:01:44.120 --> 00:01:44.920]  我們都很熟悉
[00:01:44.920 --> 00:01:46.480]  九粒的
[00:01:46.480 --> 00:01:47.560]  只不過是在行轉
[00:01:47.560 --> 00:01:51.360]  第二章其實一概都沒有提到這些事
[00:01:51.360 --> 00:01:55.360]  聖靈降臨的時候根本就沒有強調什麼醫病
[00:01:55.360 --> 00:01:56.200]  趕鬼
[00:01:56.200 --> 00:01:56.760]  講預言
[00:01:56.760 --> 00:01:59.000]  甚至乎是聖靈果子
[00:01:59.000 --> 00:02:00.520]  我們現在就一起看看
[00:02:00.520 --> 00:02:02.840]  《仕途行轉》二章一至四節它怎麼說
[00:02:02.840 --> 00:02:04.120]  經文它說
[00:02:04.120 --> 00:02:06.960]  「五巡節那日到了」
[00:02:06.960 --> 00:02:09.520]  「他們全都聚集在一起」
[00:02:09.520 --> 00:02:12.440]  「忽然有響聲從天上下來」
