
[00:00:00.000 --> 00:00:05.260]  每個人所走的路各有不同
[00:00:05.260 --> 00:00:10.380]  每個人的人生也各有不同
[00:00:10.380 --> 00:00:16.280]  但是神與我們的人生有沒有關係呢?
[00:00:16.280 --> 00:00:22.400]  神會不會參與在我們的人生當中呢?
[00:00:22.400 --> 00:00:27.440]  今天的經文作者經歷過一場很嚴峻的考驗
[00:00:27.440 --> 00:00:30.960]  值得讓我們從中去吸取教訓
[00:00:30.960 --> 00:00:34.840]  值得讓我們在當中吸取教訓
[00:00:34.840 --> 00:00:37.400]  首先我們看73篇的第一節
[00:00:37.400 --> 00:00:40.920]  我們看73篇第一節
[00:00:40.920 --> 00:00:46.200]  神時在恩戴以色列那些清新的人
[00:00:46.200 --> 00:00:49.840]  根據私人作者對神的認知
[00:00:49.840 --> 00:00:53.280]  根據私人作者對神的認知
[00:00:53.280 --> 00:00:57.240]  耶和華神是會私恩賜福給屬祂的之名
[00:00:57.240 --> 00:01:01.280]  耶和華神是會私恩賜福給屬祂的之名
[00:01:01.280 --> 00:01:08.400]  耶和華神是會私恩賜福給屬祂的之名
[00:01:08.400 --> 00:01:11.200]  就是按祂的訓誨生活的人
[00:01:11.200 --> 00:01:15.040]  就是按祂的訓誨生活的人
[00:01:15.040 --> 00:01:16.800]  就是清心的人
[00:01:16.800 --> 00:01:18.200]  就是清心的人
[00:01:18.200 --> 00:01:21.600]  但是當我們看第二到第五節
[00:01:21.600 --> 00:01:25.000]  但是當我們看第二到第五節
[00:01:25.000 --> 00:01:28.280]  至於我的腳幾乎失散
[00:01:28.280 --> 00:01:31.160]  我的腳顯色滑跌
[00:01:31.160 --> 00:01:36.400]  我見惡人和狂傲人想平安
[00:01:36.400 --> 00:01:38.600]  就心懷不平
[00:01:38.600 --> 00:01:40.960]  他們死的時候沒有疼痛
[00:01:40.960 --> 00:01:44.000]  他們的力氣卻也壯實
[00:01:44.000 --> 00:01:45.600]  他們不像別人受苦
[00:01:45.600 --> 00:01:47.440]  也不像別人遭災
[00:01:47.440 --> 00:01:57.200]  作者亞薩是在神面前侍奉的利美人
[00:01:57.200 --> 00:01:59.600]  是在神面前侍奉的利美人
[00:01:59.600 --> 00:02:02.080]  他曾經懷疑神的真實
[00:02:02.080 --> 00:02:04.400]  他曾經懷疑神的真實
[00:02:04.400 --> 00:02:08.880]  他的腳是幾乎失散和滑跌
[00:02:08.880 --> 00:02:11.840]  他的腳是幾乎失散和滑跌
[00:02:11.840 --> 00:02:13.360]  為什麼呢?
[00:02:13.360 --> 00:02:18.160]  原因是當他謹守神的訓誨
[00:02:18.160 --> 00:02:21.240]  做一個清心正直的好人的時候
[00:02:21.240 --> 00:02:24.800]  原因是當他謹守神的訓誨
[00:02:24.800 --> 00:02:27.600]  做一個清心正直的好人時
[00:02:27.600 --> 00:02:32.400]  他卻看到惡人和狂傲人
[00:02:32.400 --> 00:02:35.360]  得享平安和福樂
[00:02:35.360 --> 00:02:38.880]  但是他卻看到那些惡人和狂傲人
[00:02:38.880 --> 00:02:40.480]  得享平安和福樂
[00:02:40.480 --> 00:02:45.200]  這個解釋,狂傲人就是指那些
[00:02:45.200 --> 00:02:49.960]  不懂得去廝殺和不會憂慮的人
[00:02:49.960 --> 00:02:52.920]  狂傲人就是指那些不懂得思索
[00:02:52.920 --> 00:02:55.600]  和不會憂慮的人
[00:02:55.600 --> 00:03:00.560]  於是他感到大惑不解
[00:03:00.560 --> 00:03:02.560]  就是讓他大禍不解
[00:03:02.560 --> 00:03:06.080]  心中是心懷不平
[00:03:06.080 --> 00:03:08.000]  心中是心懷不平
[00:03:08.000 --> 00:03:10.720]  好像心裡這樣說
[00:03:10.720 --> 00:03:13.000]  就像心裡面這樣說
[00:03:13.000 --> 00:03:16.040]  他說:神啊!
[00:03:16.040 --> 00:03:20.560]  為什麼惡人作惡卻得享平安福樂?
