
[00:00:00.000 --> 00:00:03.000]  今天是壽難節
[00:00:03.000 --> 00:00:09.000]  很高興和國語堂弟兄姊妹一齊紀念為我們受苦的王
[00:00:09.000 --> 00:00:15.000]  很高興和國語堂弟兄姊妹一齊紀念為我們受苦的主
[00:00:15.000 --> 00:00:17.000]  受苦的王
[00:00:17.000 --> 00:00:20.000]  我們一齊祈禱
[00:00:20.000 --> 00:00:22.000]  真愛天父
[00:00:22.000 --> 00:00:26.000]  感謝祢自己的恩典
[00:00:26.000 --> 00:00:31.000]  感謝祢派遣祢的獨生子耶穌基督來到世上為我們死
[00:00:31.000 --> 00:00:36.000]  感謝祢派遣祢的獨生子耶穌基督來世上為我們受死
[00:00:36.000 --> 00:00:42.000]  為我們開了永生的門
[00:00:42.000 --> 00:00:50.000]  今天是我們紀念主為我們死的情況
[00:00:50.000 --> 00:00:53.000]  求聖靈在我們中間幫助我們
[00:00:53.000 --> 00:00:56.000]  求聖靈在我們中間幫助我們
[00:00:56.000 --> 00:00:59.000]  激勵我們
[00:00:59.000 --> 00:01:03.000]  願意為主而活
[00:01:03.000 --> 00:01:07.000]  奉耶穌基督的名祈禱
[00:01:07.000 --> 00:01:10.000]  阿們
[00:01:10.000 --> 00:01:14.000]  上個星期有來參加崇拜的弟兄姊妹
[00:01:14.000 --> 00:01:20.000]  大概會記得我們看到主耶穌的被捕和受審
[00:01:20.000 --> 00:01:23.000]  上個星期有來參加崇拜的弟兄姊妹
[00:01:23.000 --> 00:01:30.000]  大概會記得我們看到主耶穌的被捕和受審
[00:01:30.000 --> 00:01:37.000]  在過程中我們看到主耶穌是以天國的王身份掌控大局
[00:01:37.000 --> 00:01:45.000]  在過程中我們看到主耶穌是以天國的王身份掌控大局
[00:01:45.000 --> 00:01:51.000]  祂吩咐猶大去做祂想做的事
[00:01:51.000 --> 00:01:57.000]  祂吩咐門徒要彼此相愛
[00:01:57.000 --> 00:02:03.000]  祂也吩咐門徒要多結果子
[00:02:03.000 --> 00:02:12.000]  祂也吩咐去逮捕祂的人,要放走祂的門徒
[00:02:12.000 --> 00:02:20.000]  甚至教訓大祭司不要濫用權力
[00:02:20.000 --> 00:02:26.000]  要依據法律來審判祂
[00:02:26.000 --> 00:02:34.000]  祂在比拉多面前也承認祂是王
[00:02:34.000 --> 00:02:39.000]  並且把天國的事情告訴祂
[00:02:39.000 --> 00:02:46.000]  祂說:我的國度不屬於這個世界
[00:02:46.000 --> 00:02:56.000]  天國的權力和價值和這個世界是截然不同的
[00:02:56.000 --> 00:03:04.000]  甚至對死亡的看法也是完全不同
[00:03:04.000 --> 00:03:09.000]  雖然死是人生的現實
[00:03:09.000 --> 00:03:14.000]  在華人的文化裡從來沒有死人復活的思想
