
[00:00:00.000 --> 00:00:04.000]  有一次,有一個人叫做Braham Greene的人
[00:00:04.000 --> 00:00:07.000]  有一個人的名字叫做Braham Greene的人
[00:00:07.000 --> 00:00:10.000]  他講了一句話
[00:00:10.000 --> 00:00:15.000]  他說:耶和華是我的墓者
[00:00:15.000 --> 00:00:20.000]  你們基督徒聽到這句話之後就覺得很溫馨,很悲哀
[00:00:20.000 --> 00:00:24.000]  基督徒聽到這句話就覺得很溫馨,覺得很悲哀
[00:00:24.000 --> 00:00:27.000]  當然不是
[00:00:27.000 --> 00:00:30.000]  因為那些牧羊人養那些羊
[00:00:30.000 --> 00:00:34.000]  是因為想把它賣掉,然後宰掉
[00:00:34.000 --> 00:00:38.000]  原來那些牧羊人養那些羊是希望把它宰掉,把它賣掉
[00:00:38.000 --> 00:00:41.000]  他這樣講其實不是錯的
[00:00:41.000 --> 00:00:43.000]  其實他這樣講也不是錯的
[00:00:43.000 --> 00:00:45.000]  但這裡是一個比喻
[00:00:45.000 --> 00:00:46.000]  但這裡是一個比喻
[00:00:46.000 --> 00:00:49.000]  沒有比喻是100%適合的
[00:00:49.000 --> 00:00:52.000]  沒有比喻是100%可以配合的
[00:00:52.000 --> 00:00:55.000]  耶和華是我的墓者都一樣
[00:00:55.000 --> 00:00:58.000]  所以耶和華是我的墓者也是一樣
[00:00:58.000 --> 00:00:59.000]  只是一部份
[00:00:59.000 --> 00:01:00.000]  只是一部份
[00:01:00.000 --> 00:01:02.000]  那部份就是牧羊的部份
[00:01:02.000 --> 00:01:04.000]  那就是講牧羊的那一部份
[00:01:04.000 --> 00:01:06.000]  這個是重要的
[00:01:06.000 --> 00:01:11.000]  因為當耶穌和彼得說要牧羊他的羊的時候都是一樣的
[00:01:11.000 --> 00:01:15.000]  所以耶穌跟彼得說你要牧羊我的羊的時候也是一樣的
[00:01:15.000 --> 00:01:18.000]  不是叫彼得從那個牧羊得到什麼
[00:01:18.000 --> 00:01:21.000]  並不是叫彼得從那個牧羊裡面得到什麼
[00:01:21.000 --> 00:01:26.000]  而是跟彼得講的是要關懷關心牧羊的羊的意思
[00:01:26.000 --> 00:01:31.000]  而且是要跟彼得說你要關心關懷你所牧羊的羊的意思
[00:01:31.000 --> 00:01:33.000]  那實際上我們快過頭了
[00:01:33.000 --> 00:01:35.000]  先回來看一下經文
[00:01:35.000 --> 00:01:37.000]  回頭我們看看經文
[00:01:37.000 --> 00:01:39.000]  實際上誰是牧羊人呢
[00:01:39.000 --> 00:01:42.000]  到底誰是牧羊人呢
[00:01:42.000 --> 00:01:43.000]  在這裡當然是彼得
[00:01:43.000 --> 00:01:45.000]  這邊肯定是彼得了
[00:01:45.000 --> 00:01:47.000]  因為那個問題是對彼得講的
[00:01:47.000 --> 00:01:49.000]  因為這句話是跟彼得說的
[00:01:49.000 --> 00:01:51.000]  主耶穌說牧羊我的羊
[00:01:51.000 --> 00:01:55.000]  實際上是用了兩個不同的希臘牧羊的字
[00:01:55.000 --> 00:01:59.000]  其實耶穌對彼得說的時候用了兩個不同的希臘文
[00:01:59.000 --> 00:02:01.000]  十五到十七節
[00:02:01.000 --> 00:02:03.000]  十五到十七節
[00:02:03.000 --> 00:02:04.000]  是用Bosco的字
[00:02:04.000 --> 00:02:05.000]  是用Bosco這個字
