
[00:00:00.000 --> 00:00:05.680]  這次的訊息已經是以神為中心的生命
[00:00:05.680 --> 00:00:08.760]  就是聖靈的果子
[00:00:08.760 --> 00:00:12.240]  最尾耳的一個果子
[00:00:12.240 --> 00:00:12.880]  尾耳的
[00:00:12.880 --> 00:00:15.160]  今天就會講溫柔
[00:00:15.160 --> 00:00:16.600]  講溫柔
[00:00:16.600 --> 00:00:20.960]  我覺得今天講溫柔也挺適合這個時候
[00:00:20.960 --> 00:00:23.280]  因為特別在農曆新年
[00:00:23.280 --> 00:00:26.480]  大家做那些賀年食物的時候
[00:00:26.480 --> 00:00:30.080]  就是煎堆、油角、笑口棗
[00:00:30.080 --> 00:00:32.840]  我知道有些電影節目是試做的
[00:00:32.840 --> 00:00:33.320]  OK的
[00:00:33.320 --> 00:00:34.320]  就是笑口棗
[00:00:34.320 --> 00:00:38.000]  就是
[00:00:38.000 --> 00:00:38.360]  是的
[00:00:38.360 --> 00:00:39.680]  我也有參與過
[00:00:39.680 --> 00:00:43.040]  有幾位電影節目去另一個電影節目的家裡
[00:00:43.040 --> 00:00:44.680]  來做這個笑口棗
[00:00:44.680 --> 00:00:46.240]  也算容易的
[00:00:46.240 --> 00:00:47.240]  也算容易做
[00:00:47.240 --> 00:00:48.800]  就是
[00:00:48.800 --> 00:00:50.920]  味道是可以調校的
[00:00:50.920 --> 00:00:52.640]  但是我覺得也挺好的
[00:00:52.640 --> 00:00:54.160]  那就
[00:00:54.160 --> 00:00:56.400]  我發覺原來
[00:00:56.400 --> 00:01:00.600]  如果你真的做過這些賀年的食品
[00:01:00.600 --> 00:01:03.960]  你會發覺是不能夠用滾油的
[00:01:03.960 --> 00:01:05.200]  炸的時候
[00:01:05.200 --> 00:01:07.400]  很多時候是要用溫油來炸的
[00:01:07.400 --> 00:01:08.080]  就是
[00:01:08.080 --> 00:01:08.560]  是的
[00:01:08.560 --> 00:01:09.600]  用溫油
[00:01:09.600 --> 00:01:10.520]  當然
[00:01:10.520 --> 00:01:12.520]  發酵很容易燶的
[00:01:12.520 --> 00:01:14.040]  當然我是吃字的
[00:01:14.040 --> 00:01:15.120]  我真的吃了一個字
[00:01:15.120 --> 00:01:16.240]  就是
[00:01:16.240 --> 00:01:17.560]  就是吃字
[00:01:17.560 --> 00:01:19.480]  但是你會看到這個溫柔
[00:01:19.480 --> 00:01:21.360]  就是突然間給了一個idea
[00:01:21.360 --> 00:01:22.880]  溫柔
[00:01:22.880 --> 00:01:25.840]  其實很多時候給人柔弱的感覺
[00:01:25.840 --> 00:01:27.160]  但是其實我想
[00:01:27.160 --> 00:01:30.320]  從炸賀年食品來看
[00:01:30.320 --> 00:01:33.680]  發覺溫柔原來也很有力量的
[00:01:33.680 --> 00:01:35.320]  就是可以炸熟一些東西
[00:01:35.320 --> 00:01:37.120]  或者炸到一些東西
[00:01:37.120 --> 00:01:37.640]  雖然
[00:01:37.640 --> 00:01:39.600]  就好像看起來慢慢來
[00:01:39.600 --> 00:01:42.160]  好像火又不是很猛
[00:01:42.160 --> 00:01:44.360]  所以在一般人來說
[00:01:44.360 --> 00:01:45.600]  一般人來說
[00:01:45.600 --> 00:01:46.880]  就是溫柔
[00:01:46.880 --> 00:01:48.040]  不過也可以討論一下
[00:01:48.040 --> 00:01:50.600]  因為我在預備講章這段時間
[00:01:50.600 --> 00:01:52.920]  有時候和一些人聊溫柔是怎麼樣的
[00:01:52.920 --> 00:01:53.760]  我發覺
[00:01:53.760 --> 00:01:56.000]  原來有些人這樣看溫柔的
[00:01:56.000 --> 00:01:57.560]  你覺得溫柔是怎麼樣
[00:01:57.560 --> 00:01:59.320]  不如和你旁邊的人講幾句
[00:01:59.320 --> 00:01:59.640]  好嗎?
[00:01:59.640 --> 00:02:01.840]  你覺得溫柔
[00:02:01.840 --> 00:02:06.880]  怎麼去解釋這個溫柔呢?
[00:02:06.880 --> 00:02:08.480]  或者我……
[00:02:08.480 --> 00:02:11.480]  溫柔
[00:02:11.480 --> 00:02:12.560]  溫柔
[00:02:20.600 --> 00:02:21.760]  溫柔
[00:02:21.760 --> 00:02:26.560]  如果我不懂
[00:02:26.560 --> 00:02:27.840]  不懂什麼叫溫柔
[00:02:27.840 --> 00:02:29.760]  你怎麼解釋這個溫柔
[00:02:29.760 --> 00:02:30.640]  好
[00:02:30.640 --> 00:02:31.240]  差不多了
[00:02:31.240 --> 00:02:32.320]  應該是吧
[00:02:32.320 --> 00:02:35.120]  有些人都在笑
[00:02:35.120 --> 00:02:35.520]  好
[00:02:35.520 --> 00:02:36.680]  溫柔
[00:02:36.680 --> 00:02:39.400]  也是大聲講個答案出來
[00:02:39.400 --> 00:02:41.200]  你們覺得溫柔是怎麼樣
[00:02:41.200 --> 00:02:43.560]  陰聲細氣
[00:02:43.560 --> 00:02:44.080]  OK
[00:02:44.080 --> 00:02:44.280]  好
[00:02:44.280 --> 00:02:45.000]  陰聲細氣
[00:02:45.000 --> 00:02:46.760]  就是我不溫柔了
[00:02:46.760 --> 00:02:48.200]  你也不溫柔了
[00:02:48.200 --> 00:02:48.920]  Man
[00:02:48.920 --> 00:02:49.680]  Man也可以嗎?
[00:02:49.680 --> 00:02:50.400]  Man也可以
[00:02:50.400 --> 00:02:51.160]  什麼都可以
[00:02:51.160 --> 00:02:51.640]  什麼都可以
[00:02:51.640 --> 00:02:52.320]  什麼都可以
[00:02:52.320 --> 00:02:53.080]  什麼都可以
[00:02:53.080 --> 00:02:53.400]  OK
[00:02:53.400 --> 00:02:54.120]  什麼都可以
[00:02:54.120 --> 00:02:57.880]  陰聲細氣
