
[00:00:00.000 --> 00:00:04.920]  剛才主席跟我們讀了詩篇第23篇
[00:00:04.920 --> 00:00:07.800]  這首詩是三千年前
[00:00:07.800 --> 00:00:11.400]  以色列的皇帝大衛寫的
[00:00:11.400 --> 00:00:14.840]  剛才主席給我們念了詩篇23篇
[00:00:14.840 --> 00:00:17.080]  這首詩是三千年前
[00:00:17.080 --> 00:00:19.720]  以色列的國王大衛所寫的
[00:00:19.720 --> 00:00:21.720]  我想問大家一個問題
[00:00:21.720 --> 00:00:25.520]  大衛寫這首詩的時候的年紀是多大?
[00:00:25.520 --> 00:00:29.640]  是少年、中年或者老年呢?
[00:00:29.640 --> 00:00:31.640]  我想問大家一個問題
[00:00:31.640 --> 00:00:34.880]  你覺得大衛寫這首詩的時候是什麼年紀?
[00:00:34.880 --> 00:00:38.240]  是少年呢?中年呢?還是老年呢?
[00:00:38.240 --> 00:00:44.240]  很多學者認為大衛在年老的時候才寫這首詩
[00:00:44.240 --> 00:00:50.120]  因為智慮、行間是有一種滄桑的味道
[00:00:50.120 --> 00:00:54.240]  有很多學者認為這是大衛在老年的時候寫的
[00:00:54.240 --> 00:00:57.840]  因為在智慧行間有一種滄桑的味道
[00:00:57.840 --> 00:01:02.000]  譬如詩中提到死刃的幽谷
[00:01:02.000 --> 00:01:04.000]  提到敵人
[00:01:04.000 --> 00:01:06.000]  又提到筵席
[00:01:06.000 --> 00:01:09.400]  比如說詩中有提到死因的幽谷
[00:01:09.400 --> 00:01:10.720]  又提到敵人
[00:01:10.720 --> 00:01:12.360]  也提到筵席
[00:01:12.360 --> 00:01:17.520]  作者似乎是一個飽經憂患的人
[00:01:17.520 --> 00:01:21.400]  作者看來像是一位飽經憂患的人
[00:01:21.400 --> 00:01:24.320]  大衛在他年少氣盛的時候
[00:01:24.320 --> 00:01:26.320]  不會說這些話
[00:01:26.320 --> 00:01:29.360]  大衛在他年少氣盛的時候
[00:01:29.360 --> 00:01:31.360]  不會說這些話
[00:01:31.360 --> 00:01:34.520]  有些學者更加認為
[00:01:34.520 --> 00:01:42.280]  是大衛在晚年逃避他自己的兒子亞沙隆叛變的時候寫這首詩
[00:01:42.280 --> 00:01:44.520]  有些學者更加認為
[00:01:44.520 --> 00:01:50.920]  這首詩是大衛在他晚年逃避自己的兒子亞沙隆叛變的時候寫的
[00:01:50.920 --> 00:01:55.920]  我們可以看到大衛一生充滿高低起伏
[00:01:55.920 --> 00:02:00.000]  有平靜安穩又有顛沛流離
[00:02:00.000 --> 00:02:04.200]  我們可以看到大衛的一生充滿了高高低低
[00:02:04.200 --> 00:02:07.600]  有平靜安穩也有顛沛流離
[00:02:07.600 --> 00:02:11.400]  你的人生是不是都是這樣呢?
[00:02:11.400 --> 00:02:13.800]  你的人生是不是也是這樣呢?
[00:02:13.800 --> 00:02:19.480]  過去一年香港經歷了很多政治和經濟的波動
[00:02:19.480 --> 00:02:24.440]  過去一年香港經歷了很多的政治和經濟的動盪
[00:02:24.440 --> 00:02:26.800]  我們教會的弟兄姊妹
[00:02:26.800 --> 00:02:32.000]  都有不少遇見生命的挫折、悲歡離合
[00:02:32.000 --> 00:02:36.680]  我們教會的弟兄姊妹有很多也經歷了生命的挫折
[00:02:36.680 --> 00:02:39.480]  或者是經歷悲歡離合
[00:02:39.480 --> 00:02:42.640]  在這個動盪變幻的人生裏面
[00:02:42.640 --> 00:02:46.000]  究竟誰是真心對你好
[00:02:46.000 --> 00:02:48.080]  而且還能夠幫助你呢?
[00:02:48.080 --> 00:02:50.120]  在這個動盪變幻的人生
[00:02:50.120 --> 00:02:52.680]  到底有誰是真心對你好
[00:02:52.680 --> 00:02:54.800]  而且還能夠幫助你呢?
[00:02:54.800 --> 00:02:57.440]  這首詩的主題就是這樣
[00:02:57.440 --> 00:03:01.240]  就是說:上帝是美善的
[00:03:01.240 --> 00:03:02.760]  上帝是美善的
[00:03:02.760 --> 00:03:04.520]  祂樂意與你同在
[00:03:04.520 --> 00:03:06.400]  帶領你幫助你
[00:03:06.400 --> 00:03:10.200]  這首詩的主題就是:上帝是美善的
[00:03:10.200 --> 00:03:12.000]  祂樂意與你同在
[00:03:12.000 --> 00:03:13.840]  帶領你、幫助你
[00:03:13.840 --> 00:03:17.280]  如果你細心來思考這首詩的時候
[00:03:17.280 --> 00:03:21.320]  你會發現到有兩個重點
[00:03:21.320 --> 00:03:24.320]  如果你細心來思考這首詩的時候
[00:03:24.320 --> 00:03:27.120]  你會發現到有兩個重點
[00:03:27.120 --> 00:03:33.600]  第一個重點就是:神的同在
[00:03:33.600 --> 00:03:39.280]  第二個重點就是:神的美善
[00:03:39.280 --> 00:03:41.920]  大家記不記得?
[00:03:41.920 --> 00:03:48.440]  神的同在、神的美善
[00:03:48.440 --> 00:03:50.920]  這首詩的頭兩節說
[00:03:50.920 --> 00:03:54.960]  「耶和華是我的牧者,我必不自缺乏
[00:03:54.960 --> 00:03:58.600]  祂使我躺在青草地上
[00:03:58.600 --> 00:04:02.120]  領我在可安歇的水邊」
[00:04:02.120 --> 00:04:04.000]  這首詩的頭兩節說
[00:04:04.000 --> 00:04:07.760]  「耶和華是我的牧者,我必不自缺乏
[00:04:07.760 --> 00:04:10.440]  祂使我躺在青草地上
[00:04:10.440 --> 00:04:13.320]  領我在可安歇的水邊」
[00:04:13.320 --> 00:04:16.520]  作者是用一隻羊來比喻自己
[00:04:16.520 --> 00:04:19.440]  而上帝就是他的牧人
[00:04:19.440 --> 00:04:22.120]  作者是用一隻羊來比喻自己
[00:04:22.120 --> 00:04:24.840]  而上帝就是他的牧人
[00:04:24.840 --> 00:04:31.120]  一隻羊怎樣才願意躺臥和安歇在青草地上呢?
[00:04:31.120 --> 00:04:37.120]  一隻羊到底怎樣才能躺臥和安歇在青草地上呢?
[00:04:37.120 --> 00:04:40.800]  羊仔其實和你和我差不多
[00:04:40.800 --> 00:04:43.960]  那些小羊其實和你和我差不多
[00:04:43.960 --> 00:04:46.720]  牠要有四樣東西得著滿足
[00:04:46.720 --> 00:04:50.880]  牠才舒舒服服地躺臥在青草地上
[00:04:50.880 --> 00:04:54.840]  牠要在四個方面先得到滿足
[00:04:54.840 --> 00:04:58.480]  才會舒舒服服地躺臥在青草地上
[00:04:58.480 --> 00:05:00.040]  看你是不是這樣
[00:05:00.040 --> 00:05:01.400]  看你是不是也是這樣
[00:05:01.400 --> 00:05:04.200]  第一樣,牠要沒有懼怕
[00:05:04.200 --> 00:05:07.000]  第一,牠就要沒有懼怕
[00:05:07.000 --> 00:05:10.440]  第二樣,就是牠要沒有其他的羊在欺負牠
[00:05:10.440 --> 00:05:13.760]  第二樣,就是沒有其他的羊在欺負牠
[00:05:13.760 --> 00:05:16.600]  第三樣,就是牠身上沒有寄生蟲
[00:05:16.600 --> 00:05:19.200]  第三樣,就是牠身上沒有寄生蟲
[00:05:19.200 --> 00:05:22.000]  第四樣,就是牠的肚子要得著飽足
[00:05:22.000 --> 00:05:24.640]  第四樣,就是牠的肚子要得著飽足
