
[00:00:00.000 --> 00:00:04.000]  我們上禮拜講的說4篇34篇是大衛在什麼時候寫的
[00:00:04.000 --> 00:00:11.340]  在一個很糟糕也可以說很淒慘的一個情況之下
[00:00:11.340 --> 00:00:14.320]  他被掃羅追殺追殺到一個地步
[00:00:14.320 --> 00:00:16.820]  甚至自己的國家都不能容許他了
[00:00:16.820 --> 00:00:18.480]  他就逃到外國去
[00:00:18.480 --> 00:00:21.920]  逃到敵方的國家逃到菲律賓人的中間去
[00:00:21.920 --> 00:00:25.120]  然後在那個地方又怕被敵人這個也整他
[00:00:25.120 --> 00:00:26.160]  所以他怎麼辦呢
[00:00:26.160 --> 00:00:30.100]  他就在那個菲律賓人那邊裝瘋
[00:00:30.100 --> 00:00:34.700]  在雅比彌勒就是雅吉王的面前裝瘋作傻
[00:00:34.700 --> 00:00:40.240]  丟死被在這種情況之下
[00:00:40.240 --> 00:00:43.980]  大衛說我要實時懲寵耶和華
[00:00:43.980 --> 00:00:47.820]  讚美他的話必藏在我的口中
[00:00:47.820 --> 00:00:50.320]  過去這個禮拜你有沒有操練一下
[00:00:50.320 --> 00:00:52.160]  有嗎
[00:00:52.160 --> 00:00:54.920]  跟你旁邊講一下30秒鐘講一下
[00:00:56.960 --> 00:01:00.960]  講一下你操練的心得體會經歷
[00:01:00.960 --> 00:01:14.440]  丟死被當我們聽得到
[00:01:14.440 --> 00:01:16.440]  我們要去行道
[00:01:16.440 --> 00:01:23.060]  也許你整篇信息可能大部分都忘了
[00:01:23.060 --> 00:01:26.860]  但你就記得要讚美神
[00:01:26.860 --> 00:01:30.560]  那就操練
[00:01:30.560 --> 00:01:32.300]  我就講丟死被
[00:01:32.300 --> 00:01:36.300]  屬靈生命的成長沒有別的就是從這開始
[00:01:36.300 --> 00:01:41.140]  我們在敬拜的時候
[00:01:41.140 --> 00:01:49.480]  我就學習今天的主角是誰
[00:01:49.480 --> 00:01:51.720]  是主對不對
[00:01:51.720 --> 00:01:53.860]  不是講員
[00:01:53.860 --> 00:01:57.160]  所以我作為一個敬拜者
