
[00:00:00.000 --> 00:00:02.100]  各位歡迎來到《智慧廚房》
[00:00:02.100 --> 00:00:04.040]  今次我們是第四集了
[00:00:04.040 --> 00:00:06.540]  所以講到《雅各書》第四章
[00:00:06.540 --> 00:00:09.640]  你看到我們已經預備好今天要煮什麼菜了
[00:00:09.640 --> 00:00:10.980]  或者煮什麼
[00:00:10.980 --> 00:00:13.040]  但是我們先看《雅各書》第四章
[00:00:13.040 --> 00:00:14.140]  一到第三節
[00:00:14.140 --> 00:00:18.520]  他說你們中間的爭執和打鬥是從哪裡來的呢?
[00:00:18.520 --> 00:00:22.380]  不是從你們肢體中好鬥的私慾來的嗎?
[00:00:22.380 --> 00:00:24.280]  你們放縱貪慾
[00:00:24.280 --> 00:00:26.120]  如果得不到就殺人
[00:00:26.120 --> 00:00:27.420]  你們嫉妒
[00:00:27.420 --> 00:00:29.960]  如果一無所有就打鬥爭執
[00:00:29.960 --> 00:00:32.260]  你們得不到因為你們不求
[00:00:32.260 --> 00:00:34.100]  你們求也得不到
[00:00:34.100 --> 00:00:36.860]  因為你們的動機不良
[00:00:36.860 --> 00:00:40.500]  要把所得的耗費在你們的私慾上
[00:00:40.500 --> 00:00:42.640]  《雅各書》講了三章了
[00:00:42.640 --> 00:00:43.740]  現在到第四章了
[00:00:43.740 --> 00:00:46.340]  他就將我們人性裡面的私慾
[00:00:46.340 --> 00:00:47.140]  從第一章開始
[00:00:47.140 --> 00:00:50.220]  一邊打鬥一邊開放給我們
[00:00:50.220 --> 00:00:52.080]  讓我們知道我們人性裡面
[00:00:52.080 --> 00:00:53.420]  我們有很多的黑暗面
[00:00:53.420 --> 00:00:54.880]  我們需要去留意
[00:00:54.880 --> 00:00:56.160]  你可以想象到
[00:00:56.160 --> 00:00:58.120]  當時這個讀者
[00:00:58.120 --> 00:01:01.360]  或者因為教會被迫害
[00:01:01.360 --> 00:01:04.300]  就是散居到不同地方的教會
[00:01:04.300 --> 00:01:05.700]  那些屬靈的群體
[00:01:05.700 --> 00:01:07.540]  裡面發生了什麼事情
[00:01:07.540 --> 00:01:09.600]  特別是《雅各》這裡提到
[00:01:09.600 --> 00:01:12.000]  他們彼此去嫉妒
[00:01:12.000 --> 00:01:15.380]  彼此去爭鬥、打鬥等等
[00:01:15.380 --> 00:01:18.740]  裡面有很多的私慾出來了
[00:01:18.740 --> 00:01:20.620]  現在在疫情當中
[00:01:20.620 --> 00:01:22.220]  其實我們很多時候
[00:01:22.220 --> 00:01:24.620]  只是看正面
[00:01:24.620 --> 00:01:25.520]  我們就會覺得
[00:01:25.520 --> 00:01:27.380]  好吧,多留一些在家裡
[00:01:27.380 --> 00:01:30.360]  多一點時間跟家人一起
[00:01:30.360 --> 00:01:32.660]  但是我們也看到很多的新聞
[00:01:32.660 --> 00:01:34.720]  說家暴
[00:01:34.720 --> 00:01:36.720]  婚姻的問題
[00:01:36.720 --> 00:01:38.160]  家人的關係
[00:01:38.160 --> 00:01:40.300]  張力越來越大
[00:01:40.300 --> 00:01:43.360]  每當在困難當中
[00:01:43.360 --> 00:01:45.000]  在一些艱難的事情裡面
[00:01:45.000 --> 00:01:48.340]  很多時候不只是表現出人的美善一面
[00:01:48.340 --> 00:01:52.840]  反而是表現出人性醜惡的一面
[00:01:52.840 --> 00:01:54.520]  當時的教會
[00:01:54.520 --> 00:01:55.820]  我相信也是這樣的
[00:01:55.820 --> 00:01:57.420]  就是面對很多打壓
[00:01:57.420 --> 00:01:59.680]  被趕散到不同的地方
[00:01:59.680 --> 00:02:03.020]  那些群體自然受到很大的壓力
[00:02:03.020 --> 00:02:06.660]  所以那裡有一些有權有勢的人
[00:02:06.660 --> 00:02:09.900]  就會欺負一些無權無勢貧窮的人
[00:02:09.900 --> 00:02:11.200]  或者貧窮的人
[00:02:11.200 --> 00:02:13.700]  就會在那種情況裡面
[00:02:13.700 --> 00:02:17.500]  可能會靠攏一些有權有勢的人
[00:02:17.500 --> 00:02:19.580]  以致他們自己得到保障
[00:02:19.580 --> 00:02:21.180]  其實今時今日這個世界也是一樣
[00:02:21.180 --> 00:02:23.780]  你看看新聞、頭條
[00:02:23.780 --> 00:02:25.980]  最近我看到一個頭條
[00:02:25.980 --> 00:02:28.240]  說政界裡面的一些問題
[00:02:28.240 --> 00:02:30.080]  粗暴霸位奪權
[00:02:30.080 --> 00:02:32.220]  就是人性黑暗的一面
[00:02:32.220 --> 00:02:34.160]  不再講道理
[00:02:34.160 --> 00:02:35.620]  誰的權力大一點
[00:02:35.620 --> 00:02:37.280]  他就是真理
[00:02:37.280 --> 00:02:39.120]  瓦國就說我們屬靈的群體
[00:02:39.120 --> 00:02:40.120]  我們真的不可以這樣
[00:02:40.120 --> 00:02:42.000]  不可以跟隨世界那一套
[00:02:42.000 --> 00:02:44.100]  那麼一個這麼苦的世界裡面
[00:02:44.100 --> 00:02:44.900]  怎麼樣呢?
[00:02:44.900 --> 00:02:48.700]  所以我今天就煮一些甜品
[00:02:48.700 --> 00:02:50.560]  因為這麼苦是不是?
[00:02:50.560 --> 00:02:55.780]  所以今天我就煮這個 Pineapple Upside Down Cake
[00:02:55.780 --> 00:02:57.280]  不知道你有沒有聽過
[00:02:57.280 --> 00:03:00.340]  是一個反轉來的菠蘿蛋糕
[00:03:00.340 --> 00:03:02.980]  這些是西人的甜品
[00:03:02.980 --> 00:03:18.900]  首先講一下蛋糕本身
[00:03:18.900 --> 00:03:20.760]  我們有什麼需要準備呢?
[00:03:20.760 --> 00:03:21.340]  第一
[00:03:21.340 --> 00:03:25.580]  一有三分一杯的All Purpose Flour
[00:03:25.580 --> 00:03:28.540]  然後一個茶匙的Baking Powder
[00:03:28.540 --> 00:03:30.820]  半個茶匙的鹽
[00:03:30.820 --> 00:03:32.220]  四分一杯的牛油
[00:03:32.220 --> 00:03:33.520]  等一下會融化
[00:03:33.520 --> 00:03:35.080]  半杯的白糖
[00:03:35.080 --> 00:03:37.880]  四分一杯的黃糖
[00:03:37.880 --> 00:03:39.060]  然後是大蛋
[00:03:39.060 --> 00:03:40.460]  Vanilla Extract
[00:03:40.460 --> 00:03:42.120]  Sour Cream就是四分一杯
[00:03:42.120 --> 00:03:44.760]  四分一杯的菠蘿汁
[00:03:44.760 --> 00:03:47.960]  好,另外就講到蛋糕的Topping
[00:03:47.960 --> 00:03:49.600]  就是上面那層
[00:03:49.600 --> 00:03:51.240]  我們需要什麼呢?
[00:03:51.240 --> 00:03:52.560]  四分一杯的牛油
