
[00:00:00.000 --> 00:00:02.300]  各位弟兄姊妹一起讀聖經
[00:00:02.300 --> 00:00:07.500]  生命樹宣教網絡為大家繼續提供聖經人、聖經事
[00:00:07.500 --> 00:00:11.500]  看看人事之後上帝的手是怎樣
[00:00:11.500 --> 00:00:14.000]  今天繼續是摩西的故事
[00:00:14.000 --> 00:00:18.000]  來到為何要殺長子問號
[00:00:18.000 --> 00:00:20.000]  為何要殺長子呢
[00:00:20.000 --> 00:00:22.500]  大家知道在十災裡面
[00:00:22.500 --> 00:00:26.800]  去到第十災是殺長子之災
[00:00:26.800 --> 00:00:32.700]  一至九災都沒有容許意識人離開
[00:00:32.700 --> 00:00:36.200]  於是神就用第十災
[00:00:36.200 --> 00:00:38.200]  其實如果你留意一下第九災
[00:00:38.200 --> 00:00:42.200]  我上兩次都講了在一至九災裡面
[00:00:42.200 --> 00:00:45.200]  其實最後這一災都很重要
[00:00:45.200 --> 00:00:48.200]  第九災就是黑暗之災
[00:00:48.200 --> 00:00:50.700]  遍地都黑暗三日黑到
[00:00:50.700 --> 00:00:52.700]  那些黑好像壓過來一樣
[00:00:52.700 --> 00:00:54.200]  好像摸得著
[00:00:54.200 --> 00:00:58.200]  即是很黑伸手不見五指這麼黑
[00:00:58.200 --> 00:01:02.700]  但是以色列地竟然有陽光
[00:01:02.700 --> 00:01:04.700]  這麼厲害的神蹟
[00:01:04.700 --> 00:01:07.200]  但是法祿的心都很硬
[00:01:07.200 --> 00:01:09.200]  仍然是信自己的能力
[00:01:09.200 --> 00:01:11.200]  信我會捱得過的
[00:01:11.200 --> 00:01:13.200]  既然這樣
[00:01:13.200 --> 00:01:16.700]  去到第十災殺長子之災
[00:01:16.700 --> 00:01:19.200]  他知道這件事真的不能開玩笑了
[00:01:19.200 --> 00:01:24.200]  這個神真的應付不了
[00:01:24.200 --> 00:01:28.200]  這個神不能夠壓倒
[00:01:28.200 --> 00:01:30.200]  反而被上帝壓倒
[00:01:30.200 --> 00:01:31.200]  耶和華
[00:01:31.200 --> 00:01:33.200]  他開始認識了
[00:01:33.200 --> 00:01:36.200]  為何要殺長子呢
[00:01:36.200 --> 00:01:37.700]  原因就是這裏的
[00:01:37.700 --> 00:01:40.200]  可能都不是很多人會留意到
[00:01:40.200 --> 00:01:42.200]  跟大家解釋一下
[00:01:42.200 --> 00:01:46.200]  回到柴契記第四章
[00:01:46.200 --> 00:01:51.200]  最初在米甸抗爺第十九節
[00:01:51.200 --> 00:01:55.200]  耶和華在米甸抗爺對摩西說
[00:01:55.200 --> 00:01:58.200]  我第一點要說的紅色螢光
[00:01:58.200 --> 00:02:01.200]  你要回埃及去
[00:02:01.200 --> 00:02:06.200]  在這個地方神就差遣摩西回到埃及
[00:02:06.200 --> 00:02:09.200]  其實一早在荊棘被火燒著的時候
[00:02:09.200 --> 00:02:11.200]  已經叫他回去
[00:02:11.200 --> 00:02:14.200]  但是未正式出發
[00:02:14.200 --> 00:02:17.200]  這個時候四章第十九節
[00:02:17.200 --> 00:02:18.200]  叫他出發
[00:02:18.200 --> 00:02:21.200]  叫摩西你要回埃及去
[00:02:21.200 --> 00:02:24.200]  回去時機到了
[00:02:24.200 --> 00:02:29.200]  因為尋索你命的人都死了
[00:02:29.200 --> 00:02:32.200]  尋索你命的人是哪些人呢
[00:02:32.200 --> 00:02:35.200]  就是當時的法老王
[00:02:35.200 --> 00:02:37.200]  就是說摩西殺了人逃跑
[00:02:37.200 --> 00:02:41.200]  當時的法老就想殺摩西
[00:02:41.200 --> 00:02:44.200]  法老想殺摩西是因為他殺了人
[00:02:44.200 --> 00:02:46.200]  所以已經通令全國
[00:02:46.200 --> 00:02:48.200]  哪些哪些人給我留意
[00:02:48.200 --> 00:02:49.200]  不要讓摩西回來
[00:02:49.200 --> 00:02:51.200]  一回來就抓他
[00:02:51.200 --> 00:02:54.200]  所以他有些手下的大臣
[00:02:54.200 --> 00:02:56.200]  某些人都知道
[00:02:56.200 --> 00:03:01.200]  那些人都全部是尋索你命的人
[00:03:01.200 --> 00:03:05.200]  都死了
[00:03:05.200 --> 00:03:08.200]  你知道當時摩西多少歲嗎
[00:03:08.200 --> 00:03:11.200]  已經八十歲了
[00:03:11.200 --> 00:03:14.200]  那時候已經是一個相當老的人
[00:03:14.200 --> 00:03:18.200]  而尋索他命的人都過世了
[00:03:18.200 --> 00:03:22.200]  耶和華神就說你回埃及去
[00:03:22.200 --> 00:03:25.200]  現在到時候回去
[00:03:25.200 --> 00:03:27.200]  摩西就順命了
[00:03:27.200 --> 00:03:31.200]  帶著妻子和兩個兒子
[00:03:31.200 --> 00:03:33.200]  叫他們騎上路
[00:03:33.200 --> 00:03:35.200]  一起回埃及地去了
[00:03:35.200 --> 00:03:40.200]  摩西手裡拿著上帝的像
[00:03:40.200 --> 00:03:45.200]  他回埃及的時候拿著上帝的像
[00:03:45.200 --> 00:03:47.200]  帶錢還重要嗎
[00:03:47.200 --> 00:03:48.200]  重要
[00:03:48.200 --> 00:03:50.200]  行李重要
[00:03:50.200 --> 00:03:55.200]  最重要摩西要帶著上帝的像
[00:03:55.200 --> 00:03:57.200]  其實那些像不是上帝的像
[00:03:57.200 --> 00:03:59.200]  不是上帝給他一支
[00:03:59.200 --> 00:04:01.200]  天空掉下來
[00:04:01.200 --> 00:04:06.200]  是他用那一支在米田曠野
[00:04:06.200 --> 00:04:09.200]  用來行路動動下
[00:04:09.200 --> 00:04:11.200]  又用來牧羊的那支像
[00:04:11.200 --> 00:04:12.200]  其實是他自己的
[00:04:12.200 --> 00:04:16.200]  不過這支像現在叫做上帝的像
[00:04:16.200 --> 00:04:19.200]  因為上帝是透過這支像行神蹟
[00:04:19.200 --> 00:04:21.200]  掉到地下變成蛇
[00:04:21.200 --> 00:04:23.200]  然後拿起尾部抓起
[00:04:23.200 --> 00:04:25.200]  又變回一支像
[00:04:25.200 --> 00:04:27.200]  上帝的像
[00:04:27.200 --> 00:04:30.200]  神蹟同在的證據
[00:04:30.200 --> 00:04:33.200]  所以第一點要跟大家看
