
[00:00:00.000 --> 00:00:01.140]  菩薩師傅早晨
[00:00:01.140 --> 00:00:04.640]  讓我們再次回到主的說話的根前之前
[00:00:04.640 --> 00:00:07.340]  讓我們再次透過禱告
[00:00:07.340 --> 00:00:10.820]  預備我們心思意念去聆聽主的道理
[00:00:10.820 --> 00:00:12.340]  讓我們一起向心底投禱告
[00:00:12.340 --> 00:00:17.360]  七位父神多謝祢
[00:00:17.360 --> 00:00:20.760]  讓我們能夠再次來到祢的根前
[00:00:20.760 --> 00:00:26.500]  藉著祢的愛子耶穌基督在地上的工作
[00:00:26.500 --> 00:00:32.100]  透過祢的門徒馬太所記下來的一事一職
[00:00:32.100 --> 00:00:34.840]  以及祢所言所行
[00:00:34.840 --> 00:00:39.400]  讓祢能夠在當中再次去更有肯定地
[00:00:39.400 --> 00:00:42.440]  知道如何走這條屬靈的道路
[00:00:42.440 --> 00:00:44.840]  我們再次獻上感恩
[00:00:44.840 --> 00:00:48.120]  我們求聖靈與我們同在
[00:00:48.120 --> 00:00:51.320]  讓祢在今天每一個屬靈的子民
[00:00:51.320 --> 00:00:53.820]  都能夠藉著祢的教訓
[00:00:53.820 --> 00:00:57.700]  祢的說話能夠幫助我們能夠更準確
[00:00:57.700 --> 00:01:00.900]  來掌握上帝祢的心思
[00:01:00.900 --> 00:01:02.560]  我們同心地禱告
[00:01:02.560 --> 00:01:05.900]  奉靠主耶穌基督德性的名字而求
[00:01:05.900 --> 00:01:08.900]  阿們
[00:01:08.900 --> 00:01:13.580]  廣東人有一句經常說的說話
[00:01:13.580 --> 00:01:14.740]  特別在這個時代
[00:01:14.740 --> 00:01:17.940]  我發覺我們打工一族的
[00:01:17.940 --> 00:01:20.620]  特別是更加經常會聽到的
[00:01:20.620 --> 00:01:25.560]  就是「做有死,做到死」
[00:01:25.560 --> 00:01:28.760]  這句說話指的是什麼呢?
[00:01:28.760 --> 00:01:31.160]  就是指當我們去面對一些人
[00:01:31.160 --> 00:01:34.260]  根本就是不願意去講理由的
[00:01:34.260 --> 00:01:37.400]  或者這些人是自以為是的人
[00:01:37.400 --> 00:01:40.700]  英文叫做self-righteous的人
[00:01:40.700 --> 00:01:44.740]  他們就要希望將所有他身邊的人
[00:01:44.740 --> 00:01:46.800]  都將他給下去
[00:01:46.800 --> 00:01:48.940]  於是他們會怎麼做呢?
