
[00:00:00.000 --> 00:00:13.440]  美國舊約泰斗布魯格曼(Walter Brueggemann)
[00:00:13.440 --> 00:00:19.120]  在他的著作《彭利意行與苦其默想》中的一篇文章
[00:00:19.120 --> 00:00:23.360]  題目叫做「上主認識有名字的無畏者」
[00:00:23.360 --> 00:00:25.280]  「畏」是畏懼的意思
[00:00:25.280 --> 00:00:27.760]  在以賽亞書第四十三章第一節
[00:00:27.760 --> 00:00:30.240]  耶和華神對以色列人說:
[00:00:30.240 --> 00:00:33.320]  「你不要害怕,因為我救贖了你,
[00:00:33.320 --> 00:00:37.240]  我曾提你的名召你,你是屬我的。」
[00:00:37.240 --> 00:00:38.960]  當我們蒙主救贖
[00:00:38.960 --> 00:00:41.120]  聖靈在我們生命中工作
[00:00:41.120 --> 00:00:43.640]  使我們雖然身處罪惡的世界
[00:00:43.640 --> 00:00:45.240]  但我們已經不害怕
[00:00:45.240 --> 00:00:47.080]  我們變得無畏懼
[00:00:47.080 --> 00:00:49.400]  能夠有一個不一樣的生命
[00:00:49.400 --> 00:00:52.600]  我們就是有名字的無畏者
[00:00:52.600 --> 00:00:55.560]  那無畏懼的人應該要怎樣呢?
[00:00:55.560 --> 00:00:58.240]  無畏懼的人就是對淪舍開放
[00:00:58.240 --> 00:01:02.480]  而害怕的人就是當淪舍是要抵擋的敵人
[00:01:02.480 --> 00:01:05.480]  無畏懼的人就是對社區非常慷慨
[00:01:05.480 --> 00:01:07.720]  而害怕的人就是焦慮
[00:01:07.720 --> 00:01:09.880]  所以他囤積很多物資
[00:01:09.880 --> 00:01:14.160]  無畏懼的人將慈愛和憐憫的心付諸行動
[00:01:14.160 --> 00:01:17.760]  而害怕的人根本察覺不到有需要的人
[00:01:17.760 --> 00:01:20.960]  無畏懼的人在早上向上帝祈禱
[00:01:20.960 --> 00:01:22.600]  日間去關顧人
[00:01:22.600 --> 00:01:26.240]  夜晚就將一切事情獻上感恩和重贊
[00:01:26.240 --> 00:01:28.840]  而害怕的人就整天在煩躁
[00:01:28.840 --> 00:01:30.240]  諸多的不滿
[00:01:30.240 --> 00:01:31.240]  弟兄姊妹
[00:01:31.240 --> 00:01:33.120]  在這個不正常的日子裏面
[00:01:33.120 --> 00:01:35.280]  我希望大家都是無畏懼的人
[00:01:35.280 --> 00:01:38.120]  以行動去見證我們是屬於神的
