
[00:00:00.000 --> 00:00:08.500]  在2008年,我和太太在加拿大收拾行裝回香港服侍主
[00:00:08.500 --> 00:00:15.700]  我就對太太說,十年之後我就65歲,我們一起退休回加拿大
[00:00:15.700 --> 00:00:19.700]  我會買個好的車,和你遊山玩水
[00:00:19.700 --> 00:00:23.700]  這幅畫就是加拿大的山水照片
[00:00:23.700 --> 00:00:27.000]  為什麼我要買個好的車呢?
[00:00:27.000 --> 00:00:32.000]  因為我們23歲結婚的時候是駕駛前七
[00:00:32.000 --> 00:00:34.000]  有沒有人駕駛過前七的?
[00:00:34.000 --> 00:00:36.000]  有沒有?有啊,還有啊
[00:00:36.000 --> 00:00:39.000]  啊,Ryan也駕駛過?
[00:00:39.000 --> 00:00:41.000]  前七是怎樣的呢?
[00:00:41.000 --> 00:00:46.000]  有時車頭出煙,有時車尾出煙,有時兩頭都出煙
[00:00:46.000 --> 00:00:50.000]  那你想不想看看我的前七是怎樣的?
[00:00:50.000 --> 00:00:55.000]  這幅就是我們動物月拍的照片
[00:00:55.000 --> 00:00:58.000]  23歲結婚,好像很早的
[00:00:58.000 --> 00:01:00.000]  有誰23歲結婚的?請你舉手
[00:01:00.000 --> 00:01:01.000]  我不用這麼孤單,有沒有?
[00:01:01.000 --> 00:01:03.000]  哇,有啊,有兩個啊
[00:01:03.000 --> 00:01:04.000]  Brian,是不是Brian?
[00:01:04.000 --> 00:01:05.000]  你不是嗎?
[00:01:05.000 --> 00:01:12.000]  那時候我在加拿大大學畢業一年之後結婚
[00:01:12.000 --> 00:01:17.000]  還欠政府錢,我們買的前七
[00:01:17.000 --> 00:01:22.000]  其實我去加拿大讀書是拍拍胸口去的
[00:01:22.000 --> 00:01:26.000]  1971年預科完了,本來是港大收我的
[00:01:26.000 --> 00:01:29.000]  但是我男兒志在遠方
[00:01:29.000 --> 00:01:32.000]  跟老爸說聽聞加拿大福利很好
[00:01:32.000 --> 00:01:35.000]  你買一單程機票我搞定
[00:01:35.000 --> 00:01:38.000]  我去到才知道原來加拿大的福利是不行的
