
[00:00:00.000 --> 00:00:05.000]  我想跟大家思想一年之計在於春這個題目
[00:00:05.000 --> 00:00:10.000]  大家都知道有一句話叫做一年之計在於春
[00:00:10.000 --> 00:00:15.000]  一日之計在於辰 辰早過辰
[00:00:15.000 --> 00:00:22.000]  一生之計在於勤 基督徒來說一生之計在於辰
[00:00:22.000 --> 00:00:26.000]  我覺得其實時間是很重要的
[00:00:26.000 --> 00:00:31.000]  在新年開始新的一年還沒過的時候
[00:00:31.000 --> 00:00:33.000]  我們有大把資本
[00:00:33.000 --> 00:00:36.000]  過去的時間是你人生的經歷
[00:00:36.000 --> 00:00:38.000]  很可能是失敗的經歷
[00:00:38.000 --> 00:00:40.000]  你想查到的
[00:00:40.000 --> 00:00:42.000]  有些是你感覺到驕傲
[00:00:42.000 --> 00:00:48.000]  常常好像賞寶一樣拿出來自我陶醉一番
[00:00:48.000 --> 00:00:51.000]  但是時間的未來是什麼呢
[00:00:51.000 --> 00:00:53.000]  就是機會
[00:00:53.000 --> 00:00:58.000]  你可以將這些時間再一次讓它洗走
[00:00:58.000 --> 00:01:02.000]  再一次讓它成為不愉快的經歷
[00:01:02.000 --> 00:01:05.000]  但你也可以用這些時間
[00:01:05.000 --> 00:01:08.000]  來創造意義價值
[00:01:08.000 --> 00:01:10.000]  和為神工作
[00:01:10.000 --> 00:01:14.000]  特別是這段時間裡
[00:01:14.000 --> 00:01:17.000]  我們掌握的時間
[00:01:17.000 --> 00:01:21.000]  如果你對時間的意識越來越強
[00:01:21.000 --> 00:01:26.000]  角度就是你掌握的時間不是多
[00:01:26.000 --> 00:01:31.000]  而且不一定像你期望有這麼多時間
[00:01:31.000 --> 00:01:36.000]  這種感覺令我們更加要善用時間
[00:01:36.000 --> 00:01:41.000]  珍惜時間好好來做安排
[00:01:41.000 --> 00:01:44.000]  時間光陰就是生命
[00:01:44.000 --> 00:01:47.000]  所謂一寸光陰一寸金
[00:01:47.000 --> 00:01:49.000]  其實都不是
[00:01:49.000 --> 00:01:51.000]  金蘭不是一寸光陰
