
[00:00:00.000 --> 00:00:03.340]  在千變萬化的世代
[00:00:03.340 --> 00:00:05.540]  每天我們都看到事情在改變
[00:00:05.540 --> 00:00:06.780]  人在改變
[00:00:06.780 --> 00:00:10.240]  唯有我們的神和祂的話語永遠不改變
[00:00:10.240 --> 00:00:12.800]  因此我們必須花時間在神的話語上
[00:00:12.800 --> 00:00:15.040]  好讓我們能夠熟悉神的話語
[00:00:15.040 --> 00:00:16.900]  好讓我們在每天的生活當中
[00:00:16.900 --> 00:00:19.200]  能夠應用神的話語
[00:00:19.200 --> 00:00:20.640]  因為在七佈萊書第四章
[00:00:20.640 --> 00:00:21.640]  世界告訴我們說
[00:00:21.640 --> 00:00:23.380]  神的話語是活潑的
[00:00:23.380 --> 00:00:24.880]  是有功效的
[00:00:24.880 --> 00:00:28.680]  比兩刃的劍更快
[00:00:28.680 --> 00:00:32.080]  有一天幹到新市鎮去
[00:00:32.080 --> 00:00:34.580]  要開始分堂的陳傳道
[00:00:34.580 --> 00:00:37.640]  到每一家每一戶去探訪
[00:00:37.640 --> 00:00:39.240]  他到了一戶的人家
[00:00:39.240 --> 00:00:41.400]  明明知道裡面家裡有人
[00:00:41.400 --> 00:00:43.700]  但卻沒有人願意開門
[00:00:43.700 --> 00:00:46.500]  他就用他的名片寫了一節經文
[00:00:46.500 --> 00:00:48.400]  啟示錄第三章二十節
[00:00:48.400 --> 00:00:52.380]  就把名片夾在門縫當中
[00:00:52.380 --> 00:00:55.540]  下逐日在逐日崇拜結束之後
[00:00:55.540 --> 00:01:00.940]  招待員就把同一張名片交還給陳傳道
[00:01:00.940 --> 00:01:02.580]  在他寫的經文旁邊
[00:01:02.580 --> 00:01:03.880]  多了一個經文
[00:01:03.880 --> 00:01:06.340]  創世紀第三章第十節
[00:01:06.340 --> 00:01:08.280]  他很清楚知道他所寫的經文
[00:01:08.280 --> 00:01:10.980]  啟示錄第三章二十節裡面是這樣說的
[00:01:10.980 --> 00:01:12.780]  我站在門外叩門
[00:01:12.780 --> 00:01:14.680]  若有聽見就開門的
[00:01:14.680 --> 00:01:16.240]  我就進到他裡面去
[00:01:16.240 --> 00:01:19.340]  他與我 我與他 一同作息
[00:01:19.340 --> 00:01:20.440]  旁邊這個經文
