
[00:00:00.000 --> 00:00:02.000]  好,各位弟兄姊妹,晚安
[00:00:02.000 --> 00:00:07.000]  今天我來到大家當中,開心地一齊學習,一齊聽道,好嗎?
[00:00:07.000 --> 00:00:10.000]  不過我想大家先改變一下氣氛,好嗎?
[00:00:10.000 --> 00:00:12.000]  一齊站立,好嗎?
[00:00:12.000 --> 00:00:14.000]  熱熱身身,雖然疫情,你不用走開
[00:00:14.000 --> 00:00:16.000]  你快快手轉個圈,好嗎?
[00:00:16.000 --> 00:00:17.000]  跟人家說一聲,耶穌愛你,好嗎?
[00:00:17.000 --> 00:00:19.000]  耶穌愛你,Hello!
[00:00:19.000 --> 00:00:22.000]  我看到有個弟兄彈琴,剛才被他的柱子擋住了
[00:00:22.000 --> 00:00:23.000]  我終於見到你了,Hello!
[00:00:23.000 --> 00:00:25.000]  好好好,行了,好啊
[00:00:25.000 --> 00:00:26.000]  Say say hello 先,沒錯了
[00:00:26.000 --> 00:00:29.000]  不只是牧仔和你,弟兄姊妹,請坐
[00:00:29.000 --> 00:00:32.000]  這樣就好了,有一次崇拜的氣氛
[00:00:32.000 --> 00:00:35.000]  記得,你來崇拜,不是安息禮,行嗎?
[00:00:35.000 --> 00:00:38.000]  所以不用那麼拘謹,回到神的家裡
[00:00:38.000 --> 00:00:40.000]  好了,去到新的地方
[00:00:40.000 --> 00:00:42.000]  我講到,忠義有兩件事要合作
[00:00:42.000 --> 00:00:44.000]  第一件事,帶著期望
[00:00:44.000 --> 00:00:47.000]  今天你坐在這裡,不是偶然的,同意嗎?
[00:00:47.000 --> 00:00:49.000]  你來到神的家裡,你帶著期望
[00:00:49.000 --> 00:00:52.000]  好像血流歡一樣,我摸著上帝的衣著
[00:00:52.000 --> 00:00:54.000]  今天你來到這個教會裡,你聽到的時候
[00:00:54.000 --> 00:00:57.000]  神你向我說話,你又祝福我的生命
[00:00:57.000 --> 00:01:00.000]  如果你喜歡回應的話,就說一聲Amen
[00:01:00.000 --> 00:01:02.000]  Amen,沒錯了,所以你帶著期望
[00:01:02.000 --> 00:01:05.000]  第二,我就是神的器皿,行嗎?
[00:01:05.000 --> 00:01:07.000]  所以真正向你說話的不是我
[00:01:07.000 --> 00:01:08.000]  是誰?
[00:01:08.000 --> 00:01:10.000]  多謝了,你明白了
[00:01:10.000 --> 00:01:12.000]  神透過我向你說話
[00:01:12.000 --> 00:01:14.000]  所以我們教小朋友
[00:01:14.000 --> 00:01:17.000]  如果有人給我兩個女兒,我教他們怎麼說?
[00:01:17.000 --> 00:01:20.000]  你們也有很多小朋友吧?
[00:01:20.000 --> 00:01:23.000]  如果有人給你女兒,你怎麼教她說?
[00:01:23.000 --> 00:01:26.000]  多謝,謝謝,沒錯了,對,多謝
[00:01:26.000 --> 00:01:29.000]  如果神給你東西呢?
[00:01:29.000 --> 00:01:33.000]  你不要說多謝神,跟人有什麼分別?
[00:01:33.000 --> 00:01:36.000]  你應該說,沒錯,我聽到了,感謝主
[00:01:36.000 --> 00:01:38.000]  我們從小至大信主是這樣教的
[00:01:38.000 --> 00:01:41.000]  如果神給你東西,你怎麼說?
[00:01:41.000 --> 00:01:43.000]  這麼少人說,你們不習慣跟神說感謝主嗎?
[00:01:43.000 --> 00:01:45.000]  你們沒有東西拿過嗎?
[00:01:45.000 --> 00:01:47.000]  今天你帶著期望來到神的面前
[00:01:47.000 --> 00:01:49.000]  好,再說一次,如果神給你東西,你怎麼說?
[00:01:49.000 --> 00:01:51.000]  感謝主,好嗎?
[00:01:51.000 --> 00:01:53.000]  所以我請大家今天特別一點
[00:01:53.000 --> 00:01:55.000]  你來到這個教堂裡,你聽道理
[00:01:55.000 --> 00:01:57.000]  神向你說話
[00:01:57.000 --> 00:01:59.000]  當你聽到一些你很認同,很明白的地方
[00:01:59.000 --> 00:02:02.000]  你可以細聲在座位上說感謝主
[00:02:02.000 --> 00:02:04.000]  行不行?我收到了,你說神我聽到了
[00:02:04.000 --> 00:02:06.000]  我明白,你送東西給我,我收到了
[00:02:06.000 --> 00:02:07.000]  感謝你,好嗎?
[00:02:07.000 --> 00:02:11.000]  讓我們真的滿滿帶著神的祝福離開這個地方
[00:02:11.000 --> 00:02:14.000]  你每一次來到,我怕教友為了離而走,離而走
[00:02:14.000 --> 00:02:16.000]  沒有意義的,我經常覺得
[00:02:16.000 --> 00:02:18.000]  你來得,你帶著期待
[00:02:18.000 --> 00:02:21.000]  神向我說話,你讓我生命豐盛
[00:02:21.000 --> 00:02:22.000]  同意嗎?
[00:02:22.000 --> 00:02:23.000]  所以我今天坐在這裡
[00:02:23.000 --> 00:02:25.000]  所以我帶著神的祝福離開這個地方
