
[00:00:00.000 --> 00:00:02.600]  弟兄姊妹今天是年初二
[00:00:02.600 --> 00:00:04.400]  在這裡也祝福大家
[00:00:04.400 --> 00:00:08.200]  在新的一年有常有神的平安喜樂
[00:00:08.200 --> 00:00:10.700]  特別在歲首到年終的時候
[00:00:10.700 --> 00:00:14.800]  都蒙耶和華神的眷顧
[00:00:14.800 --> 00:00:19.700]  那我們的PowerPoint這麼快就到這裡
[00:00:19.700 --> 00:00:23.800]  看來要加快一點速度
[00:00:23.800 --> 00:00:27.900]  在新年裡面聽到很多的是祝福的話語
[00:00:27.900 --> 00:00:31.300]  我不知道大家最常聽到的有哪些
[00:00:31.300 --> 00:00:36.900]  會不會是恭喜發財 連年有如 萬事勝意等等
[00:00:36.900 --> 00:00:40.500]  在我想到有喜樂 歡樂這個詞的時候
[00:00:40.500 --> 00:00:43.000]  我想到了另外一個四個字
[00:00:43.000 --> 00:00:45.500]  就是知足常樂
[00:00:45.500 --> 00:00:47.400]  但是我好像從來沒有在新年的時候
[00:00:47.400 --> 00:00:50.400]  聽到有人在這樣祝福對方說
[00:00:50.400 --> 00:00:53.000]  祝你今年知足常樂
[00:00:53.000 --> 00:00:56.600]  因為很多人雖然都認同這個觀點
[00:00:56.600 --> 00:00:58.800]  但是覺得如果這樣說的話
[00:00:58.800 --> 00:01:02.000]  好像就叫人不太進取
[00:01:02.000 --> 00:01:03.700]  我們在生活當中
[00:01:03.700 --> 00:01:05.000]  我們這樣說的話
[00:01:05.000 --> 00:01:08.100]  好像給人感覺是不失進取
[00:01:08.100 --> 00:01:11.300]  但是是這樣子嗎
[00:01:11.300 --> 00:01:17.500]  在社會上現在把人都當成了一種生產的工具
[00:01:17.500 --> 00:01:22.200]  他的人生就是他在整個的生命當中
[00:01:22.200 --> 00:01:25.100]  最大部分就是放在他的職業裡面
[00:01:25.100 --> 00:01:28.100]  他的職業就決定了他的生涯
[00:01:28.100 --> 00:01:33.800]  人在裡面得到安排 就受到百般的勞役
[00:01:33.800 --> 00:01:37.900]  他有很多難處也要迎難而上
[00:01:37.900 --> 00:01:42.500]  沒有心思 沒有力量去關心其他的事情
[00:01:42.500 --> 00:01:46.600]  有一個數據 2015年
[00:01:46.600 --> 00:01:50.300]  在香港一共有98位僱員
[00:01:50.300 --> 00:01:55.700]  因為在工作的時候因為過勞而摔死
[00:01:55.700 --> 00:01:59.600]  過勞死其實已經成為現在很多社會上
[00:01:59.600 --> 00:02:03.300]  或者是世界上世界性的一個現象
[00:02:03.300 --> 00:02:06.100]  尤其在經濟發達的國家
[00:02:06.100 --> 00:02:09.100]  這個詞過勞死是來自日本
[00:02:09.100 --> 00:02:13.000]  就是指到職業性的突然死亡
[00:02:13.000 --> 00:02:17.900]  因為工作過度勞累導致的
[00:02:17.900 --> 00:02:22.300]  事實上在臺灣 在韓國 在香港很多地方
[00:02:22.300 --> 00:02:25.800]  近年也出現了很多過勞死這樣的一個情況
[00:02:25.800 --> 00:02:28.700]  所以我們看到當代人有一方面的壓力
[00:02:28.700 --> 00:02:31.000]  是工作方面帶來的
[00:02:31.000 --> 00:02:35.100]  這種壓力帶給他們就是身體上健康上的一個影響
[00:02:35.100 --> 00:02:37.700]  但不單在身體健康上面
[00:02:37.700 --> 00:02:40.400]  另外還有很多的比較
[00:02:40.400 --> 00:02:45.000]  在職業上的比較帶來了一個很大的壓力
[00:02:45.000 --> 00:02:47.800]  特別是給年輕人帶來很多精神的壓力
[00:02:47.800 --> 00:02:50.800]  現在是農曆新年
[00:02:50.800 --> 00:02:53.500]  其實在內地很多在外地
[00:02:53.500 --> 00:02:57.700]  在內地城市裡面工作的朋友
[00:02:57.700 --> 00:03:01.200]  新年期間要回到老家去過新年
[00:03:01.200 --> 00:03:04.900]  大家應該聽過就是他們這趟回家
[00:03:04.900 --> 00:03:07.700]  對年輕人來說有時候是不容易的
[00:03:07.700 --> 00:03:11.400]  因為很多人回到家的時候都被親戚
[00:03:11.400 --> 00:03:15.600]  或者朋友在問他在城市裡面工作的一些情況
[00:03:15.600 --> 00:03:18.800]  甚至問他在談戀愛的一些情況
[00:03:18.800 --> 00:03:20.900]  五六年前我就聽過一個的新聞
[00:03:20.900 --> 00:03:23.600]  就是說連關殭屍
[00:03:23.600 --> 00:03:27.500]  那對於一些單親貴族來單親族類
[00:03:27.500 --> 00:03:29.400]  他們來說是回家是很辛苦
