
[00:00:00.000 --> 00:00:03.000]  在新年的第一個主日
[00:00:03.000 --> 00:00:06.000]  在這裏祝福大家身心靈健壯
[00:00:06.000 --> 00:00:09.000]  新的一年更上一層樓
[00:00:09.000 --> 00:00:14.000]  那我不知道大家在過去的2019年
[00:00:14.000 --> 00:00:16.000]  你過得怎麽樣
[00:00:16.000 --> 00:00:18.000]  我給大家半分鐘的時間
[00:00:18.000 --> 00:00:21.000]  你閉上眼睛回想一下
[00:00:21.000 --> 00:00:23.000]  過去一年你有什麽感覺
[00:00:30.000 --> 00:00:36.000]  好了
[00:00:36.000 --> 00:00:37.000]  有什麽感受啊
[00:00:37.000 --> 00:00:41.000]  那如果你過去一年你覺得非常的精彩
[00:00:41.000 --> 00:00:43.000]  非常的感恩
[00:00:43.000 --> 00:00:45.000]  那我也為你感恩
[00:00:45.000 --> 00:00:49.000]  真的是值得來感謝主
[00:00:49.000 --> 00:00:52.000]  或者是你過去一年你回首
[00:00:52.000 --> 00:00:55.000]  好像剛才有一首詩歌提到不堪回首
[00:00:55.000 --> 00:00:57.000]  會不會有這樣的感覺呢
[00:00:57.000 --> 00:01:00.000]  你覺得過去一年好像是一團糟
[00:01:00.000 --> 00:01:01.000]  很失敗
[00:01:01.000 --> 00:01:02.000]  很懊悔
[00:01:02.000 --> 00:01:04.000]  好像沒有出路一樣
[00:01:04.000 --> 00:01:11.000]  怎麽辦呢
[00:01:11.000 --> 00:01:15.000]  中國的唐代的著名詩人王維
[00:01:15.000 --> 00:01:18.000]  他有一首詩叫中南別頁
[00:01:18.000 --> 00:01:20.000]  這首詩他這樣說
[00:01:20.000 --> 00:01:28.000]  中歲頗好到晚家南山垂
[00:01:28.000 --> 00:01:31.000]  行到水窮處坐看雲起時
[00:01:31.000 --> 00:01:34.000]  偶然直臨手談笑無還期
[00:01:34.000 --> 00:01:39.000]  那這首詩他翻譯過來白話意思就是說
[00:01:39.000 --> 00:01:41.000]  詩人他中年的時候
[00:01:41.000 --> 00:01:43.000]  他就很愛好那個佛禮
[00:01:43.000 --> 00:01:47.000]  晚年的時候他的家住在中南山底
[00:01:47.000 --> 00:01:49.000]  他一有興致起來
[00:01:49.000 --> 00:01:52.000]  他就去獨自的漫遊
[00:01:52.000 --> 00:01:57.000]  只有他自己的心能夠領會其中的佳趣
[00:01:57.000 --> 00:01:59.000]  他任勤的閒步
[00:01:59.000 --> 00:02:02.000]  不經不覺走到水流的盡頭
[00:02:02.000 --> 00:02:04.000]  然後他悠閒的坐下來
[00:02:04.000 --> 00:02:09.000]  仰看飛雲在天空浮游
[00:02:09.000 --> 00:02:12.000]  偶爾他在森林當中碰到一些的老人
[00:02:12.000 --> 00:02:14.000]  他們就談笑風生
[00:02:14.000 --> 00:02:17.000]  竟然忘了歸期
[00:02:17.000 --> 00:02:20.000]  那這首詩表達的是詩人王維
[00:02:20.000 --> 00:02:22.000]  他對待人生的態度
[00:02:22.000 --> 00:02:27.000]  特別是行到水窮處坐看雲起時這一句
[00:02:27.000 --> 00:02:29.000]  詩人他認為
[00:02:29.000 --> 00:02:32.000]  人要知道自己受到挫折的時候
[00:02:32.000 --> 00:02:34.000]  如何去開脫
[00:02:34.000 --> 00:02:37.000]  給自己的內心適當的放鬆
[00:02:37.000 --> 00:02:40.000]  所以一個人能夠自我陶醉
[00:02:40.000 --> 00:02:42.000]  懂得放鬆自己
[00:02:42.000 --> 00:02:46.000]  可以就跟很多底層的人物去交談
[00:02:46.000 --> 00:02:48.000]  這是一種人生的大智慧
[00:02:48.000 --> 00:02:50.000]  這是詩人的看法
[00:02:50.000 --> 00:02:54.000]  那這首詩固然有值得我們欣賞的地方
[00:02:54.000 --> 00:02:57.000]  但是他的那種的智慧
[00:02:57.000 --> 00:03:01.000]  其實還是一種消極的智慧
