
[00:00:00.000 --> 00:00:03.560]  今天我們讀到《三代經課》
[00:00:03.560 --> 00:00:06.280]  讀到《約翰福音》第九章
[00:00:06.280 --> 00:00:12.680]  我們今天處身在國際及本地局勢之中
[00:00:12.680 --> 00:00:15.680]  我們讀到《約翰福音》第九章
[00:00:15.680 --> 00:00:19.480]  應該懷著一個相當感恩的心去讀
[00:00:19.480 --> 00:00:24.000]  原因是我們在當中大致上看到
[00:00:24.000 --> 00:00:27.440]  一種跟我們今天處身的國際局勢
[00:00:27.440 --> 00:00:30.520]  或者是本地局勢是很相似的
[00:00:30.520 --> 00:00:34.480]  如果我們要用四個字去形容
[00:00:34.480 --> 00:00:36.560]  國際社會現在的情況
[00:00:36.560 --> 00:00:38.880]  以及我們香港社會的情況
[00:00:38.880 --> 00:00:41.960]  我估計如果我用嚴重撕裂
[00:00:41.960 --> 00:00:45.360]  或者兩極分化這四個字去形容的時候
[00:00:45.360 --> 00:00:49.360]  我相信不會有太多的弟兄姊妹會反對
[00:00:49.360 --> 00:00:51.280]  我這樣形容的
[00:00:51.280 --> 00:00:52.840]  譬如在國際方面
[00:00:52.840 --> 00:00:56.040]  我們知道中英之間的磨擦
[00:00:56.040 --> 00:00:58.720]  一波未平一波又起
[00:00:58.720 --> 00:01:01.240]  這邊箱是打算發中國夢
[00:01:01.240 --> 00:01:04.480]  那邊箱是要保持美國偉大
[00:01:04.480 --> 00:01:09.120]  在以往一段一年多兩年的時間
[00:01:09.120 --> 00:01:12.600]  才有中美的貿戰
[00:01:12.600 --> 00:01:16.320]  最近的鬥爭爭拗到
[00:01:16.320 --> 00:01:20.800]  到底武漢病毒的源頭是中國還是美國
[00:01:20.800 --> 00:01:24.760]  以致搞到國務卿龐貝奧
[00:01:24.760 --> 00:01:27.640]  和中國的楊潔篪
[00:01:27.640 --> 00:01:30.560]  要在電話裏面去吵架
[00:01:30.560 --> 00:01:32.520]  並且這一場的吵架
[00:01:32.520 --> 00:01:36.520]  還殃及了很多包括香港裏面的池魚
[00:01:36.520 --> 00:01:39.840]  我們又再看看的時候
[00:01:39.840 --> 00:01:42.040]  我們知道近幾個月來
[00:01:42.040 --> 00:01:46.400]  解放軍的戰機在台海的中線附近
[00:01:46.400 --> 00:01:49.960]  多次實施夜間的巡航
[00:01:49.960 --> 00:01:52.800]  而美國就在幾天之前
[00:01:52.800 --> 00:01:58.280]  以羅斯福號為主的航空母艦
[00:01:58.280 --> 00:02:02.880]  在南海的地區展開了聯合訓練行動
[00:02:02.880 --> 00:02:06.080]  以致到可能是有一種挑釁
[00:02:06.080 --> 00:02:09.600]  或者是一種透過挑釁來還擊
[00:02:09.600 --> 00:02:16.360]  大家似乎是想透過挑起對外的矛盾
[00:02:16.360 --> 00:02:20.960]  而去增強自己內部的認受性和團結
[00:02:20.960 --> 00:02:24.160]  還有如果我們再放眼多一點的時候
[00:02:24.160 --> 00:02:29.720]  還有俄羅斯、沙特和美國等等之間的石油大戰
[00:02:29.720 --> 00:02:33.360]  搞到環球股市突然之間大跌
[00:02:33.360 --> 00:02:35.800]  熔斷了幾次
[00:02:35.800 --> 00:02:40.600]  在武漢病毒已經變成一個全球大流行的同時
[00:02:40.600 --> 00:02:42.520]  雪上加霜
[00:02:42.520 --> 00:02:48.480]  很多人的財富在很短時間之內蒸發了
[00:02:48.480 --> 00:02:51.040]  國際間的撕裂
[00:02:51.040 --> 00:02:55.960]  實在已經去到分分鐘擦槍走火的地步
[00:02:55.960 --> 00:02:58.160]  香港本地的撕裂
[00:02:58.160 --> 00:02:59.960]  我想都不用多提
[00:02:59.960 --> 00:03:02.200]  紅黃、藍白、黑
[00:03:02.200 --> 00:03:06.840]  基本上都在一個很撕裂的狀況裏面
[00:03:06.840 --> 00:03:10.760]  我們在這種大氛圍裏面
[00:03:10.760 --> 00:03:13.400]  在各種因為政治等等的因素
[00:03:13.400 --> 00:03:16.560]  以致到撕裂、兩極化
[00:03:16.560 --> 00:03:18.560]  橫行在這個世代的時候
[00:03:18.560 --> 00:03:21.480]  教會應該怎樣面對呢?
[00:03:21.480 --> 00:03:28.560]  或者信徒怎樣可以在這種張力下認清上帝的心意呢?
[00:03:28.560 --> 00:03:31.080]  我們讀到《約翰福音》第九章
[00:03:31.080 --> 00:03:31.840]  我們很感恩
[00:03:31.840 --> 00:03:35.440]  因為裏面其實給了我們很重要的教導
[00:03:35.440 --> 00:03:37.600]  到底在這種狀況下
[00:03:37.600 --> 00:03:41.160]  教會或者信徒是可以怎樣面對
[00:03:41.160 --> 00:03:44.560]  當然《約翰福音》第九章沒有直接告訴我們
[00:03:44.560 --> 00:03:48.560]  令我們知道到底上帝在今時今日的心意是怎樣
[00:03:48.560 --> 00:03:50.800]  今日我們仍然是很模糊
[00:03:50.800 --> 00:03:55.000]  但它是提醒我們怎樣在這些的紛亂裏面
[00:03:55.000 --> 00:03:59.480]  不會跌入各種不同的陷阱
[00:03:59.480 --> 00:04:02.520]  而這些陷阱如果我們跌了下去的話
[00:04:02.520 --> 00:04:04.280]  經常會使到人
[00:04:04.280 --> 00:04:08.960]  即使當上帝的心意是一清二楚的時候
[00:04:08.960 --> 00:04:13.240]  我們都會視而不見
[00:04:13.240 --> 00:04:14.800]  於是我們看論經文的時候
[00:04:14.800 --> 00:04:19.480]  我們看看到底怎樣才可以視而見之呢?
[00:04:19.480 --> 00:04:22.040]  到底什麼人什麼情況底下
[00:04:22.040 --> 00:04:25.280]  又會是視而不見的呢?
[00:04:25.280 --> 00:04:28.680]  我們將要在《約翰福音》第九章裏面
[00:04:28.680 --> 00:04:30.360]  看到一個撥論
[00:04:30.360 --> 00:04:32.120]  一個paradox
[00:04:32.120 --> 00:04:38.120]  就是說失明的才能看見上主的心意
[00:04:38.120 --> 00:04:42.240]  讓我們一起翻開《約翰福音》第九章
[00:04:42.240 --> 00:04:45.920]  這個第九章發生的事件
[00:04:45.920 --> 00:04:49.240]  其實是非常精彩或很精彩的逼人的
[00:04:49.240 --> 00:04:51.840]  話說在某一個安息日的時候
[00:04:51.840 --> 00:04:54.160]  耶穌和一群門徒在街上
[00:04:54.160 --> 00:04:58.240]  巧遇一個生來就黑眼的一個黑衣
