
[00:00:00.000 --> 00:00:04.120]  新年我們如果傳統的習俗
[00:00:04.120 --> 00:00:06.560]  米缸都會貼個什麼
[00:00:06.560 --> 00:00:10.760]  福又滿,要常滿的東西
[00:00:10.760 --> 00:00:14.000]  我們其實現在身處現代的社會
[00:00:14.000 --> 00:00:16.480]  物質其實已經非常豐富
[00:00:16.480 --> 00:00:18.600]  很豐富
[00:00:18.600 --> 00:00:19.920]  不知道你覺不覺得
[00:00:19.920 --> 00:00:24.320]  買東西最困難的一件事是什麼
[00:00:24.320 --> 00:00:25.320]  選擇
[00:00:25.320 --> 00:00:26.520]  是不是?你說選擇
[00:00:26.520 --> 00:00:28.280]  是選擇,因為很多東西
[00:00:28.280 --> 00:00:30.480]  很多選擇
[00:00:30.480 --> 00:00:32.560]  剛剛我們十二月的時候
[00:00:32.560 --> 00:00:35.440]  在香港一段時間
[00:00:35.440 --> 00:00:38.240]  爺爺奶奶就帶孫子
[00:00:38.240 --> 00:00:42.240]  即是我爸爸媽媽帶我的女兒去買禮物
[00:00:42.240 --> 00:00:44.080]  去到一個地方
[00:00:44.080 --> 00:00:46.480]  說選擇呀,很開心
[00:00:46.480 --> 00:00:48.000]  其中一個女兒
[00:00:48.000 --> 00:00:49.440]  她選擇到了
[00:00:49.440 --> 00:00:50.320]  很快就選擇到了
[00:00:50.320 --> 00:00:52.800]  很喜歡這東西,要買
[00:00:52.800 --> 00:00:55.440]  很喜歡,最喜歡
[00:00:55.440 --> 00:00:57.800]  接著走過隔壁那一行的時候
[00:00:57.800 --> 00:00:59.440]  發覺又看到另一樣東西
[00:00:59.440 --> 00:01:01.080]  這東西又是最喜歡的
[00:01:01.080 --> 00:01:03.080]  又要買了
[00:01:03.080 --> 00:01:04.960]  沒多久又走過一兩行
[00:01:04.960 --> 00:01:05.960]  發現另一樣東西
[00:01:05.960 --> 00:01:07.640]  這東西又是非買不可
[00:01:07.640 --> 00:01:09.720]  又是一定要的
[00:01:09.720 --> 00:01:11.840]  如是者,我想都
[00:01:11.840 --> 00:01:14.000]  結果花了十五二十分鐘
[00:01:14.000 --> 00:01:15.360]  選了可能十樣八樣
[00:01:15.360 --> 00:01:16.760]  每樣都說是最喜歡
[00:01:16.760 --> 00:01:18.200]  每樣都是要買的
[00:01:18.200 --> 00:01:19.920]  那就糟糕了
[00:01:19.920 --> 00:01:21.240]  只能夠買一樣
[00:01:21.240 --> 00:01:24.320]  但是十樣八樣都說每樣都是最喜歡
[00:01:24.320 --> 00:01:25.240]  那怎麼辦呢?
[00:01:25.240 --> 00:01:28.440]  於是乎又花十五二十三十分鐘
[00:01:28.440 --> 00:01:29.800]  來幫她篩選
[00:01:29.800 --> 00:01:31.200]  去選擇,決定
[00:01:31.200 --> 00:01:32.880]  這東西好,車好
[00:01:32.880 --> 00:01:33.880]  還是馬好
[00:01:33.880 --> 00:01:35.080]  還是不知道飛機好
[00:01:35.080 --> 00:01:36.120]  還是什麼好
[00:01:36.120 --> 00:01:38.280]  去篩選,排次序
[00:01:38.280 --> 00:01:41.240]  結果又是花時間
[00:01:41.240 --> 00:01:45.400]  來選擇,選到了
[00:01:45.400 --> 00:01:47.160]  但是如果早二三十年
[00:01:47.160 --> 00:01:49.600]  三四十年,四五十年
