
[00:00:00.000 --> 00:00:04.300]  有回來我們教會的就知道我之前一直在講一個題目
[00:00:04.300 --> 00:00:07.200]  講了阿拉罕 講了七次
[00:00:07.200 --> 00:00:12.920]  如果不知道的你看一下上網可以聽回
[00:00:12.920 --> 00:00:17.040]  都是一個對我們的信心很大
[00:00:17.040 --> 00:00:23.080]  幫助的一些聖經的教訓
[00:00:23.080 --> 00:00:27.440]  今天特別一點就完了那個系列之後
[00:00:27.440 --> 00:00:32.420]  講什麼呢?剛好十月底會有一個報道會
[00:00:32.420 --> 00:00:37.280]  所以我就覺得講一講全福音這個題目
[00:00:37.280 --> 00:00:40.020]  講全福音這個題目太大太多東西講了
[00:00:40.020 --> 00:00:42.400]  那怎麼辦呢?我都想了很久
[00:00:42.400 --> 00:00:49.940]  到兩個星期、一個星期之前才慢慢有這個想法
[00:00:49.940 --> 00:00:51.920]  不如這樣講吧
[00:00:51.920 --> 00:00:56.140]  又定了最後一個題目叫「福音九型人」
[00:00:56.140 --> 00:00:57.860]  是不是有點特別呢?
[00:00:57.860 --> 00:01:01.740]  希望這個題目特別一點吸引到大家去聽
[00:01:01.740 --> 00:01:07.040]  以及可以記到裡面的內容幫助到大家
[00:01:07.040 --> 00:01:12.780]  這次我講這個「福音九型人」講的東西很多
[00:01:12.780 --> 00:01:14.700]  你們一定不會全部記得
[00:01:14.700 --> 00:01:16.580]  所以你記不清不要緊
[00:01:16.580 --> 00:01:18.980]  記到一點點就夠了
[00:01:18.980 --> 00:01:21.580]  我又沒有寫特別的經文出來
[00:01:21.580 --> 00:01:23.480]  因為經文好像很多
[00:01:23.480 --> 00:01:26.140]  又不需要你特別去記什麼經文
[00:01:26.140 --> 00:01:32.840]  記住那個高牌和一兩個例子就或者是會足夠
[00:01:32.840 --> 00:01:35.900]  大家記得在福音書裡面
[00:01:35.900 --> 00:01:39.460]  如果看過福音書的第一卷福音書是什麼?
[00:01:39.460 --> 00:01:42.480]  《馬太福音》
[00:01:42.480 --> 00:01:45.680]  《馬太福音》還有28章很長的
[00:01:45.680 --> 00:01:47.780]  但是講到最後的時候
[00:01:47.780 --> 00:01:51.340]  一直記載耶穌的故事到最後耶穌怎樣?
[00:01:51.340 --> 00:01:55.060]  耶穌就是死了、復活了然後升天
[00:01:55.060 --> 00:01:58.820]  在祂升天之前講了一番話
[00:01:58.820 --> 00:02:01.320]  通常人在離開你的親友
[00:02:01.320 --> 00:02:04.980]  最後一刻你要講的說話當然是最重要的
[00:02:04.980 --> 00:02:08.480]  所以耶穌講這番話就很有特別的意思
[00:02:08.480 --> 00:02:14.220]  也有一些教會稱呼這個為「大使命」
[00:02:14.220 --> 00:02:15.880]  有一個這樣的名稱
[00:02:15.880 --> 00:02:18.840]  我們這一段經文記載在《馬太福音》
[00:02:18.840 --> 00:02:19.840]  我們看一看
[00:02:21.500 --> 00:02:24.460]  《馬太福音》28章18至20節
[00:02:24.460 --> 00:02:27.280]  就是耶穌到最後的時候
[00:02:27.280 --> 00:02:29.940]  進前來對他們說就是祂的門徒
[00:02:29.940 --> 00:02:33.980]  祂說「天上地下所有的權政都似給我了
[00:02:33.980 --> 00:02:35.980]  所以你們要去
[00:02:35.980 --> 00:02:38.120]  使萬物作我的門徒
[00:02:38.120 --> 00:02:40.820]  奉父子聖靈的名給他們施洗
[00:02:40.820 --> 00:02:44.380]  凡我所吩咐你們的都教訓他們遵守
[00:02:44.380 --> 00:02:48.480]  我就常與你們同在直到世界的末了」
[00:02:48.480 --> 00:02:51.480]  《馬太福音》到這裡就結束了
[00:02:51.480 --> 00:02:54.220]  稱呼為「大使命」
[00:02:54.220 --> 00:02:57.500]  很多的教會、很多的團體、機構
[00:02:57.500 --> 00:03:00.780]  都覺得很重要主這樣吩咐
