
[00:00:00.000 --> 00:00:01.540]  各位代言主們平安
[00:00:01.540 --> 00:00:04.200]  我們繼續來查考《彈耳理書》
[00:00:04.200 --> 00:00:06.680]  《彈耳理書》其中第九章
[00:00:06.680 --> 00:00:11.720]  被稱為聖經當中最難解的經文之一
[00:00:11.720 --> 00:00:15.180]  我不知道你有沒有讀過《彈耳理書》第九章
[00:00:15.180 --> 00:00:18.320]  因為講到講到七十個七
[00:00:18.320 --> 00:00:21.200]  又有六十九個七
[00:00:21.200 --> 00:00:23.800]  又一七之半
[00:00:23.800 --> 00:00:25.860]  一七之半的上半
[00:00:25.860 --> 00:00:28.320]  一七之半的下半
[00:00:28.320 --> 00:00:30.700]  很多人碰到這段經文
[00:00:30.700 --> 00:00:32.420]  都摸不著頭腦
[00:00:32.420 --> 00:00:34.580]  不明白聖經說什麼
[00:00:34.580 --> 00:00:36.920]  沒錯 聖經有些地方
[00:00:36.920 --> 00:00:39.620]  我們看起來好像不知道為什麼
[00:00:39.620 --> 00:00:41.560]  但是主要我們等候
[00:00:41.560 --> 00:00:42.600]  忍耐
[00:00:42.600 --> 00:00:45.580]  將聖經其他相關的經文
[00:00:45.580 --> 00:00:48.020]  放在一起看的時候
[00:00:48.020 --> 00:00:50.920]  神就會給我們亮光
[00:00:50.920 --> 00:00:53.440]  聖靈就會光照我們
[00:00:53.440 --> 00:00:55.140]  叫我們明白
[00:00:55.140 --> 00:00:59.280]  到底這一個預言是說什麼
[00:00:59.280 --> 00:01:01.960]  所以今天要跟大家來研讀
[00:01:01.960 --> 00:01:04.080]  最難解的一章
[00:01:04.080 --> 00:01:06.920]  就是《彈耳理書》第九章
[00:01:06.920 --> 00:01:11.120]  講到七十個七的異章
[00:01:11.120 --> 00:01:16.280]  聖經說在古列王元年的時候
[00:01:16.280 --> 00:01:18.960]  彈耳理他就讀聖經
[00:01:18.960 --> 00:01:22.100]  他就讀到耶利米先知
[00:01:22.100 --> 00:01:25.060]  原來他也很喜歡讀耶利米書
