
[00:00:00.000 --> 00:00:02.240]  我今天要講的題目就是
[00:00:02.240 --> 00:00:04.100]  因為講述孤獨感
[00:00:04.100 --> 00:00:07.800]  我講的題目就是「離開心靈的孤島」
[00:00:07.800 --> 00:00:08.840]  我不知道老大兄姊妹
[00:00:08.840 --> 00:00:11.960]  你會不會覺得好像在 PowerPoint 上
[00:00:11.960 --> 00:00:14.800]  那個人家裡有孤島那樣
[00:00:14.800 --> 00:00:17.720]  當我準備這篇信息的時候
[00:00:17.720 --> 00:00:20.160]  我在找資料就找到了
[00:00:20.160 --> 00:00:25.360]  原來近年英國設立了一個新的職位
[00:00:25.360 --> 00:00:27.640]  叫做「孤獨事務大臣」
[00:00:27.640 --> 00:00:31.600]  英文是甚麼呢?就是「Minister of Loneliness」
[00:00:31.600 --> 00:00:33.360]  過了幾年之後
[00:00:33.360 --> 00:00:37.640]  日本原來又設立了一個女童的職位
[00:00:37.640 --> 00:00:42.160]  就叫做「孤獨與孤立事務大臣」
[00:00:42.160 --> 00:00:44.520]  為甚麼他們會設立這些職位呢?
[00:00:44.520 --> 00:00:47.080]  就是原來在社會裡面
[00:00:47.080 --> 00:00:49.720]  很多人都面對孤獨的問題
[00:00:49.720 --> 00:00:51.240]  也有醫生說
[00:00:51.240 --> 00:00:54.040]  如果一個人陷入長期的孤獨
[00:00:54.040 --> 00:00:56.800]  對身體的危險和影響是甚麼呢?
[00:00:56.800 --> 00:01:00.800]  就等同每天吃十五支煙那麼誇張
[00:01:00.800 --> 00:01:02.440]  我說「嘩!那麼誇張」
[00:01:02.440 --> 00:01:05.200]  又說甚麼要定呢?
[00:01:05.200 --> 00:01:07.800]  孤獨就是在這二十一世紀裡面
[00:01:07.800 --> 00:01:11.000]  可能被定為一個流行病
[00:01:11.000 --> 00:01:12.840]  所以當我在想
[00:01:12.840 --> 00:01:15.720]  「孤獨」甚麼叫做「孤獨」呢?
[00:01:15.720 --> 00:01:17.720]  英文是「Loneliness」
[00:01:17.720 --> 00:01:21.320]  就是說一個你很不開心、很不愉快的情緒
[00:01:21.320 --> 00:01:22.400]  你覺得你自己
[00:01:22.400 --> 00:01:24.000]  縱然你身邊,你看看旁邊
[00:01:24.000 --> 00:01:26.040]  好像有很多人圍著你
[00:01:26.040 --> 00:01:30.680]  但是,你覺得跟他們沒有一個有意義的聯繫
[00:01:30.680 --> 00:01:32.800]  你覺得你自己可能是一個人的時候
[00:01:32.800 --> 00:01:37.320]  那種淒涼、不安、恐懼、被拒絕的感覺
[00:01:37.320 --> 00:01:39.600]  而當我們說「孤獨」的時候
[00:01:39.600 --> 00:01:41.360]  不是等於「孤單」
[00:01:41.360 --> 00:01:42.720]  「孤單」是「Alone」
[00:01:42.720 --> 00:01:45.960]  但是你會落在其中一個獨處的感覺
[00:01:45.960 --> 00:01:47.960]  但是當我們說「孤獨」的時候
[00:01:47.960 --> 00:01:51.360]  就是心裡面那種很不安的情緒
[00:01:51.360 --> 00:01:54.360]  所以,我今天就選擇了兩節的經文
[00:01:54.360 --> 00:01:56.200]  去跟大家一起去看看
[00:01:56.200 --> 00:01:58.840]  究竟我們怎樣靠著我們的神
[00:01:58.840 --> 00:02:01.360]  我們離開這個心靈的孤獨
[00:02:01.360 --> 00:02:04.360]  我們一同去中讀這兩節的經文,好嗎?
[00:02:04.360 --> 00:02:07.440]  第一節是在《出埃及記》三十三章十一節
[00:02:07.440 --> 00:02:09.920]  我請大家一起讀,一、二、三
[00:02:09.920 --> 00:02:18.280]  而第二段經文呢
[00:02:18.280 --> 00:02:22.360]  是在《漢福音》十五章十三和十五節
[00:02:22.360 --> 00:02:23.400]  我們一起讀
[00:02:23.400 --> 00:02:28.920]  「人為朋友捨命,人的愛心沒有比這過大的」
[00:02:28.920 --> 00:02:35.680]  「以後我不再因僕人不知主人所做的事」
[00:02:35.680 --> 00:02:38.120]  「我乃稱你們為朋友」
[00:02:38.120 --> 00:02:41.320]  「因我從我父所聽見的」
[00:02:41.320 --> 00:02:43.960]  「已經告訴了你們」
[00:02:43.960 --> 00:02:47.200]  這樣的話,我就很想跟大家
[00:02:47.200 --> 00:02:49.680]  去看看摩西的一生
[00:02:49.680 --> 00:02:56.560]  摩西的一生怎樣可以跳出這個孤獨感
[00:02:56.560 --> 00:02:58.520]  而摩西,大家知不知道
[00:02:58.520 --> 00:03:00.920]  摩西有多少年的壽數?
[00:03:00.920 --> 00:03:07.320]  一百二十,長命百二歲
[00:03:07.320 --> 00:03:10.600]  有很多的聖經學者會將摩西的一生
[00:03:10.600 --> 00:03:14.320]  分為三個階段去看
[00:03:14.320 --> 00:03:18.320]  第一個階段是他的出生到四十歲
[00:03:18.320 --> 00:03:22.880]  那時摩西在皇宮裏面是一個埃及王子
