
[00:00:00.000 --> 00:00:02.880]  和你旁邊說聲新年快樂
[00:00:02.880 --> 00:00:06.640]  今天是我們2024年第一次的主日崇拜
[00:00:06.640 --> 00:00:12.200]  我們開始一個新的題目和新的一個年題
[00:00:12.200 --> 00:00:15.560]  如果大家有看今天的《矚目心聲》就會知道
[00:00:15.560 --> 00:00:17.600]  我們今年的年題就是
[00:00:17.600 --> 00:00:21.120]  「心存盼望,以心建家」
[00:00:21.120 --> 00:00:23.480]  今天我們會集中說盼望
[00:00:23.480 --> 00:00:26.000]  所以今天的題目是活潑的盼望
[00:00:26.000 --> 00:00:29.880]  我會用《秘德前書》一字述二字
[00:00:29.880 --> 00:00:33.240]  讓我們思考究竟活潑的盼望
[00:00:33.240 --> 00:00:35.400]  我們怎樣能夠擁有
[00:00:35.400 --> 00:00:37.200]  怎樣能夠活出來
[00:00:37.200 --> 00:00:40.640]  是否可以和別人分享出來
[00:00:40.640 --> 00:00:44.320]  不過在開始前我們也看回今天這個世代
[00:00:44.320 --> 00:00:47.680]  你覺得這個世代是一個充滿著盼望的世代
[00:00:47.680 --> 00:00:51.000]  還是充滿著一個失望的時候
[00:00:51.000 --> 00:00:52.920]  你看到我這個泡泡
[00:00:52.920 --> 00:00:55.880]  你也猜到了
[00:00:55.880 --> 00:00:56.880]  兩邊打仗
[00:00:56.880 --> 00:00:58.320]  一邊是鵝烏戰爭
[00:00:58.320 --> 00:01:00.960]  一邊是蚁蝦戰爭
[00:01:00.960 --> 00:01:04.880]  另外早兩星期日本又大地震
[00:01:04.880 --> 00:01:08.600]  韓國北韓那邊又試射很多導彈
[00:01:08.600 --> 00:01:16.000]  好像給人感覺這個世界是充滿著苦難和危險
[00:01:16.000 --> 00:01:18.120]  另一個角度回到香港
[00:01:18.120 --> 00:01:21.200]  我們看回很多新聞和指數
[00:01:21.200 --> 00:01:27.440]  早兩天政府在第四季決定暫時不賣住宅地
[00:01:27.440 --> 00:01:31.280]  好像對樓市也有一些悲觀
[00:01:31.280 --> 00:01:35.480]  我們看到2024年物價指數又在上升
[00:01:35.480 --> 00:01:38.080]  麥當勞也要加元
[00:01:38.080 --> 00:01:39.560]  又有垃圾徵費
[00:01:39.560 --> 00:01:41.600]  又有電費調整
[00:01:41.600 --> 00:01:45.600]  經濟好像在下滑
[00:01:45.600 --> 00:01:52.440]  對我們的前路是否好像充滿著一些困難和悲觀
[00:01:52.440 --> 00:01:54.240]  我喜歡看電影
[00:01:54.240 --> 00:01:56.120]  所以看到一些新聞就說
[00:01:56.120 --> 00:02:02.360]  原來剛剛過去的聖誕節是20年來最低票房的時間
[00:02:02.360 --> 00:02:04.360]  香港人連電影都不看
[00:02:04.360 --> 00:02:05.240]  去了哪裡呢
[00:02:05.240 --> 00:02:08.120]  有些人又不想消費
[00:02:08.120 --> 00:02:10.960]  我們知道在這幾個月
[00:02:10.960 --> 00:02:14.880]  很多青少年都有輕生的事件
[00:02:14.880 --> 00:02:17.680]  也有一齣電影《年少日記》
[00:02:17.680 --> 00:02:19.760]  可以讓我們看到這個世界
[00:02:19.760 --> 00:02:21.400]  或者這個香港
[00:02:21.400 --> 00:02:24.360]  我們的社會是否好像沒有希望
[00:02:24.360 --> 00:02:28.000]  我們的下一代是否沒有盼望
[00:02:28.000 --> 00:02:29.320]  願意在今天的裏面
[00:02:29.320 --> 00:02:33.440]  願意將我們透過聖經上帝的話語
[00:02:33.440 --> 00:02:35.680]  再次展現給我們知道
[00:02:35.680 --> 00:02:37.320]  我們的盼望在哪裡來
[00:02:37.320 --> 00:02:39.040]  以及我們如何活出這份盼望
[00:02:39.040 --> 00:02:41.240]  讓我們同心祈禱
[00:02:41.240 --> 00:02:43.320]  差主求你幫助我們
[00:02:43.320 --> 00:02:45.040]  讓我們今天
[00:02:45.040 --> 00:02:48.160]  說我們的年題是心存盼望
[00:02:48.160 --> 00:02:49.880]  以心建家
[00:02:49.880 --> 00:02:54.280]  求主你透過今天講壇的訊息幫助我們
[00:02:54.280 --> 00:02:56.520]  去聆聽你的話語
[00:02:56.520 --> 00:02:59.160]  以致我們聽到在上帝的說話裏面
[00:02:59.160 --> 00:03:01.000]  我們就能夠找到盼望
[00:03:01.000 --> 00:03:02.880]  打開我們的腦袋
[00:03:02.880 --> 00:03:06.440]  讓我們去接收上帝給我們的訊息
[00:03:06.440 --> 00:03:10.760]  讓我們的心去領受轉化成為行動
[00:03:10.760 --> 00:03:13.640]  以致能夠活出一個盼望的生命
[00:03:13.640 --> 00:03:16.440]  求你使用我僕人
[00:03:16.440 --> 00:03:17.800]  成為你流通的管子
[00:03:17.800 --> 00:03:19.080]  以致將你的話語
[00:03:19.080 --> 00:03:22.320]  按照正義真理分解真理的道
[00:03:22.320 --> 00:03:25.520]  成為我們生命的重要訊息
[00:03:25.520 --> 00:03:27.400]  將今天這堂的崇拜
[00:03:27.400 --> 00:03:29.720]  恭迎再次交到天父你的手裏面
[00:03:29.720 --> 00:03:30.800]  求你帶領
[00:03:30.800 --> 00:03:33.040]  祈禱交託奉耶穌基督名求
[00:03:33.040 --> 00:03:34.400]  阿們
[00:03:34.400 --> 00:03:36.680]  多謝Winson我們的領會
[00:03:36.680 --> 00:03:38.920]  今天帶領我們剛才讀出了經文
