
[00:00:00.000 --> 00:00:04.280]  各位電影主媒平安 我是劉兆康牧師
[00:00:04.280 --> 00:00:10.860]  今天很想跟大家探討「吩咐」這件事
[00:00:10.860 --> 00:00:14.760]  當你太太吩咐你今晚下班回來
[00:00:14.760 --> 00:00:18.560]  記得買鮮奶、買牛、買雞蛋
[00:00:18.560 --> 00:00:22.700]  誰知你忘記了 那就很嚴重了
[00:00:22.700 --> 00:00:27.400]  因為太太的吩咐 你為甚麼忘記了
[00:00:27.400 --> 00:00:33.460]  真的很嚴重 耶穌的吩咐我們記不記得呢?
[00:00:33.460 --> 00:00:39.240]  而且耶穌是有五重的吩咐 同一個的吩咐
[00:00:39.240 --> 00:00:44.680]  不過祂用五種不同的方法來表達出來
[00:00:44.680 --> 00:00:47.060]  今天很想讓大家知道的就是
[00:00:47.060 --> 00:00:50.460]  我們耳熟能詳的大使命
[00:00:50.460 --> 00:00:55.880]  The Great Commission 其實是有五重的
[00:00:55.880 --> 00:00:57.880]  為甚麼我這樣說呢?
[00:00:57.880 --> 00:01:02.320]  因為描寫耶穌臨離開世界之前
[00:01:02.320 --> 00:01:05.020]  是有四卷福音書的
[00:01:05.020 --> 00:01:08.440]  馬太、馬可、路加、約翰都有記載
[00:01:08.440 --> 00:01:12.280]  再加上《使徒行傳》第一章
[00:01:12.280 --> 00:01:17.160]  耶穌臨升天之前對門徒的差遣
[00:01:17.160 --> 00:01:20.680]  所以一共有五個的吩咐
[00:01:20.680 --> 00:01:28.980]  其實是五而一、一而五的 五重的吩咐都是指同一樣東西
[00:01:28.980 --> 00:01:34.940]  或者今天我就要跟大家讀一讀這五段不同的經文
[00:01:34.940 --> 00:01:39.520]  很想讓你們看看有些甚麼是同的 有些甚麼是不同的
[00:01:39.520 --> 00:01:48.220]  而在當中我們會對大使命有更深入、有更透徹的理解
[00:01:48.220 --> 00:01:52.420]  我都很感謝神帶領我來了紐西蘭
[00:01:52.420 --> 00:01:57.140]  而且是神也讓我過去四十多年來
[00:01:57.140 --> 00:02:03.020]  我不同時的經歷是拓闊了我的視野
[00:02:03.020 --> 00:02:06.020]  開拓了我的境界
[00:02:06.020 --> 00:02:09.480]  我是越來越深刻感受到
[00:02:09.480 --> 00:02:18.940]  神在今天這個時代裏面 2020年已經進入千禧年的裏面
[00:02:18.940 --> 00:02:22.400]  神在這個世界的作為
[00:02:22.400 --> 00:02:27.220]  首先我們要來看的就是《馬太福音》第28章
[00:02:27.220 --> 00:02:29.220]  大家熟到不得了的了
[00:02:29.220 --> 00:02:32.020]  也是很多基督徒識背的了
[00:02:32.020 --> 00:02:38.780]  《馬太福音》第28章由第18節開始
[00:02:38.780 --> 00:02:42.600]  耶穌進前來就對他們說
[00:02:42.600 --> 00:02:48.380]  「天上地下所有的權柄都賜給我了
[00:02:48.380 --> 00:02:55.240]  所以你們要去使萬民作我的門徒
[00:02:55.240 --> 00:02:58.060]  然後奉父子聖靈的名
[00:02:58.060 --> 00:03:00.060]  給他們施浸
[00:03:00.060 --> 00:03:05.960]  凡我所吩咐的都教訓他們遵守
[00:03:05.960 --> 00:03:13.380]  我就常與你們同在直到世界的末日」
[00:03:13.380 --> 00:03:16.960]  這裏第一樣是帶著能力的
[00:03:16.960 --> 00:03:21.180]  「天上地下所有的權柄都賜給我了
[00:03:21.180 --> 00:03:23.180]  所以你們要去使萬民作我的門徒」
[00:03:23.180 --> 00:03:27.960]  第二樣有一個目標的是使萬民
[00:03:27.960 --> 00:03:29.960]  All Nation
[00:03:29.960 --> 00:03:33.600]  也可以說所有Ethnic Groups
[00:03:33.600 --> 00:03:36.700]  這裏所用的萬民
[00:03:36.700 --> 00:03:41.840]  Nation這個字是指每一個民族
[00:03:41.840 --> 00:03:45.800]  大家都知道一個國家裏面有很多民族
[00:03:45.800 --> 00:03:50.820]  好像中國有56個少數民族
[00:03:50.820 --> 00:03:54.580]  每一個民族都聽到福音
[00:03:54.580 --> 00:03:56.580]  所以這裏是叫我們
[00:03:56.580 --> 00:04:01.320]  「往普天下使萬民作主的門徒」
[00:04:01.320 --> 00:04:05.840]  第二段就是《馬可福音》十六章
[00:04:05.840 --> 00:04:12.320]  我們又要來看《馬可福音》十六章
[00:04:12.320 --> 00:04:26.220]  十六章由十五到十八節
[00:04:27.880 --> 00:04:31.780]  「他又對他們說你們往普天下去
[00:04:31.780 --> 00:04:34.440]  傳福音給萬民聽
[00:04:34.440 --> 00:04:38.440]  信而受贈的是必然得救
[00:04:38.440 --> 00:04:41.280]  不信的必被定罪
[00:04:41.280 --> 00:04:46.420]  信的人是必有神蹟隨著他們
[00:04:46.420 --> 00:04:51.540]  他們就是奉我的名可以趕鬼
[00:04:51.540 --> 00:04:56.540]  說新的方言手能夠拿蛇
[00:04:56.540 --> 00:05:01.340]  如果喝了甚麼毒物亦都必不受害
[00:05:01.340 --> 00:05:07.140]  手按病人 病人就必好了」
[00:05:07.140 --> 00:05:10.640]  這裏亦都是有能力的
[00:05:10.640 --> 00:05:13.640]  必有神蹟隨著他們
[00:05:13.640 --> 00:05:17.140]  當我們奉主的名出去傳福音的時候
[00:05:17.140 --> 00:05:20.940]  是必定有神蹟隨著我們
[00:05:20.940 --> 00:05:23.940]  後面就是講有甚麼神蹟
[00:05:23.940 --> 00:05:28.440]  趕鬼 說方言 手能夠拿蛇
[00:05:28.440 --> 00:05:31.440]  如果喝了甚麼毒物都不會被害
[00:05:31.440 --> 00:05:34.940]  手按病人 病人就好了
[00:05:34.940 --> 00:05:37.940]  能夠趕鬼 醫病 說方言
[00:05:37.940 --> 00:05:40.440]  有很多奇妙的事
[00:05:40.440 --> 00:05:45.940]  而目的就是教會信而得救
[00:05:45.940 --> 00:05:50.440]  《馬太福音》是講到使萬民作門徒
[00:05:50.440 --> 00:05:54.440]  《馬可福音》是講到教會
[00:05:54.440 --> 00:05:58.440]  現在我們要來看《路加福音》
[00:05:58.440 --> 00:06:08.440]  《路加福音》24章46到49節
[00:06:08.440 --> 00:06:10.440]  那裏怎麽說呢?
[00:06:10.440 --> 00:06:14.440]  「又對他們說 照經上所寫的
[00:06:14.440 --> 00:06:18.440]  基督必定受害 第三日從死裡復活
[00:06:18.440 --> 00:06:24.440]  並且人要奉他的名 傳悔改謝罪的道
[00:06:24.440 --> 00:06:29.440]  是從耶路撒冷起 直傳到萬邦
[00:06:29.440 --> 00:06:33.440]  你們就是這些事的見證
[00:06:33.440 --> 00:06:38.440]  我要將我父所應許的 降在你們身上
[00:06:38.440 --> 00:06:41.440]  你們要在城裏等候
[00:06:41.440 --> 00:06:47.440]  直到領受從上頭而來的能力
[00:06:47.440 --> 00:06:50.440]  這裏又是有能力的
[00:06:50.440 --> 00:06:53.440]  是從上頭而來的能力
[00:06:53.440 --> 00:06:55.440]  那個能力不是人給的
[00:06:55.440 --> 00:06:57.440]  那個能力是神而來的
[00:06:57.440 --> 00:06:59.440]  From heaven from above
[00:06:59.440 --> 00:07:02.440]  The power from above
[00:07:02.440 --> 00:07:05.440]  從上頭而來的能力
[00:07:05.440 --> 00:07:09.440]  而目的就是叫世人悔改
[00:07:09.440 --> 00:07:11.440]  所以《路加福音》的重點是
[00:07:11.440 --> 00:07:13.440]  Repent 要悔改
[00:07:13.440 --> 00:07:16.440]  《馬太福音》的重點是作門徒
[00:07:16.440 --> 00:07:20.440]  《馬可福音》的重點是教會傳悔改的道
[00:07:20.440 --> 00:07:25.440]  而《路加福音》是要Repent 要悔改
[00:07:25.440 --> 00:07:29.440]  最後看第四卷的福音書
[00:07:29.440 --> 00:07:42.440]  《約翰福音》二十章二十一到二十三節
[00:07:42.440 --> 00:07:47.440]  這裏怎麼說呢 耶穌又對他們說
[00:07:47.440 --> 00:07:52.440]  願你們平安 父怎樣差遣了我
[00:07:52.440 --> 00:07:57.440]  我也照樣差遣你們
[00:07:57.440 --> 00:08:01.440]  說了這話就向他們吹一口氣
[00:08:01.440 --> 00:08:05.440]  說你們要受聖靈
[00:08:05.440 --> 00:08:07.440]  你們赦免誰的罪
[00:08:07.440 --> 00:08:10.440]  誰的罪就赦免了
