
[00:00:00.000 --> 00:00:04.640]  各位早晨,我們一起做個祈禱才進入廣道
[00:00:04.640 --> 00:00:10.740]  天父我們向祢仰望,再一次去將自己交託
[00:00:10.740 --> 00:00:15.320]  有時我們回到教會,可能自己都未好預備好
[00:00:15.320 --> 00:00:18.820]  但是神我們求祢的靈在我們當中工作
[00:00:18.820 --> 00:00:24.000]  因為祢的同在,祢賜恩,祢加能賜力
[00:00:24.000 --> 00:00:28.960]  去提點我們,去幫助我們,我們讚美祢
[00:00:28.960 --> 00:00:32.400]  將我們再次交託,求祢圓立
[00:00:32.400 --> 00:00:36.200]  求祢開放我們的心,去聆聽祢的話語
[00:00:36.200 --> 00:00:39.880]  我們今天禱告交託,奉耶穌的聖名
[00:00:39.880 --> 00:00:45.140]  有人說在今日的香港
[00:00:45.140 --> 00:00:48.480]  苦難是一種最大的公因素
[00:00:48.480 --> 00:00:52.320]  我們可能將不同的人連接在一起
[00:00:52.320 --> 00:00:56.360]  每個人都有不同的痛苦的原因
[00:00:56.360 --> 00:01:00.960]  可能今日特別是香港社會造成很多困擾
[00:01:00.960 --> 00:01:07.880]  不同的人都有一定的額外的痛楚在我們生命裏
[00:01:07.880 --> 00:01:11.300]  有時出街沒有車搭,有些人說我原本一個小時
[00:01:11.300 --> 00:01:13.540]  現在四個小時搭車很痛苦
[00:01:13.540 --> 00:01:17.820]  有些人有權有勢被人罵著睡覺,可能都很痛苦
[00:01:17.820 --> 00:01:22.680]  有些人在追求民主、自由、真理等等裏面
[00:01:22.680 --> 00:01:27.220]  覺得很難追求到,都是很辛苦
[00:01:27.220 --> 00:01:29.960]  所以有人說我們連接在一起
[00:01:29.960 --> 00:01:34.560]  不過這個連接是透過困難、苦難
[00:01:34.560 --> 00:01:39.100]  是政治的,是我們個人家庭的,甚至是教會的裏面
[00:01:39.100 --> 00:01:42.340]  在人際關係、在工作、在讀書
[00:01:42.340 --> 00:01:47.080]  很多的場景,人生都有不同的痛苦的狀況
[00:01:47.080 --> 00:01:54.580]  今日要講一篇詩篇是130篇,是一首上行之詩
[00:01:54.580 --> 00:01:59.920]  相信大家知道上行之詩就是當
[00:01:59.920 --> 00:02:04.220]  以色列人上去朝聖的時候,一路上山去聖殿的時候
[00:02:04.220 --> 00:02:07.800]  一路就頌唱這些詩篇,是很集體性的
[00:02:07.800 --> 00:02:10.400]  不單是個別性的
[00:02:10.400 --> 00:02:14.900]  但是130篇也是一首懺悔詩的其中一首
[00:02:14.900 --> 00:02:19.280]  詩篇150篇裏面有七首被稱為懺悔詩
[00:02:19.280 --> 00:02:24.140]  這首詩篇和其他的六首都是對罪的一種痛悔
[00:02:24.140 --> 00:02:29.180]  和尋求神的赦罪的因典
[00:02:29.180 --> 00:02:32.960]  我們說基督教是一個講罪的宗教
[00:02:32.960 --> 00:02:36.560]  我們不是說回來教會就沒有罪,所以我們回教會
[00:02:36.560 --> 00:02:41.660]  我們是回教會是一群蒙恩的罪人聚集的地方
[00:02:41.660 --> 00:02:44.940]  但是往往很多時候我們都忘記了這個本性
[00:02:44.940 --> 00:02:47.540]  回到教會就以為自己是聖人
[00:02:47.540 --> 00:02:51.200]  這個完全的錯覺,完全的錯誤
[00:02:51.200 --> 00:02:55.300]  故此我們不會談論,不敢面對錯失
[00:02:55.300 --> 00:02:58.880]  我們會指責別人錯,不過很少說自己錯
[00:02:58.880 --> 00:03:01.880]  這個能力是非常非常低
[00:03:01.880 --> 00:03:05.520]  但是當以色列人一起上去朝聖的時候
[00:03:05.520 --> 00:03:10.220]  他們那種的心是一種尋求神的赦免
[00:03:10.220 --> 00:03:13.700]  對於這篇詩篇,還有些研究就是說
[00:03:13.700 --> 00:03:17.660]  究竟它是個人的罪還是群體集體的罪呢?
[00:03:17.660 --> 00:03:21.000]  不過在整體來說,我相信是一個群體的罪
[00:03:21.000 --> 00:03:24.000]  待會會解釋一下
[00:03:24.000 --> 00:03:28.680]  而在新約也提到這些苦楚也是很現實
[00:03:28.680 --> 00:03:32.940]  說現在的苦楚比將來受的榮耀不足以介意
[00:03:32.940 --> 00:03:35.980]  受造之物等候神的眾子顯然
