
[00:00:00.000 --> 00:00:02.960]  在您的講道之前我們一起低頭祈禱
[00:00:02.960 --> 00:00:06.160]  七夕天父我們很感謝您
[00:00:06.160 --> 00:00:08.160]  感謝您的話語
[00:00:08.160 --> 00:00:10.000]  就是這麼活潑的
[00:00:10.000 --> 00:00:12.920]  在我們生命裏面呈現
[00:00:12.920 --> 00:00:14.720]  感謝您的比喻
[00:00:14.720 --> 00:00:17.280]  在當中求您在我們心中
[00:00:17.280 --> 00:00:20.240]  每一個人的心裏面都說話
[00:00:20.240 --> 00:00:22.080]  可能每個人拿到的
[00:00:22.080 --> 00:00:23.840]  領受的都不一樣
[00:00:23.840 --> 00:00:25.560]  但最重要的是
[00:00:25.560 --> 00:00:27.400]  您親自的話語
[00:00:27.400 --> 00:00:29.480]  是向我們每一個人說話
[00:00:29.480 --> 00:00:31.720]  多謝您 多謝您的同在
[00:00:31.720 --> 00:00:33.720]  奉主名禱告 阿們
[00:01:00.480 --> 00:01:03.160]  我們很多時候想到鄰居
[00:01:03.160 --> 00:01:04.600]  我不知道您的感受
[00:01:04.600 --> 00:01:06.120]  一說到鄰居 究竟是
[00:01:06.120 --> 00:01:08.680]  「啊」還是「啊」
[00:01:08.680 --> 00:01:10.680]  但我發現在香港
[00:01:10.680 --> 00:01:11.920]  或者鄰居對您來說
[00:01:11.920 --> 00:01:13.200]  都不是非常重要
[00:01:13.200 --> 00:01:15.040]  因為我們很細 很緊密
[00:01:15.040 --> 00:01:17.040]  我們身邊的親朋戚友
[00:01:17.040 --> 00:01:18.880]  朋友怎樣都會有些在附近
[00:01:18.880 --> 00:01:21.200]  所以其實鄰居對我們來說
[00:01:21.200 --> 00:01:22.600]  都沒有什麼所謂
[00:01:22.600 --> 00:01:26.040]  但我發現在英國是有點不同的
[00:01:26.040 --> 00:01:28.040]  是啊 鄰居都很重要
[00:01:28.040 --> 00:01:29.560]  為什麼呢?
[00:01:29.560 --> 00:01:32.080]  例如那些亞馬遜送貨
[00:01:32.080 --> 00:01:33.680]  您的門按不到
[00:01:33.680 --> 00:01:35.600]  會放在您鄰居的輪舍
[00:01:35.600 --> 00:01:37.320]  好的輪舍就拿過來給您
[00:01:37.320 --> 00:01:38.000]  不好的輪舍
[00:01:38.000 --> 00:01:40.240]  您按幾下 找幾下 它都不見了
[00:01:40.240 --> 00:01:42.360]  是啊 原來我們鄰居很重要的
[00:01:42.360 --> 00:01:43.320]  還有很多時候
[00:01:43.320 --> 00:01:45.040]  我們有沒有人入鄉隨俗
[00:01:45.040 --> 00:01:46.760]  會寫聖誕卡給他們呢?
[00:01:46.760 --> 00:01:48.880]  有啊 你認不認識他們的名字?
[00:01:48.880 --> 00:01:49.680]  說得沒錯
[00:01:49.680 --> 00:01:50.440]  我們很多時候是
[00:01:50.440 --> 00:01:52.000]  Dear Neighbor
[00:01:52.000 --> 00:01:53.400]  然後就寫
[00:01:53.400 --> 00:01:55.400]  祝您聖誕快樂
[00:01:55.400 --> 00:01:57.920]  然後就Your Neighbor
[00:01:57.920 --> 00:01:59.720]  我們好像跟他們有關係
[00:01:59.720 --> 00:02:01.520]  但好像又不是很有關係
[00:02:01.520 --> 00:02:02.280]  好像很親密
[00:02:02.280 --> 00:02:03.800]  又不是很親密
[00:02:03.800 --> 00:02:08.360]  究竟我們跟他們輪舍
[00:02:08.360 --> 00:02:09.680]  什麼就是輪舍?
[00:02:09.680 --> 00:02:11.200]  誰是輪舍?
[00:02:11.200 --> 00:02:13.840]  原來很多時候我們每一個人
[00:02:13.840 --> 00:02:15.280]  可能你的過往經驗
[00:02:15.280 --> 00:02:17.400]  或者你的家庭經驗
[00:02:17.400 --> 00:02:19.440]  每一個人想一個輪舍的寬
[00:02:19.440 --> 00:02:21.640]  有多遠都不一樣
[00:02:21.640 --> 00:02:25.200]  我最記得我在七月的時候
[00:02:25.200 --> 00:02:28.040]  有一個伊朗的朋友住在我
[00:02:28.040 --> 00:02:30.320]  走路三四分鐘的距離
[00:02:30.320 --> 00:02:32.840]  所以我經常都會找他嘗試
[00:02:32.840 --> 00:02:35.200]  教我去講伊朗話
[00:02:35.200 --> 00:02:37.240]  當然這個只是有一點點的藉口
[00:02:37.240 --> 00:02:39.800]  很多時候都是想跟他說一下福音
[00:02:39.800 --> 00:02:41.760]  然後有一次我去不了
