
[00:00:00.000 --> 00:00:02.800]  我們說的題目
[00:00:02.800 --> 00:00:07.600]  這八次是說摩西五經
[00:00:07.600 --> 00:00:09.840]  有一個題目叫做
[00:00:09.840 --> 00:00:14.800]  「了陷新事也」
[00:00:14.800 --> 00:00:16.960]  甚麼是「新」呢
[00:00:16.960 --> 00:00:18.480]  「新」有兩個意思
[00:00:18.480 --> 00:00:20.840]  第一個就是很多時候我們讀聖經的時候
[00:00:20.840 --> 00:00:23.240]  我們會看十字
[00:00:23.240 --> 00:00:26.080]  然後你去查經 你看十字
[00:00:26.080 --> 00:00:29.360]  你都可以說你查到很多東西出來
[00:00:29.360 --> 00:00:33.040]  但是其實你看不到整個大圖畫
[00:00:33.040 --> 00:00:35.880]  我們這次想和你去看摩西五經
[00:00:35.880 --> 00:00:38.120]  或者創出你紋身的時候
[00:00:38.120 --> 00:00:40.840]  我們大概每一次只看一本書
[00:00:40.840 --> 00:00:43.600]  應該說每一次看完一本書
[00:00:43.600 --> 00:00:47.480]  我們問究竟創世記五十章說些甚麼
[00:00:47.480 --> 00:00:50.560]  究竟插一級記四十章說些甚麼
[00:00:50.560 --> 00:00:52.160]  究竟文素記說些甚麼
[00:00:52.160 --> 00:00:53.240]  究竟理美記說些甚麼
[00:00:53.240 --> 00:00:55.000]  究竟生命記說些甚麼
[00:00:55.000 --> 00:00:56.360]  我們有一個「了陷」
[00:00:56.360 --> 00:00:59.080]  我希望當你看整個大圖畫的時候
[00:00:59.080 --> 00:01:02.080]  你有一個「新」的視野
[00:01:02.080 --> 00:01:06.080]  為什麼我叫它做「了陷新事也」呢
[00:01:06.080 --> 00:01:10.360]  其實是因為所謂「新」是「新若」
[00:01:10.360 --> 00:01:13.440]  這本小小一本是新若聖經
[00:01:13.440 --> 00:01:17.720]  我不知道你有沒有去查過舊約聖經
[00:01:17.720 --> 00:01:20.360]  我也不知道你查舊約聖經的時候
[00:01:20.360 --> 00:01:26.160]  會不會想到舊約聖經和新約聖經的關係
[00:01:26.160 --> 00:01:31.320]  你有沒有想過其實起初的第一代的圖
[00:01:31.320 --> 00:01:33.840]  其實全部都是猶太人來的
[00:01:33.840 --> 00:01:36.360]  他們其實都是熟讀舊約聖經的
[00:01:36.360 --> 00:01:38.040]  但是當他們遇見耶穌
[00:01:38.040 --> 00:01:40.800]  當他們知道耶穌是那個彌賽亞
[00:01:40.800 --> 00:01:42.400]  那個救世主的時候
[00:01:42.400 --> 00:01:45.520]  他們重新再看多一次舊約聖經
[00:01:45.520 --> 00:01:48.480]  然後舊約聖經對他們的意義是完全不同了
[00:01:48.480 --> 00:01:49.800]  是嶄新的
[00:01:49.800 --> 00:01:51.200]  你明白我的意思嗎
[00:01:51.200 --> 00:01:53.840]  但是反而今天很有趣的
[00:01:53.840 --> 00:01:58.320]  我記得早兩年我還在神學院做好事的時候
[00:01:58.320 --> 00:02:02.000]  都有和舊約的同事聊天
[00:02:02.000 --> 00:02:02.680]  說這件事
[00:02:02.680 --> 00:02:04.160]  就是很多時候
[00:02:04.160 --> 00:02:06.840]  我們教舊約就是教舊約
[00:02:06.840 --> 00:02:10.120]  如果你有沒有聽過那些人說舊約講到
[00:02:10.120 --> 00:02:11.440]  就是講了一個故事
[00:02:11.440 --> 00:02:13.200]  譬如阿伯拉罕憲爾薩
[00:02:13.200 --> 00:02:15.560]  然後就應用在你身上
[00:02:15.560 --> 00:02:20.600]  他不會在想這個阿伯拉罕憲爾薩
[00:02:20.600 --> 00:02:24.120]  在整個創世紀裡面的角色是什麼
[00:02:24.120 --> 00:02:26.360]  更加不會想阿伯拉罕憲爾薩
[00:02:26.360 --> 00:02:29.520]  在整本聖經裡面的角色是什麼
[00:02:29.520 --> 00:02:32.840]  是不是應該看完整個大圖畫才去應用
[00:02:32.840 --> 00:02:35.320]  會是更加貼切呢
[00:02:35.320 --> 00:02:37.480]  我記得那時候和同事聊天的時候
[00:02:37.480 --> 00:02:39.640]  也有一個同事說
[00:02:39.640 --> 00:02:43.840]  他說為什麼今天我們教舊約都會這樣教呢
[00:02:43.840 --> 00:02:45.240]  因為他們很多時候
[00:02:45.240 --> 00:02:46.440]  如果你讀舊約
[00:02:46.440 --> 00:02:49.040]  你讀到博士這樣的情況
[00:02:49.040 --> 00:02:53.520]  通常你的老師很有可能是一個猶太人
[00:02:53.520 --> 00:02:55.400]  如果你的老師是一個猶太人
[00:02:55.400 --> 00:02:57.040]  又是不信耶穌的
[00:02:57.040 --> 00:02:58.640]  比比皆是
[00:02:58.640 --> 00:03:01.160]  你去到那些大學就是這樣
[00:03:01.160 --> 00:03:06.640]  那你猜你的老師會不會想將耶穌讀進去舊約呢
[00:03:06.640 --> 00:03:08.640]  當然不會
[00:03:08.640 --> 00:03:10.600]  於是久而久之
[00:03:10.600 --> 00:03:13.200]  你在那個環境裡面習慣了講舊約
[00:03:13.200 --> 00:03:14.720]  就是這麼說的
[00:03:14.720 --> 00:03:16.440]  你去到教的時候
[00:03:16.440 --> 00:03:18.280]  你也不要在意這件事
[00:03:18.280 --> 00:03:19.720]  你開始教舊約
[00:03:19.720 --> 00:03:20.560]  OK我們講完
[00:03:20.560 --> 00:03:21.600]  我們解了經
[00:03:21.600 --> 00:03:22.240]  OIA
[00:03:22.240 --> 00:03:24.040]  做了所有東西
[00:03:24.040 --> 00:03:24.840]  然後呢
[00:03:24.840 --> 00:03:26.240]  原文搞定了
[00:03:26.240 --> 00:03:27.880]  然後就應用了
[00:03:27.880 --> 00:03:30.880]  我們跳了一個很重要的步驟
[00:03:30.880 --> 00:03:33.320]  就是你看到
[00:03:33.320 --> 00:03:34.880]  新約聖經的作者
[00:03:34.880 --> 00:03:35.840]  尤其是保羅
[00:03:35.840 --> 00:03:37.520]  保羅是一個法理賽人
[00:03:37.520 --> 00:03:40.120]  保羅是猶太人中的猶太人
[00:03:40.120 --> 00:03:41.680]  就算彼得、約翰那些
