
[00:00:00.000 --> 00:00:01.380]  有人說
[00:00:01.380 --> 00:00:03.400]  《約翰福音》的最後這一章
[00:00:03.400 --> 00:00:06.780]  剛才我們所讀的這一章經文
[00:00:06.780 --> 00:00:11.700]  是連接著福音書與《使徒行傳》的一章經文
[00:00:11.700 --> 00:00:13.280]  在一章經文裏面
[00:00:13.280 --> 00:00:15.500]  主耶穌問
[00:00:15.500 --> 00:00:19.600]  或者是吩咐彼得去餵養他的羊
[00:00:19.600 --> 00:00:23.800]  意思就是說將建立教會的責任
[00:00:23.800 --> 00:00:26.200]  交給彼得
[00:00:26.200 --> 00:00:28.700]  如果我們看《使徒行傳》開始的時候
[00:00:28.700 --> 00:00:32.100]  我們看到彼得第一次的公開講道
[00:00:32.100 --> 00:00:33.800]  相當的有力
[00:00:33.800 --> 00:00:36.100]  一次的講道
[00:00:36.100 --> 00:00:38.600]  聽的人感到擇心
[00:00:38.600 --> 00:00:42.200]  一次過有三千人信耶穌
[00:00:42.200 --> 00:00:44.100]  就在那一次開始
[00:00:44.100 --> 00:00:48.100]  教會就被建立起來
[00:00:48.100 --> 00:00:50.500]  我們要問的問題就是
[00:00:50.500 --> 00:00:52.300]  為什麼是彼得?
[00:00:52.300 --> 00:00:54.300]  為什麼是彼得?
[00:00:54.300 --> 00:00:57.500]  不知道大家對彼得這個觀感有什麼感覺
[00:00:57.500 --> 00:01:01.500]  你覺得彼得是一個什麼類型的人?
[00:01:01.500 --> 00:01:04.700]  彼得如果我們看《使徒行傳》
[00:01:04.700 --> 00:01:07.100]  我們看到這個彼得
[00:01:07.100 --> 00:01:08.700]  做事很衝動
[00:01:08.700 --> 00:01:10.600]  經常牙刷刷
[00:01:10.600 --> 00:01:16.500]  經常都是當主耶穌跟他說話的時候
[00:01:16.500 --> 00:01:17.500]  他就說
[00:01:17.500 --> 00:01:21.900]  主啊,我願意為你去進入監獄
[00:01:21.900 --> 00:01:24.200]  甚至為主耶穌死都可以
[00:01:24.200 --> 00:01:26.900]  說了這麼豪情壯志的話之後
[00:01:26.900 --> 00:01:29.700]  三次不認主
[00:01:29.700 --> 00:01:34.100]  你看到彼得不是受過很高深的教育
[00:01:34.100 --> 00:01:36.900]  他是一個愚夫
[00:01:36.900 --> 00:01:39.300]  你可以說他是一個沒有權沒有錢
[00:01:39.300 --> 00:01:44.000]  沒有學識沒有地位沒有勢力的平民
