
[00:00:00.000 --> 00:00:02.800]  約翰一書,我們也聽過很多
[00:00:02.800 --> 00:00:05.640]  裡面說很多關於愛的
[00:00:05.640 --> 00:00:08.840]  這個主題是很清楚的
[00:00:08.840 --> 00:00:13.640]  原來整本約翰一二三書
[00:00:13.640 --> 00:00:15.440]  他的歷史背景
[00:00:15.440 --> 00:00:17.600]  是在做一個護教的
[00:00:17.600 --> 00:00:21.360]  因為當時是教會發生一些問題
[00:00:21.360 --> 00:00:23.680]  有很多異端邪說在當中
[00:00:23.680 --> 00:00:27.600]  然後約翰要寫這些書信
[00:00:27.600 --> 00:00:30.280]  是給他自己的群體
[00:00:30.280 --> 00:00:32.880]  有一個群體叫約翰群體
[00:00:32.880 --> 00:00:35.600]  很多人在那裡一起信耶穌
[00:00:35.600 --> 00:00:41.480]  我們大家都說末世快到了
[00:00:41.480 --> 00:00:43.360]  我們時常聽到
[00:00:43.360 --> 00:00:45.680]  末世會有很多徵兆
[00:00:45.680 --> 00:00:48.040]  我們時常都會說
[00:00:48.040 --> 00:00:50.000]  地震
[00:00:50.000 --> 00:00:52.000]  民攻打民,國攻打國
[00:00:52.000 --> 00:00:53.320]  現在真的在發生
[00:00:53.320 --> 00:00:56.400]  還有地震很多
[00:00:56.800 --> 00:00:58.800]  這個星期也有地震
[00:00:58.800 --> 00:01:00.400]  美國加州有地震
[00:01:00.400 --> 00:01:02.400]  印尼雅齊省有地震
[00:01:02.400 --> 00:01:04.400]  最近我看到的是
[00:01:04.400 --> 00:01:09.800]  所羅門群島
[00:01:09.800 --> 00:01:10.800]  有地震
[00:01:10.800 --> 00:01:16.480]  而且震到六級以上
[00:01:16.480 --> 00:01:20.960]  香港就說前幾天有地震
[00:01:20.960 --> 00:01:26.960]  有人不再選連任的地震
[00:01:26.960 --> 00:01:29.960]  震得很厲害
[00:01:29.960 --> 00:01:31.960]  都有地震
[00:01:31.960 --> 00:01:35.960]  除了剛才說的
[00:01:35.960 --> 00:01:37.960]  天災人禍
[00:01:37.960 --> 00:01:39.960]  多處有饑荒等等
[00:01:39.960 --> 00:01:41.960]  其實馬太福音第24章
[00:01:41.960 --> 00:01:43.960]  有兩節聖經說到
[00:01:43.960 --> 00:01:46.960]  一些事情在末世的時候
[00:01:46.960 --> 00:01:48.960]  會有很多發生
[00:01:48.960 --> 00:01:50.960]  不過較少去說
[00:01:50.960 --> 00:01:52.960]  第一節提到
[00:01:52.960 --> 00:01:54.960]  假先知會起來
[00:01:54.960 --> 00:01:56.960]  迷惑多人
[00:01:56.960 --> 00:01:58.960]  這個也經常說的
[00:01:58.960 --> 00:02:01.960]  第二就是不法的事會增多
[00:02:01.960 --> 00:02:04.960]  假先知我們也聽過很多
[00:02:04.960 --> 00:02:06.960]  影響著我們
[00:02:06.960 --> 00:02:08.960]  在香港
[00:02:08.960 --> 00:02:10.960]  中國大陸
[00:02:10.960 --> 00:02:11.960]  全能神教
[00:02:11.960 --> 00:02:12.960]  閃電
[00:02:12.960 --> 00:02:13.960]  新紀元
[00:02:13.960 --> 00:02:15.960]  甚至現在開始流行
[00:02:15.960 --> 00:02:17.960]  撒旦教
[00:02:17.960 --> 00:02:19.960]  開始多人說
[00:02:19.960 --> 00:02:21.960]  有宣傳
[00:02:21.960 --> 00:02:23.960]  這些在我們世界上
[00:02:23.960 --> 00:02:25.960]  是會聽到的
[00:02:25.960 --> 00:02:27.960]  不法的事增多
[00:02:27.960 --> 00:02:29.960]  我想只是看片案
[00:02:29.960 --> 00:02:31.960]  已經是很多了
[00:02:31.960 --> 00:02:33.960]  網絡上的
[00:02:33.960 --> 00:02:35.960]  不法的事
[00:02:35.960 --> 00:02:36.960]  很多
[00:02:36.960 --> 00:02:37.960]  另外還有一樣
[00:02:37.960 --> 00:02:39.960]  24章12節提到
[00:02:39.960 --> 00:02:41.960]  人的愛心
[00:02:41.960 --> 00:02:43.960]  會漸漸冷淡
[00:02:43.960 --> 00:02:45.960]  大家覺不覺得
[00:02:45.960 --> 00:02:47.960]  先覺一下自己
[00:02:47.960 --> 00:02:49.960]  希望不要漸漸冷淡
[00:02:49.960 --> 00:02:51.960]  但普遍上人際關係
[00:02:51.960 --> 00:02:53.960]  是冷淡
[00:02:53.960 --> 00:02:55.960]  也有很多騙人
[00:02:55.960 --> 00:02:57.960]  令到人想幫人
[00:02:57.960 --> 00:02:59.960]  也不想去幫
[00:02:59.960 --> 00:03:01.960]  這些是互為影響
[00:03:01.960 --> 00:03:03.960]  所以末世的時候
[00:03:03.960 --> 00:03:05.960]  這些事也會在當中發生
[00:03:05.960 --> 00:03:07.960]  其實
[00:03:07.960 --> 00:03:09.960]  約翰教會的背景
[00:03:09.960 --> 00:03:11.960]  也是有這樣的事情發生
[00:03:11.960 --> 00:03:13.960]  所以
[00:03:13.960 --> 00:03:15.960]  寫這些書信
[00:03:15.960 --> 00:03:17.960]  是要告訴
[00:03:17.960 --> 00:03:19.960]  弟兄姊妹要留意
[00:03:19.960 --> 00:03:21.960]  第五章一至五節
[00:03:21.960 --> 00:03:23.960]  雖然很短
[00:03:23.960 --> 00:03:25.960]  但就包含了
[00:03:25.960 --> 00:03:27.960]  三樣
[00:03:27.960 --> 00:03:29.960]  就是約翰所說的三樣
[00:03:29.960 --> 00:03:31.960]  在這五節裡
[00:03:31.960 --> 00:03:33.960]  都會發生
[00:03:33.960 --> 00:03:35.960]  第一樣就是
[00:03:35.960 --> 00:03:37.960]  約翰很想弟兄姊妹
[00:03:37.960 --> 00:03:39.960]  一路記住
[00:03:39.960 --> 00:03:41.960]  要相信耶穌基督
[00:03:41.960 --> 00:03:43.960]  是神的兒子
[00:03:43.960 --> 00:03:45.960]  所以他第一節
[00:03:45.960 --> 00:03:47.960]  就這樣說
[00:03:47.960 --> 00:03:49.960]  凡信耶穌基督的
