
[00:00:00.000 --> 00:00:03.000]  (主席)各位兄弟姐妹,平安!
[00:00:03.000 --> 00:00:07.000]  我們開始的時候,首先來做一個祈禱
[00:00:07.000 --> 00:00:14.000]  我們感謝你,因為你每個星期都會藉著你的話,來跟我們說說話
[00:00:14.000 --> 00:00:17.000]  你將你的話放在我們的心裡
[00:00:17.000 --> 00:00:23.000]  更加是讓我們時刻記住,我們是你所揀選的
[00:00:23.000 --> 00:00:25.000]  是你用保血所買贖回來
[00:00:25.000 --> 00:00:30.000]  所以我們要來到結出果子,使你的名得著榮耀
[00:00:30.000 --> 00:00:32.000]  禱告奉主耶穌基督的聖名
[00:00:32.000 --> 00:00:33.000]  阿們
[00:00:33.000 --> 00:00:40.000]  在座中有沒有客家人呢?
[00:00:40.000 --> 00:00:43.000]  有沒有?
[00:00:43.000 --> 00:00:45.000]  沒有客家人?
[00:00:45.000 --> 00:00:47.000]  有
[00:00:47.000 --> 00:00:52.000]  我們廣東人有一句俗語
[00:00:53.000 --> 00:00:56.000]  叫做客家佔地主
[00:00:56.000 --> 00:00:58.000]  大家有沒有聽過?
[00:00:58.000 --> 00:01:00.000]  我這裡不是要貶低任何人
[00:01:00.000 --> 00:01:02.000]  不過這是一個典故
[00:01:02.000 --> 00:01:06.000]  客家佔地主的地主是什麼意思呢?
[00:01:06.000 --> 00:01:09.000]  地主當然是指著本地人
[00:01:09.000 --> 00:01:13.000]  客家當然是有些外來的人
[00:01:13.000 --> 00:01:20.000]  就是說那些外來的人,就是侵佔了本地人的利益
[00:01:21.000 --> 00:01:25.000]  當然是由於這個歷史的原因所造成的
[00:01:25.000 --> 00:01:29.000]  因為我們中原的地區歷代以來
[00:01:29.000 --> 00:01:31.000]  都是發生了很多戰亂
[00:01:31.000 --> 00:01:33.000]  人口不斷地南遷
[00:01:33.000 --> 00:01:36.000]  南來的人,早期的
[00:01:36.000 --> 00:01:39.000]  就慢慢變成了本地人
[00:01:39.000 --> 00:01:44.000]  而後來的人就變成了外來的人
[00:01:44.000 --> 00:01:48.000]  慢慢人口自然就越來越多
[00:01:48.000 --> 00:01:52.000]  那麼勢必會有資源爭奪的問題
[00:01:52.000 --> 00:01:57.000]  因此導致到雙方不斷地爭拗
[00:01:57.000 --> 00:01:59.000]  而最大的一次的械鬥
[00:01:59.000 --> 00:02:04.000]  是發生於清、咸豐和同治連間的廣東地區
[00:02:04.000 --> 00:02:07.000]  所謂的土客之爭
[00:02:07.000 --> 00:02:10.000]  所波及的範圍非常之大的
[00:02:10.000 --> 00:02:14.000]  包括珠江三角洲十七個縣這麼多
[00:02:14.000 --> 00:02:19.000]  結果當然是那些外來的人就被趕走了
[00:02:19.000 --> 00:02:24.000]  由於這個故事都是很久了
[00:02:24.000 --> 00:02:27.000]  大家可能都忘記了什麼叫土客之爭
[00:02:27.000 --> 00:02:31.000]  反而只記得這個叫做客家佔地主
[00:02:31.000 --> 00:02:33.000]  今天我們所讀的這段經文
[00:02:33.000 --> 00:02:37.000]  其實和客家佔地主都有一點點類似的關係
[00:02:37.000 --> 00:02:39.000]  我不敢說完全
[00:02:39.000 --> 00:02:42.000]  如果我有說得不好,請大家來指正
[00:02:42.000 --> 00:02:47.000]  首先我們來看看這段經文的背景
[00:02:47.000 --> 00:02:53.000]  老家就說到耶穌進了耶路撒冷之後
[00:02:53.000 --> 00:02:59.000]  首先就是趕出在聖殿裡面做買賣的人
[00:02:59.000 --> 00:03:04.000]  然後更加是天天在聖殿那裡教導百姓
[00:03:04.000 --> 00:03:07.000]  那些祭司長、文士、長老
[00:03:07.000 --> 00:03:08.000]  當然看不過眼
[00:03:08.000 --> 00:03:10.000]  於是就走來問耶穌
[00:03:10.000 --> 00:03:13.000]  你這個權柄的來源是在哪裡
[00:03:13.000 --> 00:03:17.000]  企圖直至來到耶穌如果說錯話
[00:03:17.000 --> 00:03:21.000]  就可以找他的把柄來陷害他
[00:03:21.000 --> 00:03:25.000]  但是耶穌當然是不會中他的計
[00:03:25.000 --> 00:03:27.000]  於是就沒有答到他
[00:03:27.000 --> 00:03:32.000]  這段經文其實就在第二十章的一至八節那裡
[00:03:32.000 --> 00:03:34.000]  但是在這段經文裡面
[00:03:34.000 --> 00:03:36.000]  我們今天所讀的那段經文裡面
[00:03:36.000 --> 00:03:40.000]  耶穌反而在教導百姓的比喻裡面
[00:03:40.000 --> 00:03:44.000]  就告訴大家知道他的身份
[00:03:44.000 --> 00:03:47.000]  以及他的權力的來源
[00:03:47.000 --> 00:03:50.000]  這個比喻其實在《馬提福音》
[00:03:50.000 --> 00:03:54.000]  以及《馬赫福音》都有記載
[00:03:54.000 --> 00:03:57.000]  也是耶穌親自來講述
[00:03:57.000 --> 00:04:01.000]  以色列領袖的叛逆故事
[00:04:01.000 --> 00:04:06.000]  從中我們可以看到神的偉大屬性
[00:04:06.000 --> 00:04:09.000]  在復活節之前的這個星期
[00:04:09.000 --> 00:04:11.000]  就讓我們藉著這個比喻
[00:04:11.000 --> 00:04:15.000]  來重溫一下神的偉大屬性
[00:04:15.000 --> 00:04:20.000]  以及警惕一下我們人性的敗壞
[00:04:20.000 --> 00:04:26.000]  我會分為四部分跟大家一起分享一下
[00:04:26.000 --> 00:04:28.000]  首先第一部分就是說
[00:04:28.000 --> 00:04:31.000]  神是美善的
[00:04:31.000 --> 00:04:36.000]  大家都知道在巴勒斯坦耶穌的時代
[00:04:36.000 --> 00:04:41.000]  基本上就是一個所謂的庇護制度的社會
[00:04:41.000 --> 00:04:44.000]  主要是有一些庇護主
[00:04:44.000 --> 00:04:46.000]  所謂Patreon
[00:04:46.000 --> 00:04:53.000]  以及一些依附者的關係的一個社會
[00:04:53.000 --> 00:04:55.000]  一般人都相信
[00:04:55.000 --> 00:04:59.000]  路加福音的那個修信人
[00:04:59.000 --> 00:05:01.000]  那個提亞非羅大人
[00:05:01.000 --> 00:05:04.000]  在路加第一章已經講到
[00:05:04.000 --> 00:05:09.000]  就是路加的庇護主
[00:05:09.000 --> 00:05:11.000]  在第九節一開始
[00:05:11.000 --> 00:05:14.000]  耶穌就講到有一個人
[00:05:14.000 --> 00:05:17.000]  開墾了一個葡萄園
[00:05:17.000 --> 00:05:21.000]  租給這個園戶往外國去了
[00:05:21.000 --> 00:05:25.000]  首先來看看其中有幾個名詞
[00:05:25.000 --> 00:05:26.000]  我們一定要知道的
[00:05:26.000 --> 00:05:28.000]  就是說葡萄園
[00:05:28.000 --> 00:05:30.000]  葡萄園是代表什麼呢
[00:05:30.000 --> 00:05:34.000]  原來葡萄園是象徵著以色列的民族的
[00:05:34.000 --> 00:05:38.000]  以塞亞書第五章一節七節
[00:05:38.000 --> 00:05:40.000]  都講得很清楚了
[00:05:40.000 --> 00:05:42.000]  第七節更加是講到
[00:05:42.000 --> 00:05:44.000]  萬軍之尤華的葡萄園
[00:05:44.000 --> 00:05:46.000]  就是以色列的家
[00:05:46.000 --> 00:05:50.000]  他所喜愛的樹就是猶太人
[00:05:50.000 --> 00:05:52.000]  講得是非常清楚的了
